Player,Votes
D.J. Augustin,12441
Johnathan Williams,12423
Mikal Bridges,12284
Gorgui Dieng,12079
Trey Lyles,11872
Maurice Harkless,11822
Frank Ntilikina,11791
Kent Bazemore,11777
Rondae Hollis-Jefferson,11716
Semi Ojeleye,11665
Tyler Johnson,11649
Tyler Dorsey,11511
Terrence Ross,11462
Jeff Green,11332
Frank Kaminsky,11325
Guerschon Yabusele,11201
Michael Kidd-Gilchrist,11144
Cody Zeller,11141
Iman Shumpert,11093
Channing Frye,11090
Robin Lopez,11049
Michael Porter Jr.,10756
Tomáš Satoranský,10643
Josh Jackson,10617
Kyle Anderson,10590
Kenneth Faried,10431
DeMarre Carroll,10384
Ryan Arcidiacono,10235
Rawle Alkins,10178
Marvin Williams,10093
Doug McDermott,10079
Joakim Noah,9877
Aaron Holiday,9819
Jared Dudley,9760
Jake Layman,9714
Otto Porter Jr.,9713
Harry Giles,9678
Alex Caruso,9563
Timothé Luwawu-Cabarrot,9522
Dewayne Dedmon,9483
Mike Muscala,9292
Justin Jackson,9271
Evan Turner,9218
Luol Deng,9035
Brad Wanamaker,9033
Alex Len,9006
Ike Anigbogu,8882
Ryan Broekhoff,8809
PJ Dozier,8545
Avery Bradley,8460
Yuta Watanabe,8456
Reggie Bullock,8446
Bobby Portis,8209
Royce O'Neale,8163
Bismack Biyombo,8128
Rodney Hood,8046
Michael Carter-Williams,8045
Kevin Huerter,7932
Jonathon Simmons,7686
Trey Burke,7678
Wayne Ellington,7655
Nik Stauskas,7574
Dwayne Bacon,7549
Dante Cunningham,7472
Rodney McGruder,7230
Noah Vonleh,7190
Amir Johnson,7189
Raul Neto,7088
Justin Anderson,7086
Vince Edwards,7007
Allen Crabbe,6896
Ron Baker,6878
Jonathan Isaac,6855
Marquese Chriss,6829
Jerryd Bayless,6811
Sam Dekker,6795
Anthony Tolliver,6788
DeAndre' Bembry,6732
Devonte' Graham,6668
Dragan Bender,6570
Taurean Prince,6542
Ekpe Udoh,6518
Markieff Morris,6491
Yogi Ferrell,6423
Christian Wood,6396
Stanley Johnson,6375
Isaiah Hartenstein,6370
Wade Baldwin,6351
Salah Mejri,6322
Luke Kennard,6320
Thabo Sefolosha,6236
Zach Randolph,6231
Jevon Carter,6154
Mitchell Robinson,6126
Shabazz Napier,5910
Jason Smith,5864
Henry Ellenson,5823
Timofey Mozgov,5796
Ryan Anderson,5711
Richaun Holmes,5639
Alec Burks,5516
Trevon Duval,5276
Justin Holiday,5169
Elie Okobo,5127
Keita Bates-Diop,5116
Chandler Hutchison,5111
Denzel Valentine,5099
Antonio Blakeney,5002
Duncan Robinson,4918
Daryl Macon,4851
Langston Galloway,4837
Jordan Loyd,4821
De'Anthony Melton,4791
Malachi Richardson,4758
Elfrid Payton,4757
T.J. Leaf,4656
Ish Smith,4631
Dillon Brooks,4521
Ray Spalding,4518
Donte Grantham,4492
Damyean Dotson,4393
Jaylen Morris,4350
Brandon Goodwin,4344
Walt Lemon Jr.,4253
Jahlil Okafor,4247
Bruce Brown,4242
Ángel Delgado,4204
Shake Milton,4154
Kyle O'Quinn,4144
Troy Brown Jr.,4101
Treveon Graham,4093
Caleb Swanigan,4009
Luke Kornet,3995
Zhaire Smith,3985
Jaron Blossomgame,3962
Frank Mason III,3960
Jawun Evans,3948
Cameron Payne,3886
Troy Daniels,3883
Drew Eubanks,3853
Mike Scott,3820
Courtney Lee,3768
Shaquille Harrison,3760
Alex Poythress,3583
E'Twaun Moore,3551
James Nunnally,3537
Omari Spellman,3479
Thomas Welsh,3439
Justin Patton,3417
JaMychal Green,3409
Lorenzo Brown,3409
J.P. Macura,3399
Ben McLemore,3396
Jon Leuer,3391
David Nwaba,3385
Isaiah Briscoe,3362
Alize Johnson,3333
Glenn Robinson III,3257
Miles Plumlee,3247
Daniel Hamilton,3246
Naz Mitrou-Long,3234
Jalen Jones,3228
Khem Birch,3196
Frank Jackson,3155
Luc Mbah a Moute,3125
Anfernee Simons,3083
Patrick McCaw,3073
Garrett Temple,3043
C.J. Williams,3039
Chandler Parsons,3030
John Henson,3018
George King,2964
Lance Thomas,2950
Georges Niang,2942
Ian Mahinmi,2937
Khyri Thomas,2890
Jarred Vanderbilt,2815
Jerian Grant,2786
Cheick Diallo,2757
Wenyen Gabriel,2750
Tyler Lydon,2707
Tyrone Wallace,2704
Wes Iwundu,2704
Chimezie Metu,2695
Isaiah Hicks,2667
Troy Williams,2647
Ben Moore,2606
Tony Bradley,2552
Devin Robinson,2538
Amile Jefferson,2531
Theo Pinson,2525
Skal Labissière,2471
Quincy Pondexter,2367
Demetrius Jackson,2295
Jared Terrell,2262
Gary Trent Jr.,2201
Chasson Randle,2137
Tyler Cavanaugh,2126
Tim Frazier,2119
Yante Maten,2085
Keenan Evans,2050
Brandon Sampson,2049
Darius Miller,2012
Wayne Selden,1987
Jordan McRae,1971
Ian Clark,1936
Wesley Johnson,1919
Johnathan Motley,1832
Jerome Robinson,1828
Sindarius Thornwell,1741
Edmond Sumner,1671
Joe Chealey,1668
Shelvin Mack,1666
Melvin Frazier,1663
Ivan Rabb,1628
Solomon Hill,1607
Troy Caupain,1589
Trevon Bluiett,1492
Jarell Martin,1401
Zach Lofton,1360
MarShon Brooks,1296
Davon Reed,1122
Jarnell Stokes,1049
Kenrich Williams,938
Andrew Harrison,834
Eric Moreland,538
