Player,Votes
LeBron James,6275459
Luka Dončić,6111735
Giannis Antetokounmpo,5902286
Anthony Davis,5813769
Kawhi Leonard,3917190
James Harden,3751362
Pascal Siakam,3293494
Joel Embiid,3110185
Trae Young,2829969
Jimmy Butler,2784717
Kyrie Irving,2426946
Kemba Walker,2309416
Jayson Tatum,2177910
Derrick Rose,1891732
Paul George,1505691
Damian Lillard,1337540
Alex Caruso,1284932
Nikola Jokić,1232979
Zach LaVine,1218280
Kyle Lowry,1199518
Russell Westbrook,1094254
Carmelo Anthony,1058543
Stephen Curry,1043882
Kristaps Porziņģis,1029403
Brandon Ingram,1015453
Karl-Anthony Towns,960600
Dwight Howard,948368
Tacko Fall,947378
Donovan Mitchell,928911
Jaylen Brown,912166
Ben Simmons,824128
Devin Booker,811479
Bradley Beal,805276
Fred VanVleet,797196
Bam Adebayo,718240
Ja Morant,629473
Rudy Gobert,622699
D'Angelo Russell,619298
Domantas Sabonis,564027
Gordon Hayward,516703
Kyle Kuzma,505901
Goran Dragić,476350
Spencer Dinwiddie,459419
Chris Paul,446095
Andre Drummond,428418
Bojan Bogdanović,374370
DeMar DeRozan,372916
Khris Middleton,349404
Serge Ibaka,342575
Shai Gilgeous-Alexander,313492
Kevin Love,308767
Vince Carter,298640
Danny Green,292145
Draymond Green,277681
Kelly Oubre Jr.,267186
Tobias Harris,262697
Klay Thompson,247424
Andrew Wiggins,246604
Blake Griffin,239510
Kevin Durant,233468
JaVale McGee,226862
Lou Williams,218455
Montrezl Harrell,218090
Devonte' Graham,215893
Jordan Clarkson,215141
Steven Adams,212331
Tyler Herro,203895
Marc Gasol,201196
Danilo Gallinari,199399
Kentavious Caldwell-Pope,189970
Tim Hardaway Jr.,189548
OG Anunoby,185087
Kendrick Nunn,179648
CJ McCollum,174709
Rajon Rondo,170892
Clint Capela,170318
Nikola Vučević,169804
Eric Bledsoe,169665
Joe Ingles,169313
Boban Marjanović,165510
LaMarcus Aldridge,162470
Malcolm Brogdon,162014
Ricky Rubio,158862
Dwight Powell,156275
Lonzo Ball,149772
Jamal Murray,139889
Zion Williamson,137937
Brook Lopez,134813
Enes Freedom,130808
Dorian Finney-Smith,125014
Avery Bradley,119823
Bogdan Bogdanović,119092
Dennis Schröder,118500
