Player,Votes
Marcus Smart,117613
Evan Fournier,115174
Maxi Kleber,114188
Seth Curry,111665
Al Horford,108674
Norman Powell,106020
Jonas Valančiūnas,103574
Hassan Whiteside,95933
Aaron Gordon,94322
Lauri Markkanen,92748
Julius Randle,90202
Dāvis Bertāns,89887
Patrick Beverley,89215
Aron Baynes,85452
Eric Paschall,84982
DeMarcus Cousins,83980
De'Aaron Fox,83601
Jarrett Allen,80259
Thanasis Antetokounmpo,79490
Chris Boucher,79394
Mike Conley,75971
John Collins,72873
Josh Richardson,72691
Jrue Holiday,72082
Marcus Morris,69691
Rui Hachimura,68954
DeAndre Jordan,68857
George Hill,66433
Deandre Ayton,65812
Duncan Robinson,63996
Kostas Antetokounmpo,63400
T.J. Warren,62591
Isaiah Thomas,61730
Myles Turner,60724
Wesley Matthews,60244
Jaren Jackson Jr.,60236
Rondae Hollis-Jefferson,59448
Nemanja Bjelica,59189
Vlatko Čančar,59034
RJ Barrett,58061
Daniel Theis,57690
Derrick Jones Jr.,53407
Buddy Hield,51888
Terence Davis,51694
Markelle Fultz,48473
P.J. Tucker,47466
J.J. Barea,45672
Cedi Osman,45625
Ersan İlyasova,45078
Royce O'Neale,43390
Coby White,43268
Victor Oladipo,42647
Collin Sexton,41814
Furkan Korkmaz,41797
Donte DiVincenzo,41070
Tristan Thompson,41019
Kyle Korver,39282
Nerlens Noel,38571
Jared Dudley,36542
Patty Mills,36507
Quinn Cook,35051
Michael Porter Jr.,34695
Willie Cauley-Stein,34695
Jeremy Lamb,33506
Damion Lee,32345
Paul Millsap,31876
J.J. Redick,31246
Matisse Thybulle,31116
Rudy Gay,30351
Dejounte Murray,29113
Terry Rozier,28719
Bol Bol,28705
Joe Harris,28590
Will Barton,28325
Wendell Carter Jr.,28025
Delon Wright,27956
Eric Gordon,27803
Robin Lopez,26843
Jalen Brunson,26372
Justise Winslow,26011
Kevon Looney,25531
Ivica Zubac,25499
Pat Connaughton,25298
Mitchell Robinson,24608
Grant Williams,23957
Danuel House Jr.,22620
Meyers Leonard,22605
Gary Harris,22320
Patrick McCaw,22294
Georges Niang,22284
Jaxson Hayes,22264
Jakob Poeltl,22045
Alec Burks,21634
Jabari Parker,21591
Emmanuel Mudiay,21546
Caris LeVert,21394
Marco Belinelli,21309
Terrance Ferguson,21058
Robert Williams,20945
Jerami Grant,20886
Brad Wanamaker,20683
Jonathan Isaac,20577
Alen Smailagić,20558
Hamidou Diallo,20475
Lonnie Walker IV,20471
P.J. Washington,20059
Rodions Kurucs,20050
Carsen Edwards,19752
John Wall,19538
Justin Jackson,18864
Dario Šarić,18816
Derrick Favors,18728
Mo Bamba,18725
Juancho Hernangómez,18477
Kevin Huerter,18408
Tomáš Satoranský,17980
Isaac Bonga,17946
Glenn Robinson III,17370
Luke Kennard,17282
Troy Daniels,17101
Sekou Doumbouya,16971
Frank Ntilikina,16613
Jordan Poole,16288
Austin Rivers,16137
Richaun Holmes,16018
Miles Bridges,15987
Ben McLemore,15942
Darius Bazley,15876
De'Andre Hunter,15855
Brandon Clarke,15777
Derrick White,15606
Bruno Fernando,15204
Andre Iguodala,14883
Harrison Barnes,14797
Matt Thomas,14736
Marvin Bagley III,14645
Taurean Prince,14523
Udonis Haslem,14368
Cam Reddish,14288
Marquese Chriss,14276
Aaron Holiday,13871
Moritz Wagner,13815
Ryan Broekhoff,13521
Abdel Nader,13487
Omari Spellman,13431
Mike Scott,13297
Landry Shamet,13258
Ky Bowman,13126
Romeo Langford,13119
Nicolò Melli,12255
Marko Guduric,12018
Tony Bradley,11960
Robert Covington,11948
Willy Hernangómez,11783
Bryn Forbes,11709
Thon Maker,11520
Alex Len,11490
Javonte Green,11469
Kelly Olynyk,11378
Larry Nance Jr.,11265
Isaiah Hartenstein,10912
Semi Ojeleye,10911
Jusuf Nurkić,10894
Darius Garland,10870
T.J. McConnell,10844
Jae Crowder,10495
Thomas Bryant,10495
Josh Hart,10244
Matthew Dellavedova,10207
Mason Plumlee,10049
Talen Horton-Tucker,9933
Frank Kaminsky,9669
Doug McDermott,9476
Chris Silva,9399
James Ennis III,9344
Džanan Musa,9309
Mikal Bridges,9277
Cameron Johnson,9273
Maurice Harkless,9134
Zach Collins,9059
Oshae Brissett,8938
Kris Dunn,8915
D.J. Wilson,8871
Dragan Bender,8671
Otto Porter Jr.,8652
Dillon Brooks,8606
Gerald Green,8428
Goga Bitadze,8378
Tyson Chandler,8305
Terrence Ross,7963
Anfernee Simons,7962
Chris Clemons,7939
Dante Exum,7801
Justin Holiday,7744
Trey Burke,7553
Kevin Porter Jr.,7552
Svi Mykhailiuk,7529
Jarrett Culver,7500
Dennis Smith Jr.,7395
Malik Beasley,7210
Daniel Gafford,7168
Ante Žižić,7031
Cody Zeller,7022
Markieff Morris,6921
Christian Wood,6813
Nenê,6753
Garrett Temple,6728
Malik Monk,6617
Gorgui Dieng,6579
Monte Morris,6556
Trey Lyles,6553
Ryan Arcidiacono,6513
Kevin Knox,6456
Patrick Patterson,6442
JaMychal Green,6399
Ed Davis,6333
Nicolas Batum,6315
Mike Muscala,6240
Grayson Allen,6220
Tremont Waters,6215
Jacob Evans,6202
Jevon Carter,6163
Yuta Watanabe,6141
Ignas Brazdeikis,6086
Vincent Poirier,6068
Nickeil Alexander-Walker,6060
Dion Waiters,6042
Sterling Brown,5939
DeAndre' Bembry,5908
Raul Neto,5893
Thaddeus Young,5765
Bismack Biyombo,5757
Isaiah Roby,5736
D.J. Augustin,5724
Langston Galloway,5558
James Johnson,5557
Ish Smith,5436
Torrey Craig,5390
Jeff Teague,5369
Bobby Portis,4958
Denzel Valentine,4879
Andre Roberson,4863
Tony Snell,4828
Malcolm Miller,4804
Cristiano Felício,4690
Jahlil Okafor,4681
Luguentz Dort,4625
Elie Okobo,4620
Mario Hezonja,4615
Ian Mahinmi,4507
Courtney Lee,4504
Kent Bazemore,4383
Norvel Pelle,4338
Kadeem Allen,4268
Bruce Brown,4248
Luka Šamanić,4230
Bruno Caboclo,4219
Deonte Burton,4216
Elfrid Payton,4180
Josh Okogie,4137
Al-Farouq Aminu,4136
Antonius Cleveland,4094
Frank Mason III,4060
Kyle O'Quinn,3920
Skal Labissière,3877
Stanley Johnson,3866
DeMarre Carroll,3836
Taj Gibson,3796
Dwayne Bacon,3757
Wilson Chandler,3723
Shabazz Napier,3720
Brandon Goodwin,3701
Rodney Hood,3697
Nassir Little,3606
Jordan McRae,3582
Cheick Diallo,3480
Jalen Lecque,3464
Jonah Bolden,3461
Troy Brown Jr.,3453
Dewan Hernandez,3413
Kyle Anderson,3297
Anthony Tolliver,3227
Reggie Bullock,3210
Jake Layman,3183
David Nwaba,3181
E'Twaun Moore,3148
Nic Claxton,3141
Gary Clark,3080
Theo Pinson,3058
Thabo Sefolosha,3055
Dylan Windler,3013
Josh Reaves,2979
Chandler Parsons,2956
Cameron Reynolds,2887
Allen Crabbe,2877
Allonzo Trier,2863
Damian Jones,2861
Justin Wright-Foreman,2789
Kyle Guy,2757
Charlie Brown Jr.,2706
Jordan Bell,2701
Tyler Johnson,2689
Chandler Hutchison,2687
Cory Joseph,2674
Edmond Sumner,2616
Rodney McGruder,2586
Derrick Walton,2583
Cody Martin,2571
Admiral Schofield,2571
Evan Turner,2548
Alfonzo McKinnie,2537
Jarrell Brantley,2517
Naz Reid,2485
Nigel Williams-Goss,2484
Gary Trent Jr.,2484
Trevor Ariza,2464
Michael Carter-Williams,2439
Timothé Luwawu-Cabarrot,2376
Ty Jerome,2359
Jerome Robinson,2345
Frank Jackson,2327
Brandon Knight,2305
Juwan Morgan,2304
Jordan Bone,2242
De'Anthony Melton,2240
Keita Bates-Diop,2230
Marial Shayok,2185
Marvin Williams,2146
Shamorie Ponds,2123
Zhaire Smith,2090
Reggie Jackson,2077
Tyus Jones,2061
Harry Giles,2051
Terance Mann,2041
Garrison Mathews,1999
Dean Wade,1964
Shaquille Harrison,1955
Yogi Ferrell,1954
Wes Iwundu,1952
Mfiondu Kabengele,1948
Michael Kidd-Gilchrist,1942
T.J. Leaf,1939
Jared Harper,1907
Adam Mokoka,1896
Luke Kornet,1892
Justin Patton,1874
Miye Oni,1851
Khyri Thomas,1837
Damyean Dotson,1823
Khem Birch,1802
Jaylen Hoard,1778
Keldon Johnson,1777
Caleb Martin,1761
Alize Johnson,1703
Brian Bowen,1692
Tyler Cook,1686
Josh Jackson,1676
PJ Dozier,1652
Louis King,1648
Jarred Vanderbilt,1631
KZ Okpala,1590
Max Strus,1583
Ivan Rabb,1556
Quinndary Weatherspoon,1551
Chimezie Metu,1548
John Henson,1546
Daryl Macon,1545
Drew Eubanks,1538
Shake Milton,1496
Solomon Hill,1431
JaKarr Sampson,1390
Amir Coffey,1335
Michael Frazier,1312
Henry Ellenson,1300
Naz Mitrou-Long,1236
Caleb Swanigan,1228
Moses Brown,1195
Kobi Simmons,1188
C.J. Miles,1150
Johnathan Motley,1134
Dewayne Dedmon,1133
Wayne Ellington,1131
Tim Frazier,1109
Wenyen Gabriel,1057
Zylan Cheatham,985
Kenrich Williams,983
Justin James,981
Kelan Martin,974
Jaylen Nowell,952
Jalen McDaniels,949
Noah Vonleh,922
Josh Magette,912
Darius Miller,909
Amile Jefferson,893
B.J. Johnson,892
John Konchar,774
Jordan McLaughlin,771
Robert Franks,746
DaQuan Jeffries,737
Josh Gray,678
Treveon Graham,628
Melvin Frazier,513
Justin Robinson,477
Chris Chiozza,271
Jeff Green,219
