Player,Votes
Stephen Curry,1513324.0
LeBron James,1470483.0
Anthony Davis,1369911.0
Kobe Bryant,1152402.0
James Harden,1069368.0
Pau Gasol,974177.0
John Wall,886368.0
Kyle Lowry,805290.0
Marc Gasol,795121.0
Dwyane Wade,789839.0
Blake Griffin,700615.0
Carmelo Anthony,647005.0
Marcin Gortat,570005.0
Chris Paul,551167.0
Tim Duncan,546817.0
Kevin Durant,545226.0
Chris Bosh,542006.0
Kyrie Irving,535873.0
LaMarcus Aldridge,498131.0
DeMarcus Cousins,465334.0
Jimmy Butler,455756.0
Kevin Love,386208.0
Derrick Rose,379994.0
Damian Lillard,365417.0
Dwight Howard,348275.0
Klay Thompson,314254.0
Dirk Nowitzki,292557.0
Russell Westbrook,248758.0
Jonas Valančiūnas,231741.0
Rajon Rondo,219506.0
Jeremy Lin,216246.0
Joakim Noah,203718.0
DeMar DeRozan,159123.0
Rudy Gay,144702.0
Kawhi Leonard,132150.0
Nikola Vučević,129293.0
Paul Millsap,121938.0
DeAndre Jordan,117816.0
Al Horford,114955.0
Al Jefferson,110980.0
Serge Ibaka,107223.0
Kevin Garnett,106820.0
Nikola Mirotić,103645.0
Mike Conley,103015.0
Draymond Green,99039.0
Tyson Chandler,98654.0
Andre Drummond,86717.0
Jeff Teague,83900.0
Lou Williams,82135.0
Giannis Antetokounmpo,55014.0
