Player,Votes
LeBron James,1416419.0
Kevin Durant,1396294.0
Paul George,1211318.0
Stephen Curry,1047281.0
Kobe Bryant,988884.0
Carmelo Anthony,935702.0
Dwyane Wade,929542.0
Kyrie Irving,860221.0
Chris Paul,804309.0
Blake Griffin,688466.0
Kevin Love,661246.0
Dwight Howard,653318.0
Jeremy Lin,628818.0
LaMarcus Aldridge,609172.0
Roy Hibbert,524809.0
Tim Duncan,492657.0
James Harden,470381.0
Chris Bosh,406867.0
John Wall,393129.0
Derrick Rose,359546.0
Russell Westbrook,317338.0
Anthony Davis,286247.0
Damian Lillard,280966.0
Andre Iguodala,266611.0
Tony Parker,258751.0
DeMarcus Cousins,255005.0
Ray Allen,250909.0
Pau Gasol,247323.0
David Lee,232210.0
Kevin Garnett,209398.0
Dirk Nowitzki,201873.0
Joakim Noah,181145.0
Rajon Rondo,174654.0
Chandler Parsons,174512.0
Andre Drummond,163798.0
Klay Thompson,162984.0
Lance Stephenson,148382.0
Tyson Chandler,137512.0
DeMar DeRozan,131228.0
Ömer Aşık,130344.0
George Hill,129533.0
Andrew Bogut,127947.0
Deron Williams,126423.0
Ricky Rubio,124230.0
Luol Deng,121754.0
Jeff Green,121040.0
Carlos Boozer,103502.0
David West,95363.0
Paul Pierce,95034.0
Josh Smith,75433.0
