Player,Votes
Dwight Howard,1600390.0
Kobe Bryant,1555479.0
Derrick Rose,1514723.0
LeBron James,1360680.0
Kevin Durant,1345566.0
Dwyane Wade,1334223.0
Chris Paul,1138743.0
Andrew Bynum,1051945.0
Carmelo Anthony,1041290.0
Blake Griffin,876451.0
Rajon Rondo,547110.0
Pau Gasol,470353.0
Dirk Nowitzki,468435.0
Ricky Rubio,397456.0
Amar'e Stoudemire,383734.0
Ray Allen,382147.0
Kevin Love,373880.0
Kevin Garnett,367914.0
Chris Bosh,324605.0
DeAndre Jordan,322056.0
Marc Gasol,285525.0
LaMarcus Aldridge,279500.0
Steve Nash,276268.0
Luol Deng,276205.0
Russell Westbrook,262186.0
Joakim Noah,236497.0
Paul Pierce,215020.0
Deron Williams,208697.0
Nenê,207102.0
Kyle Lowry,185584.0
Tim Duncan,185069.0
Carlos Boozer,175828.0
Tyson Chandler,163077.0
Monta Ellis,156603.0
Andrea Bargnani,152362.0
Lamar Odom,142830.0
Marcin Gortat,136168.0
José Calderón,132167.0
Chauncey Billups,120961.0
Josh Smith,119638.0
Jason Kidd,114924.0
Richard Hamilton,111368.0
Manu Ginóbili,111273.0
Danilo Gallinari,110245.0
Joel Anthony,101307.0
John Wall,96606.0
Kyrie Irving,96346.0
Rudy Gay,95228.0
Joe Johnson,66145.0
JaVale McGee,63765.0
