Player,Votes
Marcus Morris,8549
Bobby Portis,8541
Nickeil Alexander-Walker,8230
Mo Bamba,8207
Furkan Korkmaz,8116
Payton Pritchard,7845
Dario Šarić,7747
Cam Reddish,7729
Jared Dudley,7589
Kevin Knox,7534
Thaddeus Young,7327
Kevin Huerter,7176
Markelle Fultz,7174
Monte Morris,7045
Derrick Favors,6811
Reggie Jackson,6806
Eric Bledsoe,6724
Otto Porter Jr.,6720
Mike Muscala,6658
Alec Burks,6261
Mason Plumlee,6232
Vlatko Čančar,6131
Cody Zeller,6058
Udonis Haslem,6000
Naz Reid,5995
Jeremy Lamb,5937
Aleksej Pokusevski,5790
Ivica Zubac,5728
J.J. Redick,5594
Wesley Matthews,5531
Robin Lopez,5348
Kelly Olynyk,5293
Dillon Brooks,5279
Ignas Brazdeikis,5197
Gary Trent Jr.,5120
Kendrick Nunn,4957
Cristiano Felício,4956
Matisse Thybulle,4955
Terrence Ross,4950
Markieff Morris,4834
Quinn Cook,4833
Josh Jackson,4759
Deividas Sirvydis,4555
Grayson Allen,4512
Kyle Anderson,4471
Will Barton,4466
Gary Harris,4405
Jaren Jackson Jr.,4377
Al-Farouq Aminu,4343
Juancho Hernangómez,4329
Josh Richardson,4284
Hamidou Diallo,4237
Danuel House Jr.,4235
Jalen Brunson,4199
Justin Holiday,4183
Luke Kennard,4166
Brad Wanamaker,4092
Jonathan Isaac,4081
Matthew Dellavedova,4045
Willie Cauley-Stein,4020
Spencer Dinwiddie,3938
Hassan Whiteside,3908
Semi Ojeleye,3879
Nico Mannion,3815
Grant Williams,3806
Bismack Biyombo,3800
Tyrese Maxey,3738
Josh Hart,3719
Nerlens Noel,3668
Goga Bitadze,3628
Elfrid Payton,3608
Moritz Wagner,3599
Gorgui Dieng,3594
T.J. McConnell,3559
Nic Claxton,3542
Wayne Ellington,3521
Taj Gibson,3450
Théo Maledon,3427
Isaiah Roby,3426
George Hill,3403
Dwight Powell,3325
James Johnson,3275
Norvel Pelle,3271
Xavier Tillman Sr.,3247
Trevor Ariza,3236
Frank Kaminsky,3196
Mike Scott,3188
Meyers Leonard,3164
Avery Bradley,3079
Isaac Bonga,3075
Alen Smailagić,3036
Austin Rivers,3016
Tony Bradley,3013
Willy Hernangómez,3010
DeAndre' Bembry,2989
Ryan Arcidiacono,2985
Devontae Cacok,2932
Justise Winslow,2917
Pat Connaughton,2889
Saddiq Bey,2881
Sekou Doumbouya,2855
James Ennis III,2811
Stanley Johnson,2733
Rayjon Tucker,2635
Marques Bolden,2608
Zach Collins,2598
D.J. Augustin,2521
Khem Birch,2496
Reggie Perry,2480
Isaac Okoro,2369
Jordan Poole,2337
Delon Wright,2317
Jevon Carter,2278
Lonnie Walker IV,2224
Daniel Gafford,2197
Nicolò Melli,2170
Jarred Vanderbilt,2168
Bruce Brown,2133
Trey Burke,2107
Tomáš Satoranský,2067
Bryn Forbes,2042
Killian Hayes,2030
Vincent Poirier,1922
Dwayne Bacon,1911
Taurean Prince,1902
Dean Wade,1862
Rodions Kurucs,1854
Malik Monk,1839
Jaxson Hayes,1832
Timothé Luwawu-Cabarrot,1827
Paul Reed,1819
Greg Whittington,1771
Torrey Craig,1741
Jay Scrubb,1739
Udoka Azubuike,1735
Derrick White,1731
Max Strus,1731
Frank Ntilikina,1707
Killian Tillie,1688
Alex Len,1662
Drew Eubanks,1661
Troy Brown Jr.,1658
Cory Joseph,1651
Sterling Brown,1632
Terance Mann,1618
Isaiah Stewart,1613
Desmond Bane,1605
Kevin Porter Jr.,1543
Svi Mykhailiuk,1522
Mamadi Diakite,1506
Georges Niang,1484
Kyle Guy,1457
Harry Giles,1436
Carsen Edwards,1389
Maurice Harkless,1374
Justin Jackson,1372
Jahlil Okafor,1359
Dylan Windler,1354
Ed Davis,1334
Keljin Blevins,1334
David Nwaba,1331
Luka Šamanić,1288
Sam Merrill,1281
Keita Bates-Diop,1276
Nassir Little,1261
Abdel Nader,1235
Onyeka Okongwu,1224
Jabari Parker,1213
Jaden McDaniels,1201
Tyus Jones,1187
Bruno Fernando,1185
Anthony Gill,1174
Isaiah Hartenstein,1159
Ben McLemore,1151
R.J. Hampton,1130
Terence Davis,1129
Mychal Mulder,1120
D.J. Wilson,1108
Michael Carter-Williams,1102
Garrett Temple,1090
Trey Lyles,1070
Quinndary Weatherspoon,1067
Landry Shamet,1066
Patrick McCaw,1057
Iman Shumpert,1056
Justin James,1054
Josh Green,1042
Denzel Valentine,1037
Vernon Carey Jr.,1021
Tyler Bey,1020
Moses Brown,1012
Ty Jerome,1004
Dennis Smith Jr.,1000
Reggie Bullock,1000
Luke Kornet,996
Glenn Robinson III,987
Matt Thomas,969
John Konchar,951
Jeff Teague,950
Jordan Nwora,948
Solomon Hill,928
Aaron Holiday,919
Paul Watson,908
Will Magnay,905
Dante Exum,905
Garrison Mathews,896
Mason Jones,895
Damyean Dotson,894
Alfonzo McKinnie,880
Kira Lewis Jr.,878
Markus Howard,855
Chris Chiozza,850
Jarrett Culver,848
Anfernee Simons,833
PJ Dozier,833
Jake Layman,829
Ish Smith,817
Mfiondu Kabengele,810
Javonte Green,806
Wenyen Gabriel,804
Kenyon Martin Jr.,804
Jordan Bone,787
Terrance Ferguson,784
JaKarr Sampson,781
Lamar Stevens,780
Nate Darling,775
Gary Clark,759
Zeke Nnaji,737
Cameron Payne,733
Theo Pinson,730
Jarrell Brantley,716
Isaiah Joe,715
Nick Richards,714
Cassius Winston,712
Tre Jones,708
Chuma Okeke,694
Naji Marshall,687
Patrick Patterson,679
Brian Bowen,659
Wes Iwundu,658
Jalen Smith,658
Amir Coffey,642
Chris Silva,640
Rodney McGruder,618
CJ Elleby,618
Devin Vassell,598
Malachi Flynn,596
KZ Okpala,596
Romeo Langford,593
Sean McDermott,593
Gabe Vincent,588
Kenrich Williams,585
Jalen Harris,582
Tony Snell,582
Kelan Martin,576
Rodney Hood,575
De'Anthony Melton,574
Kris Dunn,572
Tyler Johnson,560
Jalen McDaniels,557
Langston Galloway,538
Juwan Morgan,535
Caleb Martin,525
Jared Harper,522
Chimezie Metu,519
Shaquille Harrison,517
Devon Dotson,515
Jerome Robinson,507
Ashton Hagans,502
Robert Woodard II,501
Frank Jackson,483
Josh Okogie,482
Jontay Porter,479
Trent Forrest,479
Jordan McLaughlin,468
Cody Martin,463
Aaron Nesmith,459
Tyrell Terry,455
Nathan Knight,454
Grant Riller,445
Miye Oni,430
E'Twaun Moore,415
Josh Hall,413
Brandon Goodwin,408
Jalen Lecque,407
Daniel Oturu,386
Cassius Stanley,386
Elijah Hughes,380
Adam Mokoka,379
Jaylen Nowell,378
Jahmi'us Ramsey,373
DaQuan Jeffries,373
Darius Miller,369
Skylar Mays,363
Chandler Hutchison,361
Tremont Waters,356
Damian Jones,353
Karim Mané,349
Sindarius Thornwell,326
Saben Lee,308
Edmond Sumner,301
Brodric Thomas,275
Nate Hinton,238
