Player,Votes
LeBron James,5922554
Kevin Durant,5567106
Stephen Curry,5481033
Giannis Antetokounmpo,4459276
Nikola Jokić,4208879
Joel Embiid,4171690
Bradley Beal,3485051
Kawhi Leonard,3388151
Luka Dončić,3335042
Anthony Davis,3075499
Damian Lillard,2848663
Kyrie Irving,2765320
James Harden,2347594
Jayson Tatum,2295299
Zach LaVine,1500979
Jaylen Brown,1401416
Paul George,1310058
Zion Williamson,1250684
Trae Young,991857
Jimmy Butler,938855
Andrew Wiggins,771737
Bam Adebayo,753846
Donovan Mitchell,741272
Christian Wood,676320
Julius Randle,652417
Devin Booker,615858
Brandon Ingram,606826
Ja Morant,556311
Domantas Sabonis,555788
Carmelo Anthony,497474
Gordon Hayward,493526
Russell Westbrook,462605
Derrick Rose,460049
Collin Sexton,455806
Fred VanVleet,431769
Jerami Grant,427925
Draymond Green,424869
Chris Paul,391667
Rudy Gobert,388106
Alex Caruso,371648
Ben Simmons,366887
Kyle Lowry,356185
Pascal Siakam,346581
Klay Thompson,335859
Nikola Vučević,313265
CJ McCollum,303210
LaMelo Ball,299068
Tobias Harris,297079
Shai Gilgeous-Alexander,288073
DeMar DeRozan,280774
James Wiseman,262781
Kristaps Porziņģis,258944
Karl-Anthony Towns,229432
Kelly Oubre Jr.,216470
Tyler Herro,199756
Jordan Clarkson,194457
De'Aaron Fox,192247
Andre Drummond,189640
Khris Middleton,181478
Kyle Kuzma,177565
John Wall,172427
Jamal Murray,163870
Malcolm Brogdon,163014
Montrezl Harrell,147724
Dwight Howard,142606
OG Anunoby,140800
Mike Conley,135103
Seth Curry,133502
Dennis Schröder,126621
Kentavious Caldwell-Pope,124419
Bojan Bogdanović,123008
Clint Capela,117487
Kemba Walker,113775
Goran Dragić,113122
Chris Boucher,113109
Deandre Ayton,110069
Victor Oladipo,107548
Tacko Fall,106303
Michael Porter Jr.,105512
RJ Barrett,102535
Jarrett Allen,93246
Jrue Holiday,91969
Lauri Markkanen,86378
Deni Avdija,86051
Marcus Smart,84708
Joe Ingles,80890
Jonas Valančiūnas,78027
Myles Turner,77322
Steven Adams,75952
John Collins,71410
Blake Griffin,71247
LaMarcus Aldridge,68593
Mikal Bridges,66027
Serge Ibaka,63096
Talen Horton-Tucker,62873
Enes Freedom,60993
DeMarcus Cousins,60472
Rui Hachimura,60077
Aaron Gordon,59481
DeAndre Jordan,58347
Duncan Robinson,58142
Lonzo Ball,57363
Kevin Love,55031
Al Horford,53546
D'Angelo Russell,51687
Marc Gasol,46896
De'Andre Hunter,46234
JaVale McGee,45300
Jeff Green,45144
Coby White,45114
Boban Marjanović,44301
Terry Rozier,44130
Facundo Campazzo,42618
Andre Iguodala,42195
Daniel Theis,41324
Harrison Barnes,41105
Brook Lopez,40248
Donte DiVincenzo,37813
Damion Lee,37456
Immanuel Quickley,35972
Mitchell Robinson,35950
Larry Nance Jr.,32793
Dejounte Murray,32174
Cedi Osman,31760
Wendell Carter Jr.,31617
Patrick Williams,28823
Tim Hardaway Jr.,28076
Yuta Watanabe,27833
Bogdan Bogdanović,27282
Eric Gordon,27062
Bol Bol,25771
Joe Harris,25321
Shake Milton,25114
Miles Bridges,24489
Jusuf Nurkić,23868
Caris LeVert,23739
Kostas Antetokounmpo,23522
Eric Paschall,23149
Evan Fournier,22712
Rudy Gay,22129
Patrick Beverley,21992
Tristan Thompson,21772
P.J. Tucker,21085
Cameron Johnson,20797
Darius Garland,20520
Luguentz Dort,20355
Richaun Holmes,20205
Malik Beasley,19991
Royce O'Neale,19724
Rajon Rondo,18734
Thanasis Antetokounmpo,18728
Maxi Kleber,17698
Buddy Hield,17401
Precious Achiuwa,17325
Brandon Clarke,16895
Danny Green,16564
Lou Williams,16500
Kevon Looney,16483
Nicolas Batum,16224
Keldon Johnson,15926
Dāvis Bertāns,15778
T.J. Warren,15487
Darius Bazley,15058
P.J. Washington,15031
Marvin Bagley III,14930
Nemanja Bjelica,14481
Robert Williams,14338
Aron Baynes,13959
Jakob Poeltl,13901
Jae Crowder,13262
Juan Toscano-Anderson,13175
Raul Neto,13063
Robert Covington,12792
Doug McDermott,12577
Jae'Sean Tate,12458
Dorian Finney-Smith,12082
Patty Mills,12014
Danilo Gallinari,11961
Cole Anthony,11864
Jaylen Adams,11757
Obi Toppin,11553
Tyrese Haliburton,11334
Derrick Jones Jr.,11147
Devonte' Graham,11000
Thomas Bryant,10532
Anthony Edwards,10504
Ty-Shon Alexander,9848
JaMychal Green,9772
Norman Powell,9389
Ricky Rubio,9289
Marquese Chriss,8921
Paul Millsap,8842
Kent Bazemore,8643
