Player,Votes
Tyler Ennis,10953
Marco Belinelli,10875
James Michael McAdoo,10852
Nikola Mirotić,10803
Joe Ingles,10799
Kyle Anderson,10754
Derrick Favors,10700
Willy Hernangómez,10672
Otto Porter Jr.,10661
Jahlil Okafor,10621
T.J. McConnell,10586
Ron Baker,10502
Nemanja Bjelica,10077
Austin Rivers,10045
Ömer Aşık,9917
Jordan McRae,9791
Bojan Bogdanović,9757
Salah Mejri,9658
Kyle O'Quinn,9570
Metta World Peace,9277
Kenneth Faried,9132
Michael Carter-Williams,9053
Marreese Speights,9042
Michael Kidd-Gilchrist,8987
John Henson,8932
Evan Fournier,8882
Robin Lopez,8763
Luol Deng,8701
Pascal Siakam,8339
Luc Mbah a Moute,8177
K.J. McDaniels,8164
Robert Covington,8068
Amir Johnson,7916
Bismack Biyombo,7804
Reggie Jackson,7749
Doug McDermott,7464
Anthony Morrow,7455
Kelly Olynyk,7439
Gerald Green,7228
Nikola Vučević,7208
Deron Williams,7159
Tony Snell,6944
J.J. Barea,6923
Mason Plumlee,6910
Nik Stauskas,6660
Cameron Payne,6610
Kentavious Caldwell-Pope,6423
Tyson Chandler,6408
Khris Middleton,6347
Monta Ellis,6324
Cole Aldrich,6282
José Calderón,6278
Nick Collison,6194
Tim Hardaway Jr.,6193
Cody Zeller,6168
Chinanu Onuaku,6007
Jason Terry,5970
Tobias Harris,5884
Dejounte Murray,5867
Emmanuel Mudiay,5770
Jrue Holiday,5757
Kent Bazemore,5684
Justin Holiday,5642
Luis Scola,5563
Leandro Barbosa,5429
Frank Kaminsky,5419
Justise Winslow,5404
Tarik Black,5384
Mirza Teletović,5351
Joffrey Lauvergne,5218
Bruno Caboclo,5185
Raymond Felton,5138
Boris Diaw,5125
Tyler Johnson,5103
Markieff Morris,5065
Trevor Booker,5034
Mike Dunleavy,5010
Al-Farouq Aminu,4971
Chandler Parsons,4900
Buddy Hield,4883
D.J. Augustin,4831
Sean Kilpatrick,4736
Elfrid Payton,4651
Jonas Jerebko,4651
Wilson Chandler,4515
Kris Dunn,4481
Arron Afflalo,4413
Thomas Robinson,4398
Maurice Harkless,4370
Kyle Wiltjer,4295
Marvin Williams,4243
Gorgui Dieng,4231
Cristiano Felício,4225
Wesley Johnson,4212
Jakob Poeltl,4200
Wesley Matthews,4166
JaMychal Green,4101
Joe Johnson,4057
Kelly Oubre Jr.,3995
Kyle Singler,3973
Steve Novak,3909
Lavoy Allen,3888
Alexis Ajinça,3884
Matt Barnes,3804
Denzel Valentine,3701
Juancho Hernangómez,3634
Gerald Henderson,3622
Timothé Luwawu-Cabarrot,3600
Ivica Zubac,3582
Meyers Leonard,3579
Jamal Murray,3526
Troy Daniels,3489
Dante Exum,3411
Omri Casspi,3383
James Johnson,3335
Jerryd Bayless,3255
Sasha Vujačić,3216
Marcelo Huertas,3205
Terry Rozier,3190
Brandon Bass,3175
Udonis Haslem,3163
Trey Lyles,3121
Semaj Christon,3115
Alan Anderson,3096
Thaddeus Young,3076
Thabo Sefolosha,3059
Justin Anderson,3045
Willie Cauley-Stein,2989
Ed Davis,2980
Aron Baynes,2968
Richaun Holmes,2944
Al Jefferson,2936
Marcus Morris,2888
Luke Babbitt,2853
Will Barton,2826
Josh Richardson,2743
Brandon Knight,2717
Joe Harris,2692
Jared Sullinger,2679
Tyreke Evans,2621
Dragan Bender,2609
Dion Waiters,2606
Jusuf Nurkić,2592
Rondae Hollis-Jefferson,2582
Miles Plumlee,2573
Caris LeVert,2564
Gary Harris,2562
Lance Thomas,2533
Randy Foye,2529
Trey Burke,2529
Jeremy Lamb,2497
Mo Williams,2494
Aaron Brooks,2474
Allen Crabbe,2460
Marquese Chriss,2444
Tyus Jones,2406
Isaiah Canaan,2385
Evan Turner,2375
T.J. Warren,2275
Paul Zipser,2272
Wade Baldwin,2231
James Ennis III,2187
Tyler Zeller,2160
Bobby Portis,2127
Ty Lawson,2112
Nikola Peković,2109
Shabazz Muhammad,2094
Bobby Brown,2060
Malik Beasley,2060
Jerian Grant,2053
Demetrius Jackson,2046
Rashad Vaughn,2022
Dwight Powell,1993
Roy Hibbert,1984
Alec Burks,1981
C.J. Miles,1965
Mario Hezonja,1950
Darren Collison,1948
Isaiah Whitehead,1910
Tyler Ulis,1901
Malcolm Delaney,1890
Shelvin Mack,1889
Justin Hamilton,1873
Bryn Forbes,1865
Jeff Green,1860
Marshall Plumlee,1858
Tomáš Satoranský,1812
Garrett Temple,1765
Nicolás Brussino,1740
Darrell Arthur,1733
Brice Johnson,1732
Tiago Splitter,1725
Glenn Robinson III,1705
Kris Humphries,1666
Raul Neto,1652
Terrence Jones,1625
Dorian Finney-Smith,1589
Festus Ezeli,1583
Wayne Ellington,1567
Tim Frazier,1549
Jon Leuer,1522
DeAndre' Bembry,1521
Spencer Hawes,1491
Donatas Motiejūnas,1471
Henry Ellenson,1463
Josh Huestis,1452
Dante Cunningham,1445
Langston Galloway,1419
James Young,1414
Jodie Meeks,1412
Rakeem Christmas,1406
Stanley Johnson,1400
Ish Smith,1397
Devin Harris,1379
Delon Wright,1360
Joel Bolomboy,1333
Jason Smith,1331
Alex Len,1297
P.J. Tucker,1284
Brandon Rush,1283
Jake Layman,1283
Ian Mahinmi,1258
Jared Dudley,1219
Deyonta Davis,1213
Mike Miller,1208
Jordan Mickey,1184
Andrew Harrison,1172
Derrick Williams,1154
Ben McLemore,1122
Troy Williams,1095
Maurice Ndour,1094
Fred VanVleet,1089
Anthony Tolliver,1083
Willie Reed,1062
Noah Vonleh,1047
Mike Muscala,1030
Jameer Nelson,991
Shabazz Napier,975
Diamond Stone,952
Rodney Stuckey,932
Pat Connaughton,917
Chris McCullough,911
Taurean Prince,890
Michael Gbinije,887
Jordan Hill,881
Cheick Diallo,877
Beno Udrih,875
Damjan Rudež,869
Adreian Payne,861
Reggie Bullock,858
Sheldon Mac,855
Solomon Hill,855
Kevin Séraphin,851
Jarell Martin,847
Spencer Dinwiddie,838
A.J. Hammons,786
Joe Young,781
Marcus Thornton,774
Tim Quarterman,767
Stephen Zimmerman,767
Rodney McGruder,762
Skal Labissière,759
Jeff Withey,740
Ramon Sessions,719
Malachi Richardson,716
Quincy Pondexter,709
Daniel Ochefu,674
Danuel House Jr.,653
Treveon Graham,642
Darrun Hilliard,640
Alonzo Gee,614
Alan Williams,607
Brandan Wright,593
Christian Wood,593
Mike Scott,587
Georges Niang,578
E'Twaun Moore,560
Josh McRoberts,552
Quincy Acy,547
Andrew Nicholson,529
Derrick Jones Jr.,505
Brian Roberts,484
Ryan Kelly,452
John Lucas III,389
C.J. Watson,369
John Jenkins,318
C.J. Wilcox,287
Pierre Jackson,220
Arinze Onuaku,216
