Player,Votes
LeBron James,1893751
Stephen Curry,1848121
James Harden,1771375
Kevin Durant,1768185
Kyrie Irving,1696769
Giannis Antetokounmpo,1604463
Russell Westbrook,1575865
Zaza Pachulia,1528941
Kawhi Leonard,1058399
Klay Thompson,1054304
Dwyane Wade,979566
Anthony Davis,974802
Joel Embiid,922174
Draymond Green,914973
Kevin Love,909488
DeMar DeRozan,796112
Isaiah Thomas,755102
Chris Paul,735460
Jimmy Butler,691072
DeMarcus Cousins,654274
Carmelo Anthony,544133
Kristaps Porziņģis,486527
Kyle Lowry,471697
Jordan Clarkson,460979
Eric Gordon,450891
Paul George,426325
Karl-Anthony Towns,367199
Damian Lillard,340593
Derrick Rose,337706
LaMarcus Aldridge,323814
John Wall,301437
Blake Griffin,295161
Andre Iguodala,290271
Marc Gasol,273705
Tristan Thompson,245822
DeAndre Jordan,237708
JaVale McGee,229738
Trevor Ariza,221369
Manu Ginóbili,214670
Pau Gasol,214387
Ryan Anderson,207227
Jeremy Lin,202502
Jabari Parker,198574
Nikola Jokić,173327
Kemba Walker,170299
Hassan Whiteside,169746
Patrick Beverley,169351
Ersan İlyasova,162185
Gordon Hayward,160209
Zach LaVine,156616
Dwight Howard,151155
Steven Adams,145223
Andrew Wiggins,135482
Shaun Livingston,127248
Rudy Gobert,124890
Al Horford,122190
Dirk Nowitzki,112164
Tony Parker,111148
Andre Drummond,100797
Clint Capela,97556
Avery Bradley,97441
J.R. Smith,94403
D'Angelo Russell,86770
Sam Dekker,84509
CJ McCollum,83414
Montrezl Harrell,80807
Jamal Crawford,76642
Mike Conley,75710
Vince Carter,73528
Ian Clark,71317
Devin Booker,70018
Nick Young,68085
Marcin Gortat,66667
Enes Freedom,63028
Julius Randle,57948
Jonas Valančiūnas,57857
Victor Oladipo,54023
Richard Jefferson,53771
Kyle Korver,51591
Harrison Barnes,51467
Iman Shumpert,50970
Corey Brewer,50870
Brandon Ingram,50498
Bradley Beal,48243
Nenê,47820
Channing Frye,46384
Danny Green,43922
Rajon Rondo,42247
J.J. Redick,41211
Patty Mills,40483
Paul Millsap,39551
Terrence Ross,38516
Paul Pierce,38411
David West,35631
Jae Crowder,31413
Nicolas Batum,30912
Lou Williams,29970
Jonathon Simmons,29584
Serge Ibaka,29123
George Hill,28120
Brook Lopez,27227
Eric Bledsoe,27187
Joakim Noah,26886
Goran Dragić,26834
DeMarre Carroll,26782
Malcolm Brogdon,25077
Matthew Dellavedova,24701
Patrick Patterson,24390
Chris Bosh,23865
Dennis Schröder,23565
David Lee,23334
Aaron Gordon,22774
Seth Curry,21717
Danilo Gallinari,21160
Patrick McCaw,21159
Dāvis Bertāns,20639
Zach Randolph,20490
Larry Nance Jr.,20368
DeAndre Liggins,20042
Lucas Nogueira,19837
Ricky Rubio,19495
Ben Simmons,19048
Myles Turner,18655
Sergio Rodríguez,18472
Andre Roberson,17977
Dewayne Dedmon,17245
Anderson Varejão,17240
James Jones,16782
Brandon Jennings,16639
Domantas Sabonis,16325
Álex Abrines,16299
Chris Andersen,16219
Kosta Koufos,15999
Taj Gibson,15589
Rodney Hood,15555
Michael Beasley,15458
Tony Allen,15301
Cory Joseph,14122
Timofey Mozgov,13795
Rudy Gay,13662
Norman Powell,13509
Marcus Smart,12582
Kay Felder,12425
Georgios Papagiannis,12404
Jaylen Brown,12370
Mindaugas Kuzminskas,12272
Damian Jones,12176
Nerlens Noel,12079
Greg Monroe,12006
Courtney Lee,11832
Boban Marjanović,11551
Kevon Looney,11519
Jerami Grant,11455
Jeff Teague,11422
Andrew Bogut,11400
Thon Maker,11233
Dario Šarić,11068
