Player,Votes
Kobe Bryant,1591437.0
LeBron James,1583646.0
Kevin Durant,1504047.0
Carmelo Anthony,1460950.0
Dwyane Wade,1052310.0
Chris Paul,929155.0
Rajon Rondo,924180.0
Dwight Howard,922070.0
Jeremy Lin,883809.0
Blake Griffin,863832.0
Kevin Garnett,553222.0
Chris Bosh,528014.0
Tim Duncan,492373.0
James Harden,485986.0
Tyson Chandler,467968.0
Deron Williams,449791.0
Kyrie Irving,445730.0
Russell Westbrook,376411.0
Ray Allen,326186.0
Pau Gasol,310845.0
Paul Pierce,294213.0
Kevin Love,283458.0
Steve Nash,270741.0
Ömer Aşık,240467.0
Joakim Noah,230796.0
Serge Ibaka,197063.0
Josh Smith,187174.0
Rudy Gay,182523.0
Tony Parker,176168.0
Stephen Curry,169083.0
David Lee,165875.0
LaMarcus Aldridge,160197.0
Marc Gasol,153459.0
Shane Battier,151877.0
Ricky Rubio,150227.0
Anderson Varejão,149246.0
Amar'e Stoudemire,147720.0
Zach Randolph,146980.0
Dirk Nowitzki,145776.0
Chandler Parsons,144697.0
Luol Deng,130744.0
Monta Ellis,123096.0
Manu Ginóbili,118293.0
Andrew Bynum,111902.0
Brook Lopez,108978.0
Raymond Felton,105340.0
Jrue Holiday,103146.0
Jeff Green,91356.0
Jason Terry,88708.0
Paul George,80060.0
