Player,Votes
Kobe Bryant,1891614.0
Stephen Curry,1604325.0
LeBron James,1089206.0
Kevin Durant,980787.0
Dwyane Wade,941466.0
Kawhi Leonard,782339.0
Russell Westbrook,772009.0
Zaza Pachulia,768112.0
Draymond Green,726616.0
Paul George,711595.0
Blake Griffin,651860.0
Kyle Lowry,646441.0
Chris Paul,624334.0
Kyrie Irving,580651.0
Carmelo Anthony,567348.0
Pau Gasol,566988.0
Jimmy Butler,564637.0
Klay Thompson,555513.0
Enes Freedom,534499.0
Andre Drummond,515296.0
Kristaps Porziņģis,473579.0
DeMar DeRozan,444868.0
Tim Duncan,431087.0
James Harden,430777.0
Anthony Davis,400688.0
John Wall,368686.0
DeMarcus Cousins,364270.0
Chris Bosh,351420.0
Kevin Love,332685.0
Derrick Rose,302389.0
Hassan Whiteside,301362.0
DeAndre Jordan,269427.0
LaMarcus Aldridge,268003.0
Manu Ginóbili,226289.0
Dwight Howard,219761.0
Rajon Rondo,200518.0
Jeremy Lin,195920.0
Tony Parker,195472.0
Andre Iguodala,181142.0
Dirk Nowitzki,173317.0
Damian Lillard,158360.0
Harrison Barnes,155289.0
Isaiah Thomas,153642.0
Giannis Antetokounmpo,84617.0
Reggie Jackson,76688.0
Jonas Valančiūnas,73079.0
Joakim Noah,48509.0
DeMarre Carroll,46044.0
Marcin Gortat,43496.0
Paul Millsap,41654.0
