Player,Votes
LeBron James,2638294
Giannis Antetokounmpo,2530211
Stephen Curry,2379494
Kevin Durant,2238406
Kyrie Irving,2170833
Manu Ginóbili,1808860
James Harden,1486830
Joel Embiid,1285587
Russell Westbrook,1241129
Klay Thompson,1239768
Draymond Green,1135478
Kristaps Porziņģis,1116769
Anthony Davis,1088230
DeMar DeRozan,998999
DeMarcus Cousins,922269
Paul George,881287
Kevin Love,771929
Kawhi Leonard,741838
Ben Simmons,669397
Victor Oladipo,634495
Dwyane Wade,617271
Carmelo Anthony,612021
Lonzo Ball,607961
LaMarcus Aldridge,578853
Chris Paul,562428
Karl-Anthony Towns,552376
John Wall,542836
Kyle Kuzma,524927
Isaiah Thomas,449091
Damian Lillard,439462
Jayson Tatum,422620
Al Horford,384936
Steven Adams,360822
Jimmy Butler,329435
Kyle Lowry,322036
Enes Freedom,294926
Bradley Beal,269238
Devin Booker,268041
Andre Iguodala,258417
Brandon Ingram,230653
Andre Drummond,220736
Jaylen Brown,205104
Blake Griffin,194045
Jordan Clarkson,188834
Dwight Howard,186844
Clint Capela,175917
Pau Gasol,158330
Derrick Rose,146481
Tony Parker,139487
Donovan Mitchell,139468
Andrew Wiggins,138754
Zaza Pachulia,134204
Jordan Bell,130915
Eric Bledsoe,124232
Eric Gordon,123412
DeAndre Jordan,120399
Zhou Qi,117623
Serge Ibaka,117077
Nikola Jokić,114929
Khris Middleton,109913
Kemba Walker,100632
Kyle Korver,99576
Dirk Nowitzki,98794
CJ McCollum,96818
Hassan Whiteside,85802
Aaron Gordon,82507
Cedi Osman,80610
Marc Gasol,80251
Nick Young,79650
Gordon Hayward,79261
Trevor Ariza,70852
Jeff Green,70349
Lou Williams,70050
David West,66991
JaVale McGee,65755
Andre Roberson,63984
Goran Dragić,63387
Michael Beasley,62966
Jonas Valančiūnas,62472
Tim Hardaway Jr.,57357
Jae Crowder,55405
Myles Turner,52214
Rudy Gay,51456
Shaun Livingston,50631
J.R. Smith,49454
Vince Carter,49215
Danny Green,48661
Tristan Thompson,48564
Julius Randle,48239
Omri Casspi,47561
OG Anunoby,44290
Rudy Gobert,43741
Lauri Markkanen,43622
Tobias Harris,40136
Malcolm Brogdon,39598
D'Angelo Russell,38712
Kyle Anderson,38335
Patty Mills,36836
Dario Šarić,36736
Otto Porter Jr.,36302
Rajon Rondo,35281
Bogdan Bogdanović,33842
Dāvis Bertāns,33674
Ryan Anderson,33494
Larry Nance Jr.,33442
J.J. Redick,32874
J.J. Barea,32164
Nikola Mirotić,32075
Aron Baynes,31523
Robert Covington,31097
Spencer Dinwiddie,30782
Jeremy Lin,30526
Marcus Smart,29252
Frank Ntilikina,28456
Domantas Sabonis,27989
Kelly Oubre Jr.,27847
Zach LaVine,27614
Miloš Teodosić,26374
Jusuf Nurkić,26211
Álex Abrines,25921
Dennis Schröder,25531
Marcus Morris,25191
Harrison Barnes,24636
Marcin Gortat,23934
Nenê,22502
Courtney Lee,22226
P.J. Tucker,21879
Patrick McCaw,21266
Lance Stephenson,21254
Dennis Smith Jr.,21205
Bam Adebayo,21028
Ersan İlyasova,20404
Georgios Papagiannis,20082
Avery Bradley,19318
José Calderón,19280
Thon Maker,19158
Brook Lopez,18907
Joe Ingles,18366
Seth Curry,17834
C.J. Miles,17766
Terry Rozier,17728
De'Aaron Fox,17127
Kris Dunn,16981
John Henson,16459
Bojan Bogdanović,16441
Ricky Rubio,16243
Tyreke Evans,16138
Luc Mbah a Moute,15856
Norman Powell,15432
Taj Gibson,15417
Jamal Crawford,15414
Dejounte Murray,15023
T.J. McConnell,14657
Raymond Felton,14490
Channing Frye,14331
Bryn Forbes,13878
Kosta Koufos,13819
Kentavious Caldwell-Pope,13760
Jerami Grant,13536
Jrue Holiday,13508
Gerald Green,13500
Jakob Poeltl,13464
Jamal Murray,13391
Boban Marjanović,13377
Jabari Parker,13373
Gary Harris,13348
Matthew Dellavedova,13206
Quincy Acy,12948
Nikola Vučević,12734
Derrick Favors,12491
T.J. Warren,12473
Danilo Gallinari,12296
Daniel Theis,12290
Zach Randolph,12280
Josh Richardson,12167
Marco Belinelli,12068
Mike Conley,11835
Jarrett Allen,11705
Jonathon Simmons,11665
Markelle Fultz,11551
Josh Hart,11383
Terrance Ferguson,11378
Al-Farouq Aminu,11032
Thaddeus Young,10960
Kadeem Allen,10822
Nemanja Bjelica,10690
Arron Afflalo,10621
Robin Lopez,10517
Dion Waiters,10512
Paul Millsap,10388
Jarrett Jack,10265
Ron Baker,10238
Pascal Siakam,10131
Jeff Teague,9947
Reggie Jackson,9937
Markieff Morris,9492
Michael Kidd-Gilchrist,9353
Evan Fournier,9177
Cole Aldrich,8972
Iman Shumpert,8894
Furkan Korkmaz,8823
Nicolas Batum,8803
Tyson Chandler,8573
Doug McDermott,8558
Willy Hernangómez,8439
Rondae Hollis-Jefferson,8255
Kelly Olynyk,8008
Alexis Ajinça,8007
Nicolás Brussino,7945
Jahlil Okafor,7831
Rodney Hood,7742
Tony Allen,7742
Willie Cauley-Stein,7657
Joakim Noah,7548
James Johnson,7535
Nick Collison,7445
Josh Jackson,7263
Kevon Looney,7166
Darren Collison,7092
Austin Rivers,7073
Ömer Aşık,6996
Ed Davis,6920
Quinn Cook,6902
Frank Kaminsky,6875
Kyle O'Quinn,6764
Delon Wright,6757
Patrick Beverley,6725
Tarik Black,6575
John Collins,6509
DeMarre Carroll,6425
Wayne Ellington,6247
Dewayne Dedmon,6074
Mike Scott,6020
Bismack Biyombo,5841
Trevor Booker,5828
Andrew Bogut,5790
Tyus Jones,5782
Dwayne Bacon,5716
Thomas Bryant,5699
Fred VanVleet,5660
Caris LeVert,5623
Patrick Patterson,5601
Kenneth Faried,5597
Jerian Grant,5412
Ike Anigbogu,5391
Kent Bazemore,5336
Dragan Bender,5277
Sam Dekker,5274
Tyler Johnson,5205
Tony Snell,5144
Joffrey Lauvergne,5132
Jeremy Lamb,5094
Bruno Caboclo,5071
Denzel Valentine,5049
