Player,Votes
Justin Holiday,5046
Marquese Chriss,5039
Lucas Nogueira,4980
Maurice Harkless,4979
Corey Brewer,4972
Tyler Dorsey,4754
Chris Boucher,4751
Elfrid Payton,4717
Udonis Haslem,4702
Cristiano Felício,4693
Justin Anderson,4655
Bobby Portis,4638
Juancho Hernangómez,4605
Matt Costello,4598
James Michael McAdoo,4564
Shane Larkin,4545
Yogi Ferrell,4502
Richard Jefferson,4501
Ryan Arcidiacono,4465
Mario Hezonja,4452
Tyler Ulis,4452
Malik Monk,4432
Damian Jones,4328
Luke Babbitt,4245
Treveon Graham,4227
Maxi Kleber,4220
Josh Huestis,4188
Cory Joseph,4185
Ivica Zubac,4169
Al Jefferson,4147
Guerschon Yabusele,4124
Will Barton,4106
Trey Lyles,4048
Allen Crabbe,4044
Greg Monroe,4007
Buddy Hield,4002
Ekpe Udoh,3951
Ante Žižić,3905
T.J. Leaf,3903
Montrezl Harrell,3892
Jason Terry,3862
Zach Collins,3832
Luke Kennard,3778
John Holland,3744
Jabari Bird,3744
Joe Harris,3705
Alex Caruso,3698
Luol Deng,3690
Richaun Holmes,3689
Semi Ojeleye,3673
Gorgui Dieng,3611
A.J. Hammons,3584
Jonas Jerebko,3505
D.J. Augustin,3499
Tomáš Satoranský,3423
Joe Johnson,3363
Cody Zeller,3332
Thabo Sefolosha,3330
Alex Poythress,3290
Meyers Leonard,3264
Abdel Nader,3258
Brandon Paul,3256
Derrick White,3228
Harry Giles,3200
Michael Carter-Williams,3194
Taurean Prince,3149
Justise Winslow,3113
Marreese Speights,3110
Skal Labissière,3107
Dillon Brooks,3090
Timofey Mozgov,3073
Amir Johnson,3068
Wade Baldwin,3056
Paul Zipser,3020
DeAndre' Bembry,3000
Noah Vonleh,2968
Dante Exum,2929
Shabazz Napier,2921
Kyle Singler,2907
Tyler Ennis,2883
Reggie Bullock,2864
Jerryd Bayless,2853
Lance Thomas,2852
Alex Len,2790
Langston Galloway,2772
Wilson Chandler,2768
Vander Blue,2765
Isaiah Hicks,2720
Joel Bolomboy,2716
D.J. Wilson,2713
Darius Miller,2707
Stanley Johnson,2695
Wesley Matthews,2624
Mason Plumlee,2622
Mirza Teletović,2614
Dwight Powell,2579
Malik Beasley,2554
Ian Mahinmi,2534
Darrell Arthur,2523
DeAndre Liggins,2512
Marcus Georges-Hunt,2505
Jamel Artis,2489
Ish Smith,2425
Henry Ellenson,2396
Marvin Williams,2393
Frank Mason III,2389
Troy Williams,2386
Justin Jackson,2356
Chandler Parsons,2353
E'Twaun Moore,2338
Antonio Blakeney,2328
JaMychal Green,2306
Anthony Brown,2306
Alec Burks,2300
London Perrantes,2282
Caleb Swanigan,2266
Salah Mejri,2264
Bobby Brown,2221
David Nwaba,2201
Khem Birch,2197
Darrun Hilliard,2187
Anthony Tolliver,2180
Jodie Meeks,2131
Tim Frazier,2130
Brandon Knight,2127
Tyler Zeller,2105
George Hill,2089
Jonathan Isaac,2080
Dante Cunningham,2067
Chinanu Onuaku,2012
Jason Smith,2010
Evan Turner,1985
Briante Weber,1963
Cameron Payne,1955
Mario Chalmers,1933
Isaiah Taylor,1931
Damyean Dotson,1929
Lorenzo Brown,1906
Tyler Cavanaugh,1896
Isaiah Canaan,1855
Malcolm Delaney,1850
Luke Kornet,1840
Demetrius Jackson,1832
Sterling Brown,1817
Jared Dudley,1806
Nerlens Noel,1799
Joe Young,1790
Pat Connaughton,1775
Glenn Robinson III,1775
Raul Neto,1742
James Ennis III,1732
Daniel Hamilton,1727
Timothé Luwawu-Cabarrot,1722
Wesley Johnson,1718
Troy Daniels,1694
Dakari Johnson,1694
Tony Bradley,1692
Jake Layman,1684
Emmanuel Mudiay,1671
Jawun Evans,1622
Aaron Brooks,1613
PJ Dozier,1610
Miles Plumlee,1577
Sean Kilpatrick,1555
Rashad Vaughn,1544
C.J. Williams,1522
Nik Stauskas,1493
Chris McCullough,1487
Alfonzo McKinnie,1467
Solomon Hill,1380
Deyonta Davis,1367
Royce O'Neale,1364
Sindarius Thornwell,1354
Devin Harris,1352
Shabazz Muhammad,1303
Dorian Finney-Smith,1291
Dwight Buycks,1286
Jon Leuer,1268
Mangok Mathiang,1268
Ian Clark,1266
Okaro White,1263
Marcus Paige,1262
Jordan Mickey,1250
Sheldon Mac,1234
Devin Robinson,1232
Willie Reed,1217
Wes Iwundu,1211
Josh Magette,1203
Luis Montero,1195
Terrence Ross,1177
Frank Jackson,1144
Malcolm Miller,1143
Derrick Jones Jr.,1115
Johnny O'Bryant,1109
Isaiah Whitehead,1091
Brice Johnson,1090
Justin Patton,1081
Kobi Simmons,1055
Jamil Wilson,1054
Quincy Pondexter,1053
Shelvin Mack,1050
Ramon Sessions,1035
Eric Griffin,1024
JaKarr Sampson,1020
Andrew Harrison,972
Cheick Diallo,963
Danuel House Jr.,962
Jack Cooley,956
Mike James,942
Rodney McGruder,926
Erik McCree,923
Josh McRoberts,918
Jarell Martin,917
Jameer Nelson,893
Adreian Payne,873
Derrick Walton,862
Tyler Lydon,850
Torrey Craig,848
Naz Mitrou-Long,846
Gary Payton II,834
Alan Williams,823
Ivan Rabb,796
Jacob Wiley,794
James Young,791
Damien Wilkins,790
Tyrone Wallace,749
Ben McLemore,744
Brandan Wright,739
Kyle Collinsworth,685
Mike Muscala,677
Davon Reed,669
Monte Morris,653
Milton Doyle,652
Alec Peters,646
Eric Moreland,630
Jalen Jones,617
Michael Young,612
Johnathan Motley,608
Vince Hunter,604
Malachi Richardson,601
Wayne Selden,581
Garrett Temple,580
Jacob Pullen,548
C.J. Wilcox,529
Nate Wolters,514
Julyan Stone,453
Charles Cooke,446
Edmond Sumner,444
Xavier Munford,427
Trey Burke,401
Myke Henry,316
Ben Moore,267
Matt Williams,207
Yakuba Ouattara,195
Kay Felder,185
Jeff Withey,136
R.J. Hunter,133
Reggie Hearn,108
Andrew White,104
Amile Jefferson,70
James Webb III,56
Antonius Cleveland,19
Mindaugas Kuzminskas,4
