Player,Votes
LeBron James,2549693.0
Kobe Bryant,2456224.0
Dwight Howard,2360096.0
Dwyane Wade,2327550.0
Carmelo Anthony,2137560.0
Kevin Garnett,1978116.0
Amar'e Stoudemire,1824093.0
Allen Iverson,1269568.0
Steve Nash,1222235.0
Chris Bosh,1164007.0
Tim Duncan,1156696.0
Dirk Nowitzki,1093005.0
Chris Paul,1055789.0
Pau Gasol,1051785.0
Vince Carter,1048977.0
Tracy McGrady,1022492.0
Andrew Bynum,981355.0
Kevin Durant,870567.0
Shaquille O'Neal,856056.0
Ray Allen,710045.0
Trevor Ariza,645937.0
Aaron Brooks,591930.0
Luis Scola,580243.0
Derrick Rose,571911.0
Gilbert Arenas,545860.0
Paul Pierce,525677.0
Jason Kidd,523708.0
Joe Johnson,496255.0
Josh Smith,475671.0
Manu Ginóbili,465211.0
Chauncey Billups,452983.0
Tony Parker,439536.0
Rajon Rondo,425590.0
Brandon Roy,422290.0
Metta World Peace,368281.0
Nenê,364534.0
Shawn Marion,363516.0
Marc Gasol,353155.0
Antonio McDyess,328717.0
Andre Iguodala,313827.0
Danny Granger,309808.0
LaMarcus Aldridge,309497.0
Rashard Lewis,302743.0
José Calderón,292909.0
Michael Beasley,277400.0
Al Horford,270532.0
Andrea Bargnani,265024.0
Mike Bibby,223759.0
Brook Lopez,223246.0
Hedo Türkoğlu,213369.0
