Player,Votes
LeBron James,9128231
Stephen Curry,7659673
Kevin Durant,6789863
Giannis Antetokounmpo,6485720
Nikola Jokić,5311167
DeMar DeRozan,5243775
Joel Embiid,4323865
Ja Morant,3571695
Andrew Wiggins,3452586
Paul George,2805203
Trae Young,2771070
Anthony Davis,2735850
Luka Dončić,2506117
Zach LaVine,2502255
James Harden,2458923
Draymond Green,2421934
Jayson Tatum,1996181
Carmelo Anthony,1930794
Jimmy Butler,1787818
Klay Thompson,1710437
Karl-Anthony Towns,1601695
LaMelo Ball,1237410
Devin Booker,1165233
Russell Westbrook,1135015
Kyrie Irving,1133025
Chris Paul,949034
Fred VanVleet,818492
Donovan Mitchell,794563
Rudy Gobert,767505
Jarrett Allen,690279
Pascal Siakam,625189
Deandre Ayton,612845
Derrick Rose,594823
Bam Adebayo,548279
Damian Lillard,539215
Darius Garland,525728
Brandon Ingram,515096
Miles Bridges,466225
Jaylen Brown,443706
OG Anunoby,425026
LaMarcus Aldridge,409023
Tyler Herro,403865
Malik Monk,403623
Kristaps Porziņģis,390118
Anthony Edwards,381768
Nikola Vučević,376663
Dwight Howard,371711
Domantas Sabonis,371278
Khris Middleton,339599
Bradley Beal,334370
Jonas Valančiūnas,308973
Dejounte Murray,307213
Andre Iguodala,296757
Evan Mobley,283425
Jrue Holiday,281013
Shai Gilgeous-Alexander,280184
Kyle Kuzma,278110
Kevin Love,265198
Kevon Looney,259219
Scottie Barnes,224761
Julius Randle,224172
Jordan Poole,221998
Seth Curry,214990
Jaren Jackson Jr.,196191
Mikal Bridges,194059
Jerami Grant,185060
Lonzo Ball,184507
Blake Griffin,174190
Kyle Lowry,172242
Alex Caruso,153395
Clint Capela,147157
John Collins,138330
Grayson Allen,135253
Gordon Hayward,132865
Kelly Oubre Jr.,130856
Cole Anthony,128500
Otto Porter Jr.,127909
Steven Adams,122940
Gary Trent Jr.,117920
Kawhi Leonard,117708
Bobby Portis,116752
Jordan Clarkson,103603
Bojan Bogdanović,103475
Aaron Gordon,102604
D'Angelo Russell,100414
Ricky Rubio,93699
Precious Achiuwa,91919
Christian Wood,89947
Neemias Queta,88534
Avery Bradley,80003
Patty Mills,77587
Cameron Johnson,76096
Nic Claxton,71754
Jalen Brunson,68248
Keldon Johnson,64961
Jonathan Kuminga,63471
Austin Reaves,59693
Desmond Bane,55870
James Wiseman,54829
Nickeil Alexander-Walker,53790
Dorian Finney-Smith,53520
Duncan Robinson,53423
Jalen Green,53304
Jakob Poeltl,51689
RJ Barrett,50664
JaVale McGee,50622
Tobias Harris,49835
Juan Toscano-Anderson,49491
Alperen Şengün,48835
Mike Conley,46388
Ben Simmons,46031
Tyrese Maxey,45311
Jose Alvarado,44058
Gary Payton II,43490
Norman Powell,40599
Montrezl Harrell,40360
Terry Rozier,40257
De'Aaron Fox,39461
Myles Turner,39222
Nemanja Bjelica,38942
Harrison Barnes,38915
Zion Williamson,38554
Robert Williams,38166
Facundo Campazzo,37523
Al Horford,37170
Thanasis Antetokounmpo,36824
Dwight Powell,36697
Jae Crowder,36471
Trevor Ariza,36335
Talen Horton-Tucker,35904
DeMarcus Cousins,35516
Franz Wagner,34927
Kentavious Caldwell-Pope,33926
Kyle Anderson,33470
Santi Aldama,32258
Cade Cunningham,32190
Chris Duarte,30768
Josh Giddey,30337
Jeff Green,29901
Rajon Rondo,29197
Marcus Morris,28646
Bogdan Bogdanović,28422
Derrick White,28252
P.J. Tucker,28104
Cedi Osman,28096
Jusuf Nurkić,27856
Deni Avdija,27695
CJ McCollum,27650
Lauri Markkanen,26943
Kemba Walker,26776
Boban Marjanović,26098
Joe Ingles,25701
Dillon Brooks,25312
Lance Stephenson,25130
Collin Sexton,24676
Yuta Watanabe,23896
Mo Bamba,23379
Derrick Jones Jr.,23145
Malcolm Brogdon,23120
Reggie Jackson,22408
Brandon Clarke,22199
Kent Bazemore,22069
Tacko Fall,21500
Dennis Schröder,21330
Will Barton,20450
Isaac Okoro,20025
Luguentz Dort,19951
Joel Ayayi,19419
Marcus Smart,19070
DeAndre' Bembry,19017
Doug McDermott,18900
Serge Ibaka,18170
Kessler Edwards,17734
Andre Drummond,17614
Evan Fournier,17080
Rudy Gay,17034
Maxi Kleber,16710
Cam Reddish,16338
Chris Boucher,16153
Pat Connaughton,16062
Jae'Sean Tate,16048
Caris LeVert,15950
Nicolas Batum,15427
Monte Morris,15181
