Player,Votes
Michael Porter Jr.,14962
Goran Dragić,14385
Eric Gordon,14365
Jarred Vanderbilt,14305
James Johnson,13988
Obi Toppin,13728
Rui Hachimura,13637
Saddiq Bey,13552
Omer Yurtseven,13490
D.J. Augustin,13122
Ivica Zubac,13063
Bol Bol,12505
Royce O'Neale,12333
Danilo Gallinari,12321
Dāvis Bertāns,11606
Patrick Williams,11179
Isaiah Stewart,11136
Mitchell Robinson,11065
James Bouknight,10645
Kevin Porter Jr.,10264
Wayne Ellington,10119
Richaun Holmes,9883
Naz Reid,9526
Matisse Thybulle,9393
Brook Lopez,9363
DeAndre Jordan,9344
James Ennis III,9291
Furkan Korkmaz,9201
Raul Neto,9004
Herbert Jones,8951
Darius Bazley,8930
Georges Niang,8876
Wendell Carter Jr.,8870
Tim Hardaway Jr.,8538
Markieff Morris,8451
Udonis Haslem,8398
Enes Freedom,8384
Spencer Dinwiddie,7927
Buddy Hield,7888
Tyrese Haliburton,7806
Robert Covington,7672
Devonte' Graham,7616
Nassir Little,7565
Stanley Johnson,7561
Larry Nance Jr.,7496
Vlatko Čančar,7491
Alfonzo McKinnie,7431
Josh Hart,7417
Patrick Beverley,7325
Frank Kaminsky,7088
Jaden McDaniels,7015
Hassan Whiteside,6999
Daniel Gafford,6800
Luke Kennard,6734
Mike Muscala,6690
Troy Brown Jr.,6578
Dalano Banton,6566
Tony Bradley,6565
Justin Anderson,6555
Joe Harris,6448
Day'Ron Sharpe,6431
Al-Farouq Aminu,6421
Jock Landale,6371
Willy Hernangómez,6349
Terance Mann,6320
De'Andre Hunter,6271
Kevin Huerter,6236
Daniel Theis,6173
Marvin Bagley III,6164
Anfernee Simons,6043
P.J. Washington,5881
Eric Bledsoe,5816
Danny Green,5694
Kelly Olynyk,5665
Damion Lee,5663
John Wall,5602
Bruce Brown,5442
Mason Plumlee,5259
Jamal Murray,5092
Keita Bates-Diop,4986
Tristan Thompson,4966
Ignas Brazdeikis,4917
Paul Millsap,4886
Jeremiah Robinson-Earl,4863
Grant Williams,4792
Aleksej Pokusevski,4720
Charles Bassey,4613
Robin Lopez,4572
Max Strus,4407
Victor Oladipo,4339
Leandro Bolmaro,4305
Kendrick Nunn,4301
Taj Gibson,4164
Alec Burks,4001
Goga Bitadze,3874
T.J. Warren,3860
Khem Birch,3802
Lonnie Walker IV,3770
Thomas Bryant,3701
Donte DiVincenzo,3652
Kenyon Martin Jr.,3611
Isaiah Hartenstein,3483
Jordan Nwora,3438
Cameron Payne,3424
Ziaire Williams,3370
Immanuel Quickley,3368
Ed Davis,3365
Brandon Boston Jr.,3360
Jevon Carter,3354
Juancho Hernangómez,3351
Ayo Dosunmu,3348
Thaddeus Young,3331
Hamidou Diallo,3319
Justin James,3313
Oshae Brissett,3305
Onyeka Okongwu,3262
Terrence Ross,3257
Torrey Craig,3230
Jalen Smith,3224
Gary Harris,3150
Udoka Azubuike,3138
Dewayne Dedmon,3081
Tyler Cook,3042
Isaac Bonga,2980
Trey Lyles,2976
Marko Simonovic,2961
Bones Hyland,2952
Cam Thomas,2899
Coby White,2899
Moritz Wagner,2885
Chimezie Metu,2828
Luka Šamanić,2820
Jalen Suggs,2792
Terry Taylor,2775
Malik Beasley,2723
Chris Chiozza,2722
Marquese Chriss,2618
Luka Garza,2597
Lou Williams,2536
Gabriel Deck,2469
D.J. Wilson,2447
Dean Wade,2441
George Hill,2382
Wesley Matthews,2363
Usman Garuba,2344
Garrison Mathews,2338
Markelle Fultz,2329
Caleb Martin,2248
Terence Davis,2235
Chris Smith,2226
Jonathan Isaac,2134
David Duke Jr.,2123
Frank Ntilikina,2098
JaMychal Green,2093
Bruno Fernando,2077
Devin Vassell,2069
Killian Hayes,2067
Derrick Favors,2057
Arnoldas Kulboka,2027
Zach Collins,2015
Josh Green,1969
Sandro Mamukelashvili,1943
Xavier Tillman Sr.,1935
Gorgui Dieng,1926
Nerlens Noel,1829
Vernon Carey Jr.,1818
Amir Coffey,1815
Paul Reed,1805
Charlie Brown Jr.,1802
Bryn Forbes,1767
Drew Eubanks,1752
Justin Champagnie,1741
Payton Pritchard,1726
Sharife Cooper,1726
Lamar Stevens,1704
John Konchar,1685
Cody Zeller,1675
Aaron Wiggins,1638
Anthony Gill,1615
Jaxson Hayes,1613
Josh Christopher,1570
Moses Brown,1551
Joe Johnson,1551
Josh Jackson,1532
Isaiah Roby,1512
Justin Holiday,1503
Killian Tillie,1499
Dario Šarić,1480
Kevin Knox,1471
Sam Hauser,1432
Greg Brown III,1423
Armoni Brooks,1401
Dylan Windler,1371
T.J. McConnell,1371
Corey Kispert,1368
Paul Watson,1343
Kevin Pangos,1328
De'Anthony Melton,1314
Alex Len,1309
Svi Mykhailiuk,1308
Keljin Blevins,1302
Eric Paschall,1301
Davion Mitchell,1301
Moses Moody,1293
Cody Martin,1293
Josh Richardson,1270
Landry Shamet,1259
Tyus Jones,1259
Frank Jackson,1246
Michael Carter-Williams,1246
Kai Jones,1198
Zeke Nnaji,1186
Jalen McDaniels,1181
Joshua Primo,1177
Yves Pons,1177
Chuma Okeke,1168
Trey Burke,1166
Malachi Flynn,1158
Javonte Green,1153
Jared Butler,1150
R.J. Hampton,1140
Ersan İlyasova,1139
Zylan Cheatham,1132
Devontae Cacok,1129
Cat Barber,1128
Tomáš Satoranský,1126
Solomon Hill,1116
Jamorko Pickett,1114
Jalen Johnson,1112
Jay Huff,1106
RJ Nembhard Jr.,1080
JT Thor,1065
Gabe Vincent,1064
Reggie Bullock,1052
Willie Cauley-Stein,1048
Isaiah Jackson,1047
Vit Krejci,1028
Théo Maledon,1012
Damian Jones,1008
KZ Okpala,1005
Shake Milton,999
Ben McLemore,995
Markus Howard,994
Malcolm Hill,980
Cassius Winston,966
Justin Jackson,947
Jericho Sims,912
Timothé Luwawu-Cabarrot,911
Sterling Brown,890
Isaiah Livers,865
Tre Mann,863
Romeo Langford,857
Justise Winslow,853
Taurean Prince,846
Ish Wainright,838
Jarrett Culver,832
Wenyen Gabriel,831
Didi Louzada,825
Cory Joseph,810
Jeremy Lamb,807
Tony Snell,802
Jabari Parker,801
Austin Rivers,798
Brodric Thomas,787
Moses Wright,783
Quentin Grimes,781
Ty Jerome,771
Jake Layman,763
Robert Woodard II,753
Abdel Nader,730
E'Twaun Moore,728
Rodney Hood,710
Matt Thomas,696
David Johnson,689
Jason Preston,686
Aaron Holiday,680
Darren Collison,679
Quinndary Weatherspoon,674
Gary Clark,672
Ish Smith,645
Danuel House Jr.,641
Mason Jones,636
Nathan Knight,630
Semi Ojeleye,621
Chris Silva,620
PJ Dozier,618
Aaron Henry,613
Scottie Lewis,604
CJ Elleby,603
Denzel Valentine,597
Tre Jones,588
Kenrich Williams,570
Jaylen Nowell,564
Joe Wieskamp,553
Marcus Garrett,552
Maurice Harkless,551
Duane Washington Jr.,548
Mac McClung,547
Isaiah Todd,542
Keon Johnson,524
Isaiah Joe,524
Trey Murphy III,515
Kelan Martin,508
Cheick Diallo,507
Javin DeLaurier,499
Theo Pinson,492
Xavier Moon,478
Garrett Temple,475
David Nwaba,469
Derrick Walton,466
Saben Lee,464
Devon Dotson,460
George King,458
Elfrid Payton,450
Nick Richards,449
Delon Wright,448
Alize Johnson,446
Louis King,440
Aaron Nesmith,438
Kira Lewis Jr.,435
Jeff Dowtin,430
Rayjon Tucker,418
Dennis Smith Jr.,406
Miles McBride,400
Brad Wanamaker,394
Davon Reed,388
Luke Kornet,384
Petr Cornelie,383
Malik Fitts,369
Wes Iwundu,362
Deividas Sirvydis,360
Jaden Springer,360
Trent Forrest,360
Tyler Johnson,358
Tremont Waters,357
Freddie Gillespie,355
Norvel Pelle,354
Shaq Buchanan,352
Trendon Watford,351
Tyrell Terry,335
McKinley Wright IV,331
Naji Marshall,317
Brandon Knight,310
Elijah Hughes,309
Jordan McLaughlin,306
Skylar Mays,305
Cassius Stanley,304
Rodney McGruder,303
Myles Powell,297
Shaquille Harrison,295
Josh Okogie,286
Jemerrio Jones,277
Mychal Mulder,274
Jay Scrubb,257
Javonte Smart,250
Matt Mooney,243
Daishen Nix,238
Trevelin Queen,225
Tim Frazier,222
Damyean Dotson,220
Jahmi'us Ramsey,216
Miye Oni,206
Tre Scott,203
JaQuori McLaughlin,192
Jared Harper,186
Jordan Schakel,164
Daniel Oturu,157
Malik Ellison,146
Emmanuel Mudiay,144
Sam Merrill,144
Juwan Morgan,138
Carlik Jones,135
Chandler Hutchison,119
Eugene Omoruyi,105
Wayne Selden,101
C.J. Miles,92
Cameron McGriff,89
Ade Murkey,84
Tyler Hall,80
Justin Robinson,59
Jarron Cumberland,57
Brandon Williams,50
DeJon Jarreau,30
Anthony Tolliver,27
