Player,Votes
Kobe Bryant,2380016.0
Dwight Howard,2099204.0
LeBron James,2053011.0
Dwyane Wade,2048175.0
Derrick Rose,1914996.0
Kevin Durant,1736728.0
Amar'e Stoudemire,1674995.0
Rajon Rondo,1587297.0
Kevin Garnett,1407601.0
Carmelo Anthony,1299849.0
Chris Paul,1281591.0
Yao Ming,1146426.0
Pau Gasol,1100772.0
Blake Griffin,1033646.0
Andrew Bynum,974546.0
Shaquille O'Neal,906284.0
Ray Allen,890951.0
Tim Duncan,839599.0
Paul Pierce,804838.0
Dirk Nowitzki,785120.0
Manu Ginóbili,748840.0
Steve Nash,718934.0
Russell Westbrook,660244.0
Deron Williams,657806.0
Nenê,599048.0
Chris Bosh,571734.0
Lamar Odom,529854.0
Marc Gasol,524932.0
Carlos Boozer,504610.0
Kevin Love,492173.0
Tony Parker,436958.0
Emeka Okafor,435218.0
Joakim Noah,432127.0
Luis Scola,411576.0
Raymond Felton,397301.0
Jason Kidd,394793.0
Danilo Gallinari,390658.0
Monta Ellis,390237.0
Josh Smith,387843.0
Vince Carter,353143.0
John Wall,337368.0
Gilbert Arenas,312903.0
Andrew Bogut,301896.0
Brandon Jennings,301225.0
Luol Deng,291118.0
Al Horford,287083.0
Rudy Gay,284021.0
Danny Granger,279522.0
Jamal Crawford,246130.0
Joe Johnson,224571.0
