,Player,PER
0,Jeff Adrien,11.3
1,Arron Afflalo,13.6
2,Maurice Ager,10.1
3,Alexis Ajinça,12.2
4,Solomon Alabi,2.0
5,Cole Aldrich,7.0
6,LaMarcus Aldridge,21.5
7,Malik Allen,3.3
8,Ray Allen,16.4
9,Tony Allen,18.4
10,Al-Farouq Aminu,9.6
11,Lou Amundson,11.5
12,Chris Andersen,19.0
13,David Andersen,10.9
14,James Anderson,8.5
15,Ryan Anderson,19.0
16,Carmelo Anthony,21.7
17,Joel Anthony,7.3
18,Gilbert Arenas,10.8
19,Trevor Ariza,11.3
20,Hilton Armstrong,8.8
21,Carlos Arroyo,9.0
22,Darrell Arthur,15.7
23,Ömer Aşık,11.8
24,D.J. Augustin,15.9
25,Luke Babbitt,1.0
26,Renaldo Balkman,9.3
27,Marcus Banks,6.8
28,Leandro Barbosa,15.3
29,J.J. Barea,14.8
30,Andrea Bargnani,16.4
31,Matt Barnes,14.6
32,Earl Barron,6.2
33,Brandon Bass,15.9
34,Tony Battie,9.5
35,Shane Battier,12.3
36,Nicolas Batum,14.8
37,Jerryd Bayless,14.1
38,Michael Beasley,15.5
39,Rodrigue Beaubois,11.4
40,Marco Belinelli,12.1
41,Charlie Bell,4.7
42,Raja Bell,8.2
43,Mike Bibby,10.9
44,Andris Biedriņš,12.1
45,Chauncey Billups,18.7
46,DeJuan Blair,17.1
47,Steve Blake,7.5
48,Andray Blatche,16.9
49,Eric Bledsoe,10.8
50,Keith Bogans,9.0
51,Andrew Bogut,16.7
52,Matt Bonner,13.5
53,Trevor Booker,15.3
54,Carlos Boozer,18.8
55,Chris Bosh,19.4
56,Earl Boykins,17.6
57,Craig Brackins,0.1
58,Avery Bradley,2.2
59,Elton Brand,18.5
60,Corey Brewer,11.0
61,Ronnie Brewer,13.8
62,Jon Brockman,9.6
63,Aaron Brooks,13.1
64,Derrick Brown,12.9
65,Kwame Brown,12.8
66,Shannon Brown,13.6
67,Kobe Bryant,23.9
68,Chase Budinger,14.2
69,Caron Butler,14.2
70,Rasual Butler,6.2
71,Andrew Bynum,21.1
72,Will Bynum,15.2
73,José Calderón,16.3
74,Marcus Camby,14.8
75,Derrick Caracter,10.0
76,Brian Cardinal,9.7
77,Rodney Carney,10.8
78,DeMarre Carroll,8.7
79,Matt Carroll,12.2
80,Anthony Carter,9.2
81,Vince Carter,14.8
82,Omri Casspi,11.7
83,Mario Chalmers,10.3
84,Tyson Chandler,18.4
85,Wilson Chandler,14.6
86,Josh Childress,13.0
87,Earl Clark,10.1
88,Jarron Collins,1.6
89,Jason Collins,5.4
90,Sherron Collins,3.6
91,Darren Collison,15.6
92,Nick Collison,10.8
93,Mike Conley,15.9
94,Brian Cook,11.6
95,Daequan Cook,12.8
96,Marcus Cousin,7.8
97,DeMarcus Cousins,14.6
98,Jamal Crawford,14.2
99,Jordan Crawford,11.8
100,Dante Cunningham,10.7
101,Stephen Curry,19.4
102,Samuel Dalembert,14.1
103,Erick Dampier,9.7
104,Antonio Daniels,6.7
105,Marquis Daniels,11.7
106,Baron Davis,17.0
107,Ed Davis,15.8
108,Glen Davis,12.8
109,Austin Daye,13.0
110,Carlos Delfino,13.1
111,Luol Deng,15.5
112,DeMar DeRozan,14.5
113,Boris Diaw,13.9
114,Ike Diogu,13.7
115,DeSagana Diop,5.4
116,Keyon Dooling,11.3
117,Joey Dorsey,14.2
118,Toney Douglas,15.2
119,Chris Douglas-Roberts,11.5
120,Zabian Dowdell,11.7
121,Goran Dragić,13.2
122,Jared Dudley,15.6
123,Chris Duhon,5.6
124,Tim Duncan,21.9
125,Mike Dunleavy,14.6
126,Ronald Dupree,0.5
127,Kevin Durant,23.6
128,Devin Ebanks,19.4
129,Wayne Ellington,8.6
130,Monta Ellis,18.6
131,Francisco Elson,8.9
132,Melvin Ely,8.3
133,Semih Erden,10.3
134,Jeremy Evans,18.8
135,Maurice Evans,9.1
136,Reggie Evans,12.4
137,Tyreke Evans,14.4
138,Patrick Ewing,0.6
139,Christian Eyenga,9.0
140,Jordan Farmar,14.1
141,Derrick Favors,13.9
142,Raymond Felton,16.6
143,Rudy Fernández,13.4
144,Kyrylo Fesenko,5.8
145,Landry Fields,13.5
146,Derek Fisher,8.9
147,Jonny Flynn,7.1
148,Gary Forbes,11.7
149,T.J. Ford,9.9
150,Jeff Foster,14.3
151,Randy Foye,11.4
152,Channing Frye,12.8
153,Dan Gadzuric,9.9
154,Sundiata Gaines,11.3
155,Danilo Gallinari,15.7
156,Francisco García,13.5
157,Kevin Garnett,20.6
158,Marc Gasol,16.8
159,Pau Gasol,23.3
160,Rudy Gay,17.8
161,Alonzo Gee,10.8
162,Paul George,13.0
163,Daniel Gibson,13.2
164,Taj Gibson,14.3
165,Manu Ginóbili,21.7
166,Ryan Gomes,9.0
167,Drew Gooden,15.9
168,Ben Gordon,12.4
169,Eric Gordon,18.5
170,Marcin Gortat,17.8
171,Joey Graham,7.7
172,Stephen Graham,4.4
173,Danny Granger,17.8
174,Aaron Gray,11.0
175,Danny Green,13.2
176,Jeff Green,12.9
177,Willie Green,10.8
178,Donté Greene,9.7
179,Orien Greene,33.0
180,Blake Griffin,21.9
181,Hamed Haddadi,19.7
182,Richard Hamilton,15.8
183,Tyler Hansbrough,16.4
184,Luke Harangody,10.1
185,James Harden,16.4
186,Al Harrington,12.3
187,Devin Harris,17.2
188,Manny Harris,10.4
189,Mike Harris,17.9
190,Udonis Haslem,12.7
191,Spencer Hawes,12.8
192,Chuck Hayes,16.2
193,Gordon Hayward,10.7
194,Lazar Hayward,10.8
195,Brendan Haywood,11.7
196,Luther Head,11.7
197,Gerald Henderson,13.2
198,Xavier Henry,7.0
199,Roy Hibbert,15.9
200,J.J. Hickson,15.6
201,Nenê,20.4
202,George Hill,14.6
203,Grant Hill,14.7
204,Jordan Hill,13.1
205,Kirk Hinrich,12.3
206,Jrue Holiday,15.4
207,Ryan Hollins,10.7
208,Al Horford,20.7
209,Eddie House,11.9
210,Dwight Howard,26.1
211,Josh Howard,9.2
212,Juwan Howard,8.4
213,Lester Hudson,6.0
214,Kris Humphries,17.8
215,Serge Ibaka,17.7
216,Andre Iguodala,17.2
217,Zydrunas Ilgauskas,12.8
218,D.J. Mbenga,9.7
219,Ersan İlyasova,14.3
220,Royal Ivey,8.2
221,Jarrett Jack,14.2
222,Darnell Jackson,12.3
223,Stephen Jackson,14.6
224,Damion James,10.1
225,LeBron James,27.3
226,Antawn Jamison,16.8
227,Othyus Jeffers,13.3
228,Al Jefferson,20.1
229,Richard Jefferson,12.4
230,Jared Jeffries,8.0
231,Brandon Jennings,15.6
232,Eugene Jeter,11.1
233,Yi Jianlian,10.1
234,Amir Johnson,17.6
235,Armon Johnson,9.3
236,Chris Johnson,10.2
237,James Johnson,12.6
238,Joe Johnson,16.4
239,Trey Johnson,8.3
240,Wesley Johnson,10.2
241,Dahntay Jones,13.7
242,Dominique Jones,10.6
243,James Jones,11.1
244,Solomon Jones,8.5
245,DeAndre Jordan,14.8
246,Chris Kaman,15.7
247,Jason Kapono,1.6
248,Jason Kidd,14.4
249,Andrei Kirilenko,16.6
250,Linas Kleiza,10.1
