,Player,PER
216,Nenê,16.4
217,George Hill,13.3
218,Solomon Hill,4.8
219,Darrun Hilliard,3.4
220,Jrue Holiday,17.8
221,Justin Holiday,10.8
222,John Holland,5.9
223,Rondae Hollis-Jefferson,16.9
224,Richaun Holmes,17.4
225,Rodney Hood,14.3
226,Scotty Hopson,-4.6
227,Al Horford,17.6
228,Danuel House Jr.,12.4
229,Dwight Howard,20.5
230,Josh Huestis,5.4
231,R.J. Hunter,8.5
232,Vince Hunter,35.8
233,Serge Ibaka,14.7
234,Andre Iguodala,11.2
235,Ersan İlyasova,14.9
236,Joe Ingles,14.4
237,Andre Ingram,16.3
238,Brandon Ingram,13.8
239,Kyrie Irving,25.0
240,Jonathan Isaac,9.8
241,Wes Iwundu,7.8
242,Jarrett Jack,11.5
243,Aaron Jackson,2.4
244,Demetrius Jackson,5.4
245,Josh Jackson,11.8
246,Justin Jackson,9.2
247,Reggie Jackson,15.9
248,LeBron James,28.6
249,Mike James,13.9
250,Al Jefferson,20.2
251,Richard Jefferson,6.4
252,Brandon Jennings,12.7
253,Jonas Jerebko,13.2
254,Amir Johnson,14.9
255,Brice Johnson,18.2
256,Dakari Johnson,16.4
257,James Johnson,15.8
258,Joe Johnson,8.1
259,Omari Johnson,10.5
260,Stanley Johnson,9.0
261,Tyler Johnson,13.0
262,Wesley Johnson,9.8
263,Nikola Jokić,24.4
264,Damian Jones,6.8
265,Derrick Jones Jr.,10.1
266,Jalen Jones,10.3
267,Tyus Jones,14.1
268,DeAndre Jordan,20.2
269,Cory Joseph,11.0
270,Frank Kaminsky,14.4
271,Luke Kennard,12.1
272,Michael Kidd-Gilchrist,12.5
273,Sean Kilpatrick,11.6
274,Maxi Kleber,13.4
275,Furkan Korkmaz,3.4
276,Luke Kornet,13.6
277,Kyle Korver,13.4
278,Kosta Koufos,17.5
279,Kyle Kuzma,14.2
280,Mindaugas Kuzminskas,-41.1
281,Skal Labissière,14.3
282,Jeremy Lamb,17.0
283,Shane Larkin,10.3
284,Joffrey Lauvergne,16.5
285,Zach LaVine,14.6
286,Jake Layman,4.9
287,T.J. Leaf,10.7
288,Courtney Lee,13.0
289,Damion Lee,12.0
290,Walt Lemon Jr.,6.9
291,Alex Len,19.4
292,Kawhi Leonard,26.0
293,Meyers Leonard,17.8
294,Jon Leuer,8.9
295,Caris LeVert,14.2
296,DeAndre Liggins,6.0
297,Damian Lillard,25.2
298,Jeremy Lin,15.9
299,Shaun Livingston,11.6
300,Kevon Looney,14.8
301,Brook Lopez,16.5
302,Robin Lopez,14.7
303,Kevin Love,22.4
304,Kyle Lowry,19.5
305,Timothé Luwawu-Cabarrot,7.0
306,Tyler Lydon,0.0
307,Trey Lyles,17.9
308,Shelvin Mack,13.3
309,Josh Magette,11.9
310,Ian Mahinmi,12.2
311,Thon Maker,10.2
312,Boban Marjanović,26.0
313,Lauri Markkanen,15.6
314,Jarell Martin,10.5
315,Frank Mason III,13.0
316,Mangok Mathiang,18.0
317,Wesley Matthews,11.4
318,Luc Mbah a Moute,10.3
319,James Michael McAdoo,7.4
320,Patrick McCaw,7.4
321,CJ McCollum,17.0
322,T.J. McConnell,12.5
323,Erik McCree,-8.9
324,Chris McCullough,15.8
325,Doug McDermott,10.4
326,JaVale McGee,22.3
327,Rodney McGruder,12.0
328,Trey McKinney-Jones,0.0
329,Alfonzo McKinnie,10.1
330,Ben McLemore,9.7
331,Josh McRoberts,-12.5
332,Jodie Meeks,12.4
333,Salah Mejri,17.8
334,Jordan Mickey,10.6
335,Khris Middleton,17.4
336,C.J. Miles,13.0
337,Darius Miller,9.3
338,Malcolm Miller,8.9
339,Patty Mills,11.8
340,Paul Millsap,17.0
341,Nikola Mirotić,18.7
342,Donovan Mitchell,16.7
343,Naz Mitrou-Long,133.8
344,Malik Monk,10.2
345,Greg Monroe,21.2
346,Luis Montero,-15.5
347,Ben Moore,-2.3
348,E'Twaun Moore,12.1
349,Eric Moreland,13.9
350,Jaylen Morris,6.5
351,Marcus Morris,14.5
352,Markieff Morris,13.2
353,Monte Morris,27.1
354,Johnathan Motley,17.2
355,Timofey Mozgov,12.3
356,Emmanuel Mudiay,11.5
357,Shabazz Muhammad,15.4
358,Xavier Munford,-2.1
359,Dejounte Murray,15.1
360,Jamal Murray,16.1
361,Mike Muscala,14.4
362,Abdel Nader,5.1
363,Larry Nance Jr.,20.2
364,Shabazz Napier,14.2
365,Jameer Nelson,8.1
366,Raul Neto,11.9
367,Georges Niang,9.2
368,Joakim Noah,15.6
369,Nerlens Noel,16.2
370,Lucas Nogueira,17.3
371,Dirk Nowitzki,16.7
372,Frank Ntilikina,7.0
373,Jusuf Nurkić,19.2
374,David Nwaba,12.2
375,Johnny O'Bryant,11.9
376,Royce O'Neale,10.8
377,Kyle O'Quinn,20.0
378,Semi Ojeleye,4.6
379,Emeka Okafor,16.4
380,Jahlil Okafor,15.3
381,Victor Oladipo,23.1
382,Kelly Olynyk,17.8
383,Chinanu Onuaku,-3.2
384,Cedi Osman,11.0
385,Kelly Oubre Jr.,11.9
386,Zaza Pachulia,17.0
387,Marcus Paige,9.1
388,Georgios Papagiannis,12.2
389,Jabari Parker,17.1
390,Tony Parker,12.7
391,Chandler Parsons,13.6
392,Patrick Patterson,10.0
393,Justin Patton,19.8
394,Brandon Paul,7.4
395,Chris Paul,24.4
396,Adreian Payne,18.8
397,Cameron Payne,14.0
398,Elfrid Payton,16.5
399,Gary Payton II,9.8
400,Kendrick Perkins,8.4
401,London Perrantes,0.7
402,Alec Peters,10.7
403,Marshall Plumlee,10.9
404,Mason Plumlee,16.9
405,Miles Plumlee,10.6
406,Jakob Poeltl,17.5
407,Quincy Pondexter,4.0
408,Otto Porter Jr.,18.3
409,Bobby Portis,19.7
410,Kristaps Porziņģis,20.4
411,Dwight Powell,18.8
412,Norman Powell,8.5
413,Alex Poythress,7.8
414,Taurean Prince,12.8
415,Jacob Pullen,-2.3
416,Rodney Purvis,4.5
417,Zhou Qi,1.9
418,Tim Quarterman,2.9
419,Ivan Rabb,16.6
420,Julius Randle,19.9
421,Zach Randolph,17.3
422,Xavier Rathan-Mayes,0.9
423,J.J. Redick,15.9
424,Davon Reed,4.8
425,Willie Reed,19.2
426,Josh Richardson,13.6
427,Malachi Richardson,5.9
428,Austin Rivers,12.6
429,Andre Roberson,10.9
430,Devin Robinson,10.5
431,Glenn Robinson III,10.8
432,Rajon Rondo,15.3
433,Derrick Rose,11.5
434,Terrence Ross,9.9
435,Terry Rozier,15.1
436,Ricky Rubio,15.4
437,D'Angelo Russell,15.2
438,Domantas Sabonis,17.5
439,JaKarr Sampson,13.9
440,Dario Šarić,15.8
441,Tomáš Satoranský,15.4
442,Dennis Schröder,17.3
443,Mike Scott,13.6
444,Thabo Sefolosha,15.8
445,Wayne Selden,11.8
446,Ramon Sessions,11.2
447,Iman Shumpert,6.4
448,Pascal Siakam,14.5
449,Xavier Silas,-4.9
450,Ben Simmons,20.0
451,Jonathon Simmons,12.7
452,Kobi Simmons,7.7
453,Kyle Singler,5.9
454,Marcus Smart,10.8
455,Dennis Smith Jr.,12.8
456,Ish Smith,15.4
457,J.R. Smith,8.4
