,Player,PER
0,Precious Achiuwa,14.2
1,Jaylen Adams,-6.5
2,Steven Adams,15.1
3,Bam Adebayo,22.7
4,LaMarcus Aldridge,15.7
5,Ty-Shon Alexander,4.2
6,Nickeil Alexander-Walker,12.5
7,Grayson Allen,12.8
8,Jarrett Allen,20.1
9,Al-Farouq Aminu,8.9
10,Kyle Anderson,17.2
11,Giannis Antetokounmpo,29.2
12,Kostas Antetokounmpo,0.0
13,Thanasis Antetokounmpo,10.3
14,Carmelo Anthony,14.6
15,Cole Anthony,12.1
16,OG Anunoby,15.4
17,Ryan Arcidiacono,9.8
18,Trevor Ariza,11.9
19,D.J. Augustin,12.1
20,Deni Avdija,7.6
21,Deandre Ayton,20.3
22,Udoka Azubuike,10.3
23,Dwayne Bacon,9.9
24,Marvin Bagley III,16.3
25,LaMelo Ball,17.5
26,Lonzo Ball,15.2
27,Mo Bamba,19.3
28,Desmond Bane,12.2
29,Harrison Barnes,15.4
30,RJ Barrett,13.4
31,Will Barton,11.8
32,Keita Bates-Diop,12.0
33,Nicolas Batum,12.9
34,Aron Baynes,10.5
35,Kent Bazemore,10.6
36,Darius Bazley,9.7
37,Bradley Beal,22.7
38,Malik Beasley,14.6
39,Jordan Bell,8.0
40,DeAndre' Bembry,11.2
41,Dāvis Bertāns,11.4
42,Patrick Beverley,12.0
43,Saddiq Bey,12.6
44,Tyler Bey,5.9
45,Khem Birch,15.1
46,Goga Bitadze,16.3
47,Bismack Biyombo,11.7
48,Nemanja Bjelica,12.9
49,Eric Bledsoe,11.5
50,Keljin Blevins,-0.9
51,Bogdan Bogdanović,17.6
52,Bojan Bogdanović,14.0
53,Bol Bol,9.4
54,Marques Bolden,13.3
55,Jordan Bone,8.9
56,Isaac Bonga,4.0
57,Devin Booker,19.2
58,Chris Boucher,21.9
59,Brian Bowen,1.0
60,Avery Bradley,6.3
61,Tony Bradley,20.7
62,Jarrell Brantley,16.6
63,Ignas Brazdeikis,9.5
64,Mikal Bridges,16.4
65,Miles Bridges,14.7
66,Amida Brimah,16.6
67,Oshae Brissett,17.2
68,Malcolm Brogdon,17.9
