,Player,PER
0,Quincy Acy,14.7
1,Jordan Adams,17.3
2,Steven Adams,15.5
3,Arron Afflalo,10.9
4,Alexis Ajinça,13.8
5,Cole Aldrich,21.3
6,LaMarcus Aldridge,22.4
7,Cliff Alexander,11.6
8,Lavoy Allen,12.4
9,Tony Allen,12.9
10,Al-Farouq Aminu,12.7
11,Lou Amundson,6.7
12,Chris Andersen,15.3
13,Alan Anderson,9.2
14,James Anderson,6.0
15,Justin Anderson,12.3
16,Kyle Anderson,12.9
17,Ryan Anderson,17.2
18,Giannis Antetokounmpo,18.8
19,Thanasis Antetokounmpo,32.9
20,Carmelo Anthony,20.3
21,Joel Anthony,14.1
22,Keith Appling,-4.8
23,Trevor Ariza,12.9
24,Darrell Arthur,12.5
25,Ömer Aşık,11.0
26,D.J. Augustin,13.9
27,Jeff Ayres,8.3
28,Luke Babbitt,11.6
29,Cameron Bairstow,6.8
30,Leandro Barbosa,11.7
31,J.J. Barea,15.4
32,Andrea Bargnani,11.8
33,Harrison Barnes,12.3
34,Matt Barnes,11.7
35,Will Barton,16.0
36,Brandon Bass,17.3
37,Nicolas Batum,15.6
38,Jerryd Bayless,12.4
39,Aron Baynes,17.8
40,Kent Bazemore,13.4
41,Bradley Beal,15.5
42,Michael Beasley,22.5
43,Marco Belinelli,9.4
44,Anthony Bennett,10.4
45,Patrick Beverley,13.0
46,Bismack Biyombo,14.9
47,Nemanja Bjelica,11.2
48,Tarik Black,12.3
49,DeJuan Blair,5.4
50,Steve Blake,9.8
51,Eric Bledsoe,20.0
52,Bojan Bogdanović,10.7
53,Andrew Bogut,15.9
54,Matt Bonner,14.1
55,Devin Booker,11.9
56,Trevor Booker,14.4
57,Chris Bosh,20.2
58,Avery Bradley,13.2
59,Elton Brand,11.4
60,Corey Brewer,9.9
61,Aaron Brooks,11.8
62,Anthony Brown,4.9
63,Lorenzo Brown,4.4
64,Markel Brown,11.3
65,Kobe Bryant,14.9
66,Chase Budinger,10.7
67,Reggie Bullock,12.0
68,Trey Burke,14.0
69,Alec Burks,14.3
70,Caron Butler,11.3
71,Jimmy Butler,21.3
72,Rasual Butler,13.4
73,Bruno Caboclo,-7.7
74,José Calderón,12.3
75,Kentavious Caldwell-Pope,12.4
76,Isaiah Canaan,11.1
77,Clint Capela,18.3
78,DeMarre Carroll,11.9
79,Vince Carter,12.7
80,Michael Carter-Williams,13.9
81,Omri Casspi,13.9
82,Willie Cauley-Stein,15.3
83,Mario Chalmers,17.3
84,Tyson Chandler,14.7
85,Rakeem Christmas,32.0
86,Ian Clark,11.5
87,Coty Clarke,23.9
88,Jordan Clarkson,14.3
89,Norris Cole,10.8
90,Darren Collison,15.9
91,Nick Collison,7.7
92,Mike Conley,19.4
93,Pat Connaughton,4.6
94,Chris Copeland,5.4
95,Bryce Cotton,1.7
96,DeMarcus Cousins,23.6
97,Robert Covington,13.2
98,Allen Crabbe,12.2
99,Jamal Crawford,14.0
100,Jae Crowder,15.8
101,Dante Cunningham,8.6
102,Jared Cunningham,5.9
103,Seth Curry,13.8
104,Stephen Curry,31.5
105,Troy Daniels,14.9
106,Anthony Davis,25.0
107,Ed Davis,18.7
108,Branden Dawson,7.1
109,Dewayne Dedmon,17.0
