,Player,PER
0,Steven Adams,20.5
1,Bam Adebayo,20.3
2,LaMarcus Aldridge,19.7
3,Kyle Alexander,4.7
4,Nickeil Alexander-Walker,8.9
5,Grayson Allen,12.0
6,Jarrett Allen,20.7
7,Kadeem Allen,14.0
8,Al-Farouq Aminu,7.6
9,Justin Anderson,3.2
10,Kyle Anderson,12.5
11,Ryan Anderson,9.4
12,Giannis Antetokounmpo,31.9
13,Kostas Antetokounmpo,16.3
14,Thanasis Antetokounmpo,12.2
15,Carmelo Anthony,12.4
16,OG Anunoby,13.2
17,Ryan Arcidiacono,9.0
18,Trevor Ariza,11.0
19,D.J. Augustin,14.0
20,Deandre Ayton,20.0
21,Dwayne Bacon,6.1
22,Marvin Bagley III,15.6
23,Lonzo Ball,13.1
24,Mo Bamba,17.5
25,J.J. Barea,14.6
26,Harrison Barnes,13.3
27,RJ Barrett,10.7
28,Will Barton,15.6
29,Keita Bates-Diop,12.4
30,Nicolas Batum,9.2
31,Aron Baynes,15.2
32,Kent Bazemore,9.3
33,Darius Bazley,9.6
34,Bradley Beal,23.2
35,Malik Beasley,12.7
36,Marco Belinelli,10.8
37,Jordan Bell,13.9
38,DeAndre' Bembry,9.6
39,Dragan Bender,10.9
40,Dāvis Bertāns,15.5
41,Patrick Beverley,12.5
42,Khem Birch,11.7
43,Goga Bitadze,12.1
44,Bismack Biyombo,16.1
45,Nemanja Bjelica,15.7
46,Eric Bledsoe,17.6
47,Bogdan Bogdanović,15.2
48,Bojan Bogdanović,15.6
49,Bol Bol,14.4
50,Jonah Bolden,4.9
51,Marques Bolden,19.8
52,Jordan Bone,0.8
53,Isaac Bonga,10.2
54,Devin Booker,20.6
55,Chris Boucher,20.7
56,Brian Bowen,0.1
57,Ky Bowman,9.1
58,Avery Bradley,8.9
59,Tony Bradley,21.7
60,Jarrell Brantley,8.0
61,Ignas Brazdeikis,3.2
62,Corey Brewer,8.7
63,Mikal Bridges,12.9
64,Miles Bridges,12.1
65,Oshae Brissett,6.7
66,Ryan Broekhoff,13.1
67,Malcolm Brogdon,17.7
68,Dillon Brooks,11.3
69,Bruce Brown,11.9
70,Charlie Brown Jr.,11.0
71,Jaylen Brown,16.9
72,Moses Brown,6.7
73,Sterling Brown,9.5
74,Troy Brown Jr.,13.7
75,Jalen Brunson,14.9
76,Thomas Bryant,21.1
77,Reggie Bullock,9.3
78,Trey Burke,15.6
79,Alec Burks,16.7
80,Deonte Burton,4.3
81,Jimmy Butler,23.6
82,Bruno Caboclo,14.1
83,Devontae Cacok,28.6
84,Kentavious Caldwell-Pope,11.0
85,Vlatko Čančar,11.4
86,Clint Capela,20.6
87,DeMarre Carroll,9.1
88,Jevon Carter,11.3
89,Vince Carter,7.5
90,Wendell Carter Jr.,15.5
91,Michael Carter-Williams,15.3
92,Alex Caruso,10.8
93,Willie Cauley-Stein,17.0
94,Tyson Chandler,10.8
95,Wilson Chandler,7.4
96,Joe Chealey,-2.9
97,Zylan Cheatham,6.7
98,Chris Chiozza,12.0
99,Marquese Chriss,19.5
100,Gary Clark,10.7
101,Brandon Clarke,20.9
102,Jordan Clarkson,17.3
103,Nic Claxton,14.8
104,Chris Clemons,13.1
105,Antonius Cleveland,2.5
106,Amir Coffey,8.5
107,John Collins,23.5
108,Zach Collins,9.9
109,Mike Conley,14.1
110,Pat Connaughton,11.5
111,Quinn Cook,10.0
112,Tyler Cook,19.4
113,Robert Covington,13.3
114,Allen Crabbe,6.0
115,Torrey Craig,10.8
116,Jamal Crawford,33.2
117,Jae Crowder,12.5
118,Jarrett Culver,9.6
119,Seth Curry,15.5
120,Stephen Curry,21.7
121,Troy Daniels,8.4
122,Anthony Davis,27.4
123,Ed Davis,9.5
124,Terence Davis,13.8
125,Dewayne Dedmon,9.4
126,Matthew Dellavedova,8.1
127,DeMar DeRozan,21.6
128,Cheick Diallo,16.5
129,Hamidou Diallo,9.3
130,Gorgui Dieng,17.1
131,Spencer Dinwiddie,17.8
132,Donte DiVincenzo,14.1
133,Luka Dončić,27.6
134,Luguentz Dort,7.6
135,Damyean Dotson,10.9
136,Sekou Doumbouya,6.2
137,PJ Dozier,11.6
138,Goran Dragić,16.3
139,Andre Drummond,22.0
140,Jared Dudley,7.8
141,Kris Dunn,12.1
142,Carsen Edwards,6.9
143,Henry Ellenson,-1.3
144,Wayne Ellington,8.5
145,Joel Embiid,25.8
146,James Ennis III,11.5
147,Drew Eubanks,17.3
148,Jacob Evans,5.5
149,Dante Exum,10.3
150,Tacko Fall,28.4
151,Derrick Favors,18.5
152,Cristiano Felício,12.8
153,Terrance Ferguson,3.7
154,Bruno Fernando,11.9
155,Yogi Ferrell,12.2
156,Dorian Finney-Smith,12.3
157,Bryn Forbes,11.1
158,Evan Fournier,16.4
159,De'Aaron Fox,20.6
160,Melvin Frazier,9.8
161,Michael Frazier,-0.9
162,Tim Frazier,9.8
163,Enes Freedom,22.4
164,Markelle Fultz,14.3
165,Wenyen Gabriel,9.6
166,Daniel Gafford,16.2
167,Danilo Gallinari,19.5
168,Langston Galloway,12.3
169,Darius Garland,8.5
170,Marc Gasol,11.8
171,Rudy Gay,15.4
172,Paul George,21.1
173,Taj Gibson,16.1
174,Harry Giles,16.4
175,Shai Gilgeous-Alexander,17.7
176,Rudy Gobert,21.7
177,Brandon Goodwin,11.6
178,Aaron Gordon,15.1
179,Eric Gordon,10.3
180,Devonte' Graham,15.8
181,Treveon Graham,6.6
182,Jerami Grant,14.4
183,Jerian Grant,6.6
184,Josh Gray,-5.0
185,Danny Green,10.8
186,Draymond Green,12.5
187,JaMychal Green,11.1
188,Javonte Green,13.1
189,Jeff Green,13.7
190,Blake Griffin,11.9
191,Marko Guduric,8.8
192,Kyle Guy,6.6
193,Rui Hachimura,13.5
194,Devon Hall,3.1
195,Donta Hall,13.6
196,Dusty Hannahs,21.3
197,Tim Hardaway Jr.,14.5
198,James Harden,29.1
199,Maurice Harkless,9.8
200,Jared Harper,-5.3
201,Montrezl Harrell,23.2
202,Gary Harris,9.7
203,Joe Harris,13.3
204,Tobias Harris,17.2
205,Shaquille Harrison,17.8
206,Josh Hart,11.9
207,Isaiah Hartenstein,18.6
208,Udonis Haslem,6.5
209,Jaxson Hayes,17.6
210,Gordon Hayward,18.1
211,John Henson,17.0
212,Dewan Hernandez,12.9
213,Juancho Hernangómez,10.4
214,Willy Hernangómez,19.2
215,Tyler Herro,12.5
216,Kevin Hervey,5.0
217,Mario Hezonja,9.5
218,Buddy Hield,16.0
219,George Hill,16.9
220,Solomon Hill,9.8
221,Jaylen Hoard,14.9
222,Aaron Holiday,11.6
223,Jrue Holiday,17.0
224,Justin Holiday,12.1
225,Rondae Hollis-Jefferson,15.1
226,Richaun Holmes,19.7
227,Rodney Hood,12.2
228,Al Horford,15.7
229,Talen Horton-Tucker,12.3
230,Danuel House Jr.,11.3
231,Dwight Howard,18.7
232,William Howard,-12.7
233,Kevin Huerter,11.5
234,De'Andre Hunter,8.6
235,Chandler Hutchison,12.4
236,Serge Ibaka,17.3
237,Andre Iguodala,10.5
238,Ersan İlyasova,14.9
239,Joe Ingles,12.6
240,Brandon Ingram,18.8
241,Kyrie Irving,26.2
242,Jonathan Isaac,17.3
243,Wes Iwundu,10.3
244,Frank Jackson,9.1
245,Jaren Jackson Jr.,16.3
246,Josh Jackson,14.1
247,Justin Jackson,9.5
248,Reggie Jackson,13.7
249,Justin James,11.0
250,LeBron James,25.5
251,Amile Jefferson,8.9
252,DaQuan Jeffries,11.2
253,Ty Jerome,7.9
254,Alize Johnson,13.3
255,B.J. Johnson,5.4
256,Cameron Johnson,12.9
257,James Johnson,14.8
258,Keldon Johnson,19.1
259,Stanley Johnson,9.9
260,Tyler Johnson,10.1
261,Nikola Jokić,24.9
262,Damian Jones,15.6
263,Derrick Jones Jr.,14.9
264,Tyus Jones,15.7
265,DeAndre Jordan,19.9
266,Cory Joseph,10.1
267,Mfiondu Kabengele,18.2
268,Frank Kaminsky,14.2
269,Luke Kennard,14.4
270,Stanton Kidd,-13.7
271,Michael Kidd-Gilchrist,4.2
272,Louis King,6.2
273,Maxi Kleber,13.6
274,Brandon Knight,8.5
275,Kevin Knox,8.3
276,John Konchar,18.0
277,Furkan Korkmaz,12.0
278,Luke Kornet,12.7
279,Kyle Korver,11.3
280,Rodions Kurucs,8.9
281,Kyle Kuzma,12.2
282,Skal Labissière,15.4
283,Jeremy Lamb,14.0
284,Romeo Langford,5.4
285,Zach LaVine,19.4
286,Vic Law,3.7
287,Jake Layman,10.3
288,T.J. Leaf,12.9
289,Jalen Lecque,2.7
290,Courtney Lee,10.8
291,Damion Lee,12.7
292,Alex Len,17.7
293,Kawhi Leonard,26.9
294,Meyers Leonard,10.6
295,Caris LeVert,16.1
296,Damian Lillard,26.9
297,Nassir Little,9.6
298,Kevon Looney,9.4
299,Brook Lopez,15.0
300,Robin Lopez,10.2
301,Kevin Love,17.9
302,Kyle Lowry,17.7
303,Timothé Luwawu-Cabarrot,11.0
304,Trey Lyles,12.6
305,Daryl Macon,-3.1
306,J.P. Macura,0.0
307,Josh Magette,5.1
308,Ian Mahinmi,14.2
309,Thon Maker,13.7
310,Terance Mann,10.6
311,Boban Marjanović,25.7
312,Lauri Markkanen,14.3
313,Caleb Martin,12.0
314,Cody Martin,10.5
315,Jeremiah Martin,21.8
316,Kelan Martin,9.2
317,Frank Mason III,16.9
318,Garrison Mathews,13.1
319,Wesley Matthews,8.1
320,Luc Mbah a Moute,6.4
321,Patrick McCaw,7.3
322,CJ McCollum,17.0
323,T.J. McConnell,16.5
324,Jalen McDaniels,10.7
325,Doug McDermott,14.4
326,JaVale McGee,19.4
327,Rodney McGruder,6.7
328,Alfonzo McKinnie,8.7
329,Jordan McLaughlin,16.3
330,Ben McLemore,11.8
331,Jordan McRae,14.2
332,Nicolò Melli,11.4
333,De'Anthony Melton,13.5
334,Chimezie Metu,22.2
335,Khris Middleton,21.1
336,Eric Mika,13.9
337,C.J. Miles,11.1
338,Malcolm Miller,6.7
339,Patty Mills,14.8
340,Paul Millsap,16.9
341,Shake Milton,14.4
342,Donovan Mitchell,18.8
343,Naz Mitrou-Long,7.8
344,Adam Mokoka,8.2
345,Malik Monk,12.6
346,Matt Mooney,8.1
347,E'Twaun Moore,11.3
348,Ja Morant,17.4
349,Juwan Morgan,10.1
350,Marcus Morris,14.3
351,Markieff Morris,12.5
352,Monte Morris,14.9
353,Johnathan Motley,28.5
354,Emmanuel Mudiay,13.0
355,Mychal Mulder,7.8
356,Dejounte Murray,16.2
357,Jamal Murray,17.7
358,Džanan Musa,9.4
359,Mike Muscala,12.5
360,Svi Mykhailiuk,11.2
361,Abdel Nader,11.3
362,Larry Nance Jr.,17.3
363,Shabazz Napier,13.8
364,Raul Neto,12.7
365,Malik Newman,-11.4
366,Georges Niang,11.7
367,Joakim Noah,11.1
368,Nerlens Noel,20.4
369,Zach Norvell,2.6
370,Jaylen Nowell,10.5
371,Frank Ntilikina,9.8
372,Kendrick Nunn,12.9
373,Jusuf Nurkić,22.6
374,David Nwaba,14.0
375,Royce O'Neale,9.5
376,Kyle O'Quinn,18.6
377,Semi Ojeleye,7.7
378,Jahlil Okafor,18.3
379,Elie Okobo,10.6
380,Josh Okogie,11.5
381,KZ Okpala,13.7
382,Victor Oladipo,11.3
383,Kelly Olynyk,14.6
384,Miye Oni,9.7
385,Cedi Osman,10.7
386,Kelly Oubre Jr.,14.9
387,Tariq Owens,8.4
388,Jeremy Pargo,12.6
389,Jabari Parker,18.0
390,Chandler Parsons,5.6
391,Eric Paschall,14.5
392,Anžejs Pasečņiks,11.3
393,Patrick Patterson,11.5
394,Justin Patton,4.7
395,Chris Paul,21.7
396,Cameron Payne,15.7
397,Elfrid Payton,16.0
398,Gary Payton II,11.3
399,Norvel Pelle,10.5
400,Theo Pinson,5.2
401,Mason Plumlee,18.8
402,Jakob Poeltl,19.1
403,Vincent Poirier,12.7
404,Shamorie Ponds,33.1
405,Jordan Poole,7.2
406,Kevin Porter Jr.,10.8
407,Michael Porter Jr.,19.8
408,Otto Porter Jr.,15.8
409,Bobby Portis,14.6
410,Kristaps Porziņģis,20.2
411,Dwight Powell,15.9
412,Norman Powell,16.8
413,Taurean Prince,9.1
414,Chasson Randle,6.7
415,Julius Randle,17.5
416,Josh Reaves,5.8
417,Cam Reddish,9.0
418,J.J. Redick,15.4
419,Naz Reid,15.3
420,Josh Richardson,12.0
421,Austin Rivers,10.4
422,Andre Roberson,5.4
423,Duncan Robinson,13.1
424,Glenn Robinson III,13.3
425,Jerome Robinson,7.4
426,Justin Robinson,8.2
427,Mitchell Robinson,23.5
428,Isaiah Roby,-7.7
429,Rajon Rondo,12.4
430,Derrick Rose,21.0
431,Terrence Ross,14.0
432,Terry Rozier,14.8
433,Ricky Rubio,16.5
434,D'Angelo Russell,18.7
435,Domantas Sabonis,20.7
436,Luka Šamanić,8.8
437,JaKarr Sampson,12.6
438,Dario Šarić,14.2
439,Tomáš Satoranský,13.5
440,Admiral Schofield,6.1
441,Dennis Schröder,16.7
442,Mike Scott,11.2
443,Thabo Sefolosha,9.4
444,Collin Sexton,16.3
445,Landry Shamet,8.5
446,Marial Shayok,1.4
447,Iman Shumpert,5.3
448,Pascal Siakam,17.9
449,Chris Silva,17.3
450,Ben Simmons,20.4
451,Anfernee Simons,9.0
452,Alen Smailagić,14.5
453,Marcus Smart,13.8
454,Dennis Smith Jr.,7.4
455,Ish Smith,13.9
456,J.R. Smith,0.0
457,Zhaire Smith,1.1
458,Tony Snell,9.7
459,Omari Spellman,14.4
460,Max Strus,30.7
461,Edmond Sumner,10.1
462,Caleb Swanigan,7.6
463,Jayson Tatum,20.4
464,Jeff Teague,14.6
465,Garrett Temple,10.5
466,Daniel Theis,17.9
467,Isaiah Thomas,11.6
468,Khyri Thomas,3.1
469,Lance Thomas,3.0
470,Matt Thomas,13.3
471,Tristan Thompson,16.8
472,Sindarius Thornwell,14.7
473,Matisse Thybulle,10.0
474,Anthony Tolliver,7.0
475,Juan Toscano-Anderson,9.4
476,Karl-Anthony Towns,26.5
477,Gary Trent Jr.,12.9
478,Allonzo Trier,14.5
479,P.J. Tucker,8.3
480,Rayjon Tucker,9.7
481,Evan Turner,6.8
482,Myles Turner,14.8
483,Jarrod Uthoff,8.8
484,Jonas Valančiūnas,22.2
485,Denzel Valentine,13.0
486,Jarred Vanderbilt,7.6
487,Fred VanVleet,16.3
488,Gabe Vincent,1.2
489,Noah Vonleh,15.5
490,Nikola Vučević,21.9
491,Dean Wade,13.9
492,Moritz Wagner,15.1
493,Dion Waiters,11.5
494,Kemba Walker,20.0
495,Lonnie Walker IV,10.5
496,Tyrone Wallace,3.9
497,Derrick Walton,8.7
498,Brad Wanamaker,12.8
499,T.J. Warren,18.4
500,P.J. Washington,12.4
501,Yuta Watanabe,11.2
502,Tremont Waters,4.3
503,Paul Watson,12.6
504,Quinndary Weatherspoon,3.2
505,Russell Westbrook,21.0
506,Coby White,11.9
507,Derrick White,16.4
508,Hassan Whiteside,25.0
509,Andrew Wiggins,16.4
510,Grant Williams,7.9
511,Johnathan Williams,14.0
512,Kenrich Williams,7.5
513,Lou Williams,17.3
514,Marvin Williams,11.2
515,Robert Williams,23.1
516,Nigel Williams-Goss,8.1
517,Zion Williamson,24.1
518,D.J. Wilson,8.2
519,Justise Winslow,8.5
520,Christian Wood,23.2
521,Delon Wright,15.4
522,Justin Wright-Foreman,8.8
523,Thaddeus Young,13.3
524,Trae Young,23.9
525,Cody Zeller,18.8
526,Tyler Zeller,22.4
527,Ante Žižić,16.4
528,Ivica Zubac,21.7
