,Player,PER
0,Quincy Acy,15.9
1,Jeff Adrien,13.4
2,Arron Afflalo,13.0
3,Josh Akognon,15.3
4,Cole Aldrich,11.1
5,LaMarcus Aldridge,20.4
6,Lavoy Allen,11.5
7,Ray Allen,14.7
8,Tony Allen,13.2
9,Al-Farouq Aminu,13.7
10,Lou Amundson,9.3
11,Chris Andersen,17.4
12,Alan Anderson,12.6
13,James Anderson,13.9
14,Ryan Anderson,18.1
15,Carmelo Anthony,24.8
16,Joel Anthony,10.4
17,Trevor Ariza,14.0
18,Darrell Arthur,11.8
19,Ömer Aşık,14.9
20,D.J. Augustin,11.0
21,Gustavo Ayón,12.8
22,Jeff Ayres,14.5
23,Luke Babbitt,9.4
24,Leandro Barbosa,13.5
25,J.J. Barea,14.1
26,Andrea Bargnani,11.2
27,Harrison Barnes,11.0
28,Matt Barnes,15.5
29,Earl Barron,8.9
30,Will Barton,9.1
31,Brandon Bass,12.3
32,Shane Battier,10.7
33,Nicolas Batum,15.7
34,Jerryd Bayless,13.5
35,Aron Baynes,8.8
36,Kent Bazemore,11.3
37,Bradley Beal,13.6
38,Michael Beasley,10.8
39,Rodrigue Beaubois,10.6
40,Marco Belinelli,10.4
41,Patrick Beverley,15.4
42,Andris Biedriņš,7.7
43,Chauncey Billups,15.0
44,Bismack Biyombo,10.1
45,DeJuan Blair,14.6
46,Steve Blake,11.7
47,Andray Blatche,21.9
48,Eric Bledsoe,17.5
49,Keith Bogans,6.7
50,Andrew Bogut,13.8
51,Matt Bonner,11.8
52,Trevor Booker,13.9
53,Carlos Boozer,17.1
54,Chris Bosh,20.0
55,Avery Bradley,8.8
56,Elton Brand,15.2
57,Corey Brewer,14.7
58,Ronnie Brewer,10.0
59,Aaron Brooks,11.8
60,MarShon Brooks,13.5
61,Kwame Brown,8.8
62,Shannon Brown,13.1
63,Kobe Bryant,23.0
64,Chase Budinger,12.6
65,Alec Burks,11.5
66,Caron Butler,12.4
67,Jimmy Butler,15.2
68,Will Bynum,16.6
69,José Calderón,18.8
70,Marcus Camby,8.6
71,DeMarre Carroll,15.5
72,Matt Carroll,2.9
73,Vince Carter,17.8
74,Omri Casspi,12.9
75,Mario Chalmers,13.3
76,Tyson Chandler,18.9
77,Wilson Chandler,16.6
78,Josh Childress,7.0
79,Earl Clark,12.4
80,Victor Claver,7.0
81,Norris Cole,7.9
82,Jason Collins,3.0
83,Darren Collison,16.3
84,Nick Collison,13.6
85,Mike Conley,18.3
86,Will Conroy,-15.2
87,Daequan Cook,5.8
88,Chris Copeland,16.8
89,DeMarcus Cousins,20.2
90,Jamal Crawford,16.8
91,Jordan Crawford,13.8
92,Jae Crowder,10.2
93,Dante Cunningham,13.3
94,Jared Cunningham,14.8
95,Eddy Curry,-0.2
96,Stephen Curry,21.3
97,Samuel Dalembert,18.6
98,Marquis Daniels,9.2
99,Anthony Davis,21.7
100,Ed Davis,17.8
101,Glen Davis,15.0
102,Austin Daye,12.9
103,Nando De Colo,11.1
104,Carlos Delfino,13.3
105,Luol Deng,15.1
106,Justin Dentmon,-19.4
107,DeMar DeRozan,14.7
108,Boris Diaw,11.9
109,DeSagana Diop,6.6
110,Keyon Dooling,11.2
111,Toney Douglas,13.4
112,Chris Douglas-Roberts,8.3
113,Goran Dragić,17.5
114,Andre Drummond,21.6
115,Jared Dudley,14.9
116,Chris Duhon,8.0
117,Tim Duncan,24.4
118,Mike Dunleavy,13.6
119,Kevin Durant,28.3
120,Devin Ebanks,6.3
121,Wayne Ellington,12.2
122,Monta Ellis,16.2
123,Kim English,7.9
124,Jeremy Evans,19.9
125,Reggie Evans,12.8
126,Tyreke Evans,18.1
127,Festus Ezeli,9.3
128,Kenneth Faried,18.5
129,Derrick Favors,17.5
130,Raymond Felton,15.2
131,Landry Fields,10.3
132,Derek Fisher,7.7
133,Evan Fournier,13.8
134,Randy Foye,11.7
135,Jimmer Fredette,14.6
136,Enes Freedom,17.6
137,Joel Freeland,9.3
138,Danilo Gallinari,16.7
139,Francisco García,11.0
140,Kevin Garnett,19.2
141,Diante Garrett,9.0
142,Marc Gasol,19.5
143,Pau Gasol,16.7
144,Rudy Gay,15.6
145,Alonzo Gee,10.5
146,Mickaël Gelabale,11.8
147,Paul George,16.8
148,Daniel Gibson,7.7
149,Taj Gibson,14.4
150,Manu Ginóbili,19.0
151,Drew Gooden,7.7
152,Ben Gordon,12.7
153,Eric Gordon,15.4
154,Marcin Gortat,15.4
155,Andrew Goudelock,-6.4
156,Danny Granger,4.0
157,Aaron Gray,9.0
158,Danny Green,14.1
159,Draymond Green,7.1
160,Gerald Green,9.9
161,Jeff Green,15.0
162,Willie Green,11.8
163,Blake Griffin,22.4
164,Hamed Haddadi,10.2
165,Jordan Hamilton,16.9
166,Richard Hamilton,10.6
167,Ben Hansbrough,7.2
168,Tyler Hansbrough,15.3
169,James Harden,22.9
170,Maurice Harkless,12.5
171,Josh Harrellson,8.5
172,Al Harrington,10.3
173,Devin Harris,14.6
174,Terrel Harris,-3.8
175,Tobias Harris,16.0
176,Udonis Haslem,9.9
177,Spencer Hawes,16.0
178,Chuck Hayes,10.7
179,Gordon Hayward,16.8
180,Lazar Hayward,11.2
181,Brendan Haywood,8.7
182,Gerald Henderson,16.4
183,Xavier Henry,7.6
184,John Henson,18.2
185,Roy Hibbert,17.3
186,J.J. Hickson,19.7
187,Cory Higgins,12.6
188,Nenê,17.0
189,George Hill,16.6
190,Grant Hill,4.8
191,Jordan Hill,18.5
192,Kirk Hinrich,10.8
193,Jrue Holiday,16.7
194,Justin Holiday,7.6
195,Ryan Hollins,11.3
196,Tyler Honeycutt,1.9
197,Al Horford,19.8
198,Dwight Howard,19.4
199,Josh Howard,9.5
200,Juwan Howard,9.9
201,Kris Humphries,13.6
202,Serge Ibaka,19.4
203,Andre Iguodala,15.2
204,Ersan İlyasova,18.3
205,Kyrie Irving,21.4
206,Royal Ivey,8.1
207,Jarrett Jack,15.9
208,Reggie Jackson,14.2
209,Stephen Jackson,8.0
210,Bernard James,14.7
211,Damion James,
212,LeBron James,31.6
213,Mike James,9.5
214,Antawn Jamison,15.3
215,Al Jefferson,20.9
216,Richard Jefferson,10.3
217,Jared Jeffries,2.4
218,Charles Jenkins,7.5
219,John Jenkins,13.0
220,Brandon Jennings,16.1
221,Jonas Jerebko,15.7
222,Amir Johnson,17.3
223,Chris Johnson,18.4
224,Chris Johnson,10.7
225,Ivan Johnson,15.7
226,James Johnson,10.2
227,Joe Johnson,14.1
228,Orlando Johnson,11.4
229,Wesley Johnson,10.3
230,Darius Johnson-Odom,-6.7
231,Dahntay Jones,6.4
232,DeQuan Jones,8.4
233,Dominique Jones,12.4
234,James Jones,8.1
235,Kevin Jones,11.1
236,Perry Jones,7.8
237,Solomon Jones,-5.7
238,Terrence Jones,17.1
239,DeAndre Jordan,17.2
240,Cory Joseph,13.5
241,Kris Joseph,0.6
242,Chris Kaman,16.3
243,Jason Kidd,13.5
244,Michael Kidd-Gilchrist,14.0
245,Andrei Kirilenko,17.6
246,Linas Kleiza,8.2
247,Brandon Knight,12.0
248,Kyle Korver,13.9
249,Kosta Koufos,17.2
250,Viacheslav Kravtsov,14.4
251,Doron Lamb,4.8
252,Jeremy Lamb,11.2
253,Carl Landry,17.5
254,Ty Lawson,17.9
255,Courtney Lee,11.7
256,David Lee,19.2
257,Malcolm Lee,9.8
258,Kawhi Leonard,16.4
259,Meyers Leonard,12.1
260,Jon Leuer,10.4
261,Rashard Lewis,11.1
262,DeAndre Liggins,9.4
263,Damian Lillard,16.4
264,Jeremy Lin,14.9
265,Shaun Livingston,13.0
266,Brook Lopez,24.7
267,Robin Lopez,18.9
268,Kevin Love,17.9
269,Kyle Lowry,17.5
270,John Lucas III,12.8
271,Scott Machado,6.0
272,Shelvin Mack,11.3
273,Corey Maggette,7.9
274,Ian Mahinmi,10.6
275,Shawn Marion,18.0
276,Kendall Marshall,7.8
277,Cartier Martin,9.7
278,Kenyon Martin,13.9
279,Kevin Martin,16.0
280,Roger Mason,10.0
281,Wesley Matthews,14.1
282,Jason Maxiell,11.3
283,Eric Maynor,9.3
284,O.J. Mayo,13.9
285,Luc Mbah a Moute,9.1
286,JaVale McGee,20.7
287,Dominic McGuire,7.7
288,Josh McRoberts,12.7
289,Jodie Meeks,11.4
290,Fab Melo,4.9
291,Khris Middleton,11.4
292,C.J. Miles,15.3
293,Darko Miličić,-30.2
294,Andre Miller,15.7
295,Darius Miller,6.3
296,Mike Miller,13.5
297,Quincy Miller,5.9
298,Patty Mills,14.1
299,Paul Millsap,19.8
300,Nazr Mohammed,10.8
301,Greg Monroe,19.5
302,E'Twaun Moore,10.7
303,Darius Morris,8.1
304,Marcus Morris,11.3
305,Markieff Morris,12.6
306,Anthony Morrow,12.0
307,Donatas Motiejūnas,12.2
308,Arnett Moultrie,16.7
309,Timofey Mozgov,12.3
310,Byron Mullens,12.3
311,Kevin Murphy,-4.5
312,Troy Murphy,9.1
313,Steve Nash,16.0
314,Gary Neal,11.5
315,Jameer Nelson,14.4
316,Andrew Nicholson,15.1
317,Joakim Noah,18.1
318,Steve Novak,11.3
319,Dirk Nowitzki,19.8
320,Jermaine O'Neal,16.7
321,Kyle O'Quinn,15.8
322,Lamar Odom,10.9
323,Tim Ohlbrecht,-6.1
324,Emeka Okafor,15.8
325,Daniel Orton,14.0
326,Travis Outlaw,13.0
327,Zaza Pachulia,13.1
328,Jannero Pargo,10.3
329,Jeremy Pargo,10.4
330,Tony Parker,23.0
331,Chandler Parsons,15.3
332,Patrick Patterson,15.2
333,Chris Paul,26.4
334,Sasha Pavlović,6.2
335,Nikola Peković,20.2
336,Kendrick Perkins,8.2
337,Johan Petro,11.0
338,Paul Pierce,19.1
339,Mickaël Piétrus,6.0
340,Dexter Pittman,1.6
341,Miles Plumlee,8.8
342,Quincy Pondexter,11.0
343,A.J. Price,12.4
344,Ronnie Price,6.8
345,Pablo Prigioni,13.0
346,Tayshaun Prince,11.5
347,Joel Przybilla,3.3
348,Chris Quinn,1.3
349,Vladimir Radmanović,6.3
350,Anthony Randolph,15.6
351,Shavlik Randolph,15.9
352,Zach Randolph,17.9
353,J.J. Redick,14.7
354,Jason Richardson,12.6
355,Quentin Richardson,0.7
356,Luke Ridnour,13.0
357,Austin Rivers,5.9
358,Brian Roberts,14.6
359,Nate Robinson,17.4
360,Thomas Robinson,10.9
361,Rajon Rondo,18.1
362,Terrence Ross,10.4
363,Brandon Roy,8.3
364,Ricky Rubio,16.2
365,Brandon Rush,11.9
366,Robert Sacre,3.4
367,John Salmons,10.2
368,Samardo Samuels,6.2
369,Larry Sanders,18.7
370,Luis Scola,16.7
371,Mike Scott,16.3
372,Thabo Sefolosha,12.8
373,Josh Selby,0.1
374,Kevin Séraphin,10.3
375,Ramon Sessions,17.7
376,Tornike Shengelia,8.5
377,Iman Shumpert,11.7
378,Alexey Shved,11.0
379,Henry Sims,29.2
380,Kyle Singler,10.0
381,Chris Singleton,7.8
382,Donald Sloan,9.6
383,Greg Smith,16.1
384,Ish Smith,8.5
385,J.R. Smith,17.6
386,Jason Smith,16.8
387,Josh Smith,17.7
388,Nolan Smith,7.1
389,Marreese Speights,17.3
390,Tiago Splitter,18.7
391,Jerry Stackhouse,8.5
392,Lance Stephenson,11.8
393,DeShawn Stevenson,8.1
394,Greg Stiemsma,10.5
395,Julyan Stone,11.4
396,Amar'e Stoudemire,22.1
397,Rodney Stuckey,13.0
398,Jared Sullinger,13.5
399,DaJuan Summers,4.3
400,Jeff Taylor,10.3
401,Tyshawn Taylor,6.2
402,Jeff Teague,16.8
403,Marquis Teague,6.0
404,Mirza Teletović,12.3
405,Sebastian Telfair,10.9
406,Garrett Temple,8.8
407,Jason Terry,12.8
408,Hasheem Thabeet,11.6
409,Isaiah Thomas,17.5
410,Kurt Thomas,13.3
411,Lance Thomas,10.1
412,Malcolm Thomas,13.8
413,Tyrus Thomas,9.6
414,Jason Thompson,14.6
415,Klay Thompson,12.7
416,Tristan Thompson,16.1
417,Marcus Thornton,16.3
418,Jamaal Tinsley,10.6
419,Anthony Tolliver,8.4
420,P.J. Tucker,11.6
421,Ronny Turiaf,9.4
422,Hedo Türkoğlu,3.4
423,Evan Turner,12.1
424,Jeremy Tyler,6.2
425,Ekpe Udoh,12.0
426,Beno Udrih,14.2
427,Jonas Valančiūnas,15.6
428,Anderson Varejão,21.7
429,Jarvis Varnado,1.2
430,Greivis Vásquez,16.3
431,Jan Veselý,7.6
432,Charlie Villanueva,14.0
433,Nikola Vučević,17.8
434,Dwyane Wade,24.0
435,Dion Waiters,13.7
436,Kemba Walker,18.8
437,John Wall,20.8
438,Gerald Wallace,11.6
439,Rasheed Wallace,16.7
440,Luke Walton,11.3
441,Hakim Warrick,11.5
442,C.J. Watson,13.9
443,Earl Watson,7.7
444,Maalik Wayns,5.0
445,Martell Webster,13.9
446,David West,20.1
447,Russell Westbrook,23.9
448,D.J. White,14.7
449,James White,9.1
450,Chris Wilcox,15.3
451,Damien Wilkins,12.5
452,Deron Williams,20.3
453,Derrick Williams,14.5
454,Lou Williams,15.9
455,Marvin Williams,10.9
456,Mo Williams,14.4
457,Reggie Williams,13.2
458,Terrence Williams,12.3
459,Metta World Peace,12.5
460,Brandan Wright,21.0
461,Chris Wright,-1.9
462,Dorell Wright,16.0
463,Tony Wroten,9.3
464,Nick Young,13.3
465,Sam Young,7.5
466,Thaddeus Young,18.2
467,Luke Zeller,5.6
468,Tyler Zeller,11.0
