,Player,PER
0,Jeff Adrien,11.2
1,Arron Afflalo,14.7
2,Blake Ahearn,-7.3
3,Solomon Alabi,14.2
4,Cole Aldrich,17.7
5,LaMarcus Aldridge,22.7
6,Lavoy Allen,12.7
7,Ray Allen,14.8
8,Tony Allen,15.7
9,Morris Almond,8.7
10,Al-Farouq Aminu,10.6
11,Lou Amundson,11.5
12,Chris Andersen,18.9
13,Alan Anderson,8.7
14,James Anderson,8.8
15,Ryan Anderson,21.2
16,Carmelo Anthony,21.1
17,Joel Anthony,10.3
18,Gilbert Arenas,9.9
19,Trevor Ariza,14.2
20,Ömer Aşık,13.4
21,D.J. Augustin,14.1
22,Gustavo Ayón,16.7
23,Jeff Ayres,13.4
24,Kelenna Azubuike,-3.4
25,Luke Babbitt,11.3
26,Renaldo Balkman,14.3
27,Leandro Barbosa,14.0
28,J.J. Barea,14.9
29,Andrea Bargnani,17.9
30,Matt Barnes,15.5
31,Earl Barron,4.7
32,Brandon Bass,14.1
33,Tony Battie,7.3
34,Shane Battier,9.7
35,Nicolas Batum,17.3
36,Jerryd Bayless,17.7
37,Michael Beasley,13.0
38,Rodrigue Beaubois,15.3
39,Marco Belinelli,11.9
40,Raja Bell,8.3
41,Keith Benson,6.0
42,Mike Bibby,7.8
43,Andris Biedriņš,8.8
44,Chauncey Billups,16.1
45,Bismack Biyombo,10.6
46,DeJuan Blair,17.6
47,Steve Blake,8.5
48,Andray Blatche,10.6
49,Eric Bledsoe,11.2
50,Keith Bogans,4.8
51,Andrew Bogut,14.9
52,Matt Bonner,13.2
53,Trevor Booker,15.4
54,Carlos Boozer,19.7
55,Chris Bosh,18.9
56,Earl Boykins,10.3
57,Craig Brackins,4.3
58,Avery Bradley,11.3
59,Elton Brand,18.0
60,Corey Brewer,13.7
61,Ronnie Brewer,12.3
62,Jon Brockman,6.6
63,MarShon Brooks,12.9
64,Derrick Brown,14.7
65,Kwame Brown,11.1
66,Shannon Brown,13.6
67,Kobe Bryant,21.9
68,Chase Budinger,14.9
69,Alec Burks,14.0
70,Caron Butler,11.7
71,Jimmy Butler,12.5
72,Rasual Butler,4.8
73,Derrick Byars,14.9
74,Andrew Bynum,22.9
75,Will Bynum,10.0
76,José Calderón,16.7
77,Marcus Camby,16.2
78,Brian Cardinal,3.3
79,DeMarre Carroll,11.1
80,Matt Carroll,5.6
81,Anthony Carter,8.7
82,Vince Carter,13.6
83,Omri Casspi,11.2
84,Mario Chalmers,12.9
85,Tyson Chandler,18.7
86,Wilson Chandler,9.0
87,Josh Childress,11.1
88,Earl Clark,8.1
89,Norris Cole,7.9
90,Jason Collins,3.7
91,Darren Collison,13.6
92,Nick Collison,12.1
93,Mike Conley,16.8
94,Brian Cook,5.8
95,Daequan Cook,9.2
96,DeMarcus Cousins,21.7
97,Jamal Crawford,15.7
98,Jordan Crawford,14.5
99,Dante Cunningham,14.9
100,Eddy Curry,3.6
101,Stephen Curry,21.2
102,Samuel Dalembert,16.9
103,Erick Dampier,5.5
104,Marquis Daniels,8.1
105,Baron Davis,10.0
106,Ed Davis,14.2
107,Glen Davis,13.2
108,Josh Davis,11.3
109,Eric Dawson,14.6
110,Austin Daye,7.1
111,Carlos Delfino,11.7
112,Luol Deng,14.1
113,Justin Dentmon,4.8
114,DeMar DeRozan,12.8
115,Boris Diaw,11.2
116,Ike Diogu,-2.9
117,DeSagana Diop,6.8
118,Keyon Dooling,6.9
119,Toney Douglas,7.1
120,Goran Dragić,18.0
121,Jared Dudley,15.4
122,Chris Duhon,8.4
123,Tim Duncan,22.5
124,Mike Dunleavy,16.6
125,Kevin Durant,26.2
126,Jerome Dyson,11.3
127,Devin Ebanks,8.3
128,Wayne Ellington,9.4
129,Monta Ellis,17.5
130,Francisco Elson,6.3
131,Andre Emmett,13.3
132,Semih Erden,9.9
133,Jeremy Evans,19.6
134,Maurice Evans,9.0
135,Reggie Evans,9.2
136,Tyreke Evans,16.4
137,Christian Eyenga,4.8
138,Kenneth Faried,21.9
139,Jordan Farmar,17.4
140,Derrick Favors,17.1
141,Raymond Felton,13.4
142,Rudy Fernández,13.3
143,Kyrylo Fesenko,29.8
144,Landry Fields,12.0
145,Derek Fisher,8.0
146,Jonny Flynn,11.2
147,Jeff Foote,-0.9
148,Gary Forbes,13.3
149,T.J. Ford,11.0
150,Courtney Fortson,9.9
151,Jeff Foster,11.1
152,Randy Foye,13.5
153,Jimmer Fredette,10.8
154,Enes Freedom,14.5
155,Channing Frye,14.9
156,Dan Gadzuric,-4.3
157,Sundiata Gaines,15.0
158,Danilo Gallinari,16.5
159,Francisco García,10.7
160,Kevin Garnett,20.4
161,Marc Gasol,18.4
162,Pau Gasol,20.4
163,Rudy Gay,17.8
164,Alonzo Gee,13.2
165,Paul George,16.5
166,Daniel Gibson,9.2
167,Taj Gibson,16.9
168,Manu Ginóbili,24.1
169,Mickell Gladness,9.5
170,Ryan Gomes,4.4
171,Drew Gooden,18.8
172,Ben Gordon,13.5
173,Eric Gordon,19.2
174,Marcin Gortat,21.2
175,Andrew Goudelock,8.4
176,Danny Granger,18.6
177,Aaron Gray,11.1
178,Danny Green,15.5
179,Gerald Green,15.8
180,Willie Green,13.9
181,Donté Greene,11.8
182,Blake Griffin,23.4
183,Hamed Haddadi,16.3
184,Jordan Hamilton,13.9
185,Richard Hamilton,13.2
186,Tyler Hansbrough,14.7
187,Luke Harangody,10.4
188,James Harden,21.1
189,Justin Harper,1.7
190,Josh Harrellson,13.7
191,Al Harrington,15.3
192,Devin Harris,16.0
193,Manny Harris,11.7
194,Terrel Harris,6.7
195,Tobias Harris,14.2
196,Udonis Haslem,10.9
197,Spencer Hawes,18.1
198,Chuck Hayes,8.9
199,Gordon Hayward,15.5
200,Lazar Hayward,3.1
201,Brendan Haywood,12.9
202,Gerald Henderson,14.0
203,Xavier Henry,9.2
204,Roy Hibbert,19.3
205,J.J. Hickson,14.9
206,Cory Higgins,4.1
207,Nenê,18.6
208,George Hill,15.7
209,Grant Hill,12.3
210,Jordan Hill,15.8
211,Kirk Hinrich,9.2
212,Darington Hobson,-3.3
213,Jrue Holiday,14.7
214,Ryan Hollins,6.9
215,Tyler Honeycutt,10.4
216,Al Horford,19.0
217,Dennis Horner,6.6
218,Dwight Howard,24.2
219,Josh Howard,10.5
220,Juwan Howard,3.6
221,Lester Hudson,13.9
222,Larry Hughes,-4.8
223,Kris Humphries,17.9
224,Serge Ibaka,19.0
225,Andre Iguodala,17.6
226,Ersan İlyasova,20.5
227,Kyrie Irving,21.4
228,Royal Ivey,4.7
229,Jarrett Jack,17.9
230,Reggie Jackson,9.2
231,Stephen Jackson,10.7
232,Damion James,6.1
233,LeBron James,30.7
234,Mike James,13.7
235,Antawn Jamison,16.1
236,Al Jefferson,22.8
237,Richard Jefferson,11.1
238,Jared Jeffries,10.9
239,Charles Jenkins,12.4
240,Brandon Jennings,18.4
241,Jonas Jerebko,14.2
242,Yi Jianlian,10.4
243,Amir Johnson,14.4
244,Armon Johnson,12.9
245,Carldell Johnson,8.9
246,Chris Johnson,10.8
247,Ivan Johnson,14.3
248,JaJuan Johnson,11.4
249,James Johnson,14.5
250,Joe Johnson,18.4
251,Trey Johnson,11.8
252,Wesley Johnson,8.0
253,Dahntay Jones,10.3
254,Dominique Jones,11.8
255,James Jones,9.7
256,Solomon Jones,9.1
257,DeAndre Jordan,16.4
258,Jerome Jordan,18.3
