,Player,PER
0,Quincy Acy,11.9
1,Jordan Adams,12.8
2,Steven Adams,14.1
3,Jeff Adrien,14.2
4,Arron Afflalo,10.7
5,Alexis Ajinça,19.9
6,Furkan Aldemir,12.0
7,Cole Aldrich,18.1
8,LaMarcus Aldridge,22.8
9,Lavoy Allen,14.9
10,Tony Allen,14.6
11,Al-Farouq Aminu,14.4
12,Lou Amundson,11.8
13,Chris Andersen,16.1
14,Alan Anderson,10.6
15,Kyle Anderson,8.2
16,Ryan Anderson,15.6
17,Giannis Antetokounmpo,14.8
18,Carmelo Anthony,21.5
19,Joel Anthony,14.7
20,Pero Antić,9.5
21,Trevor Ariza,12.7
22,Darrell Arthur,11.5
23,Ömer Aşık,15.5
24,D.J. Augustin,13.9
25,Jeff Ayres,14.4
26,Luke Babbitt,11.1
27,Cameron Bairstow,2.1
28,Leandro Barbosa,15.3
29,J.J. Barea,15.1
30,Andrea Bargnani,16.6
31,Harrison Barnes,13.4
32,Matt Barnes,11.3
33,Earl Barron,5.0
34,Will Barton,13.6
35,Brandon Bass,16.3
36,Nicolas Batum,13.1
37,Jerryd Bayless,11.1
38,Aron Baynes,15.9
39,Kent Bazemore,9.7
40,Bradley Beal,14.0
41,Michael Beasley,10.6
42,Marco Belinelli,12.4
43,Jerrelle Benimon,4.7
44,Anthony Bennett,11.4
45,Patrick Beverley,11.3
46,Sim Bhullar,44.3
47,Bismack Biyombo,15.2
48,Tarik Black,14.7
49,DeJuan Blair,7.7
50,Steve Blake,9.5
51,Eric Bledsoe,18.4
52,Vander Blue,4.0
53,Bojan Bogdanović,11.6
54,Andrew Bogut,15.8
55,Matt Bonner,10.1
56,Trevor Booker,15.3
57,Carlos Boozer,16.4
58,Chris Bosh,19.8
59,Avery Bradley,11.5
60,Elton Brand,9.4
61,Corey Brewer,13.9
62,Aaron Brooks,14.4
63,Jabari Brown,11.0
64,Lorenzo Brown,11.0
65,Markel Brown,9.1
66,Shannon Brown,4.4
67,Kobe Bryant,17.6
68,Chase Budinger,12.2
69,Reggie Bullock,6.2
70,Trey Burke,12.6
71,Alec Burks,13.0
72,Caron Butler,9.3
73,Jimmy Butler,21.3
74,Rasual Butler,11.4
75,Dwight Buycks,13.1
76,Will Bynum,4.8
77,Bruno Caboclo,-1.8
78,Nick Calathes,12.3
79,José Calderón,11.3
80,Kentavious Caldwell-Pope,11.2
81,Isaiah Canaan,12.4
82,Clint Capela,12.1
83,DeMarre Carroll,15.9
84,Vince Carter,9.6
85,Michael Carter-Williams,14.1
86,Omri Casspi,14.4
87,Mario Chalmers,11.7
88,Tyson Chandler,20.1
89,Wilson Chandler,13.2
90,Will Cherry,5.8
91,Patrick Christopher,-2.6
92,Earl Clark,6.7
93,Ian Clark,8.8
94,Jordan Clarkson,16.9
95,Victor Claver,9.2
96,Norris Cole,10.9
97,Darren Collison,17.5
98,Nick Collison,11.2
99,Mike Conley,18.6
100,Jack Cooley,11.4
101,Chris Copeland,7.4
102,Bryce Cotton,14.5
103,DeMarcus Cousins,25.2
104,Robert Covington,14.7
105,Allen Crabbe,8.7
106,Jamal Crawford,16.6
107,Jae Crowder,13.9
108,Dante Cunningham,8.9
109,Jared Cunningham,7.3
110,Seth Curry,-11.4
111,Stephen Curry,28.0
112,Samuel Dalembert,11.8
113,Troy Daniels,9.6
114,Gigi Datome,15.1
115,Brandon Davies,10.5
116,Anthony Davis,30.8
117,Ed Davis,20.0
118,Glen Davis,10.8
119,Andre Dawkins,-5.0
120,Austin Daye,8.2
121,Dewayne Dedmon,13.3
122,Matthew Dellavedova,8.5
123,Luol Deng,15.5
124,DeMar DeRozan,17.4
125,Boris Diaw,12.7
126,Gorgui Dieng,17.2
127,Spencer Dinwiddie,10.2
128,Joey Dorsey,11.1
129,Toney Douglas,11.2
130,Chris Douglas-Roberts,3.3
131,Goran Dragić,17.4
132,Zoran Dragić,8.2
133,Larry Drew II,4.5
134,Andre Drummond,21.4
135,Jared Dudley,12.3
