,Player,PER
0,Precious Achiuwa,12.7
1,Steven Adams,17.6
2,Bam Adebayo,21.8
3,Santi Aldama,10.2
4,LaMarcus Aldridge,19.6
5,Nickeil Alexander-Walker,10.5
6,Grayson Allen,12.7
7,Jarrett Allen,23.0
8,Jose Alvarado,16.4
9,Justin Anderson,10.4
10,Kyle Anderson,14.4
11,Giannis Antetokounmpo,32.1
12,Thanasis Antetokounmpo,12.5
13,Carmelo Anthony,14.8
14,Cole Anthony,13.5
15,OG Anunoby,14.8
16,Ryan Arcidiacono,6.1
17,Trevor Ariza,7.0
18,D.J. Augustin,9.7
19,Deni Avdija,11.6
20,Joel Ayayi,3.4
21,Deandre Ayton,21.9
22,Udoka Azubuike,17.6
23,Marvin Bagley III,15.7
24,LaMelo Ball,19.7
25,Lonzo Ball,14.5
26,Mo Bamba,16.5
27,Desmond Bane,17.6
28,Dalano Banton,10.0
29,Cat Barber,-11.2
30,Harrison Barnes,15.7
31,Scottie Barnes,16.3
32,RJ Barrett,13.7
33,Will Barton,13.4
34,Paris Bass,13.9
35,Charles Bassey,21.5
36,Keita Bates-Diop,12.4
37,Nicolas Batum,13.5
38,Kent Bazemore,6.0
39,Darius Bazley,12.6
40,Bradley Beal,17.5
41,Malik Beasley,11.9
42,Jordan Bell,29.9
43,DeAndre' Bembry,11.9
44,Dāvis Bertāns,9.4
45,Patrick Beverley,14.8
46,Saddiq Bey,14.0
47,Khem Birch,13.2
48,Goga Bitadze,18.0
49,Bismack Biyombo,17.3
50,Nemanja Bjelica,14.2
51,Eric Bledsoe,12.5
52,Keljin Blevins,4.8
53,Bogdan Bogdanović,15.4
54,Bojan Bogdanović,15.7
55,Bol Bol,13.5
56,Leandro Bolmaro,5.4
57,Isaac Bonga,8.7
58,Devin Booker,21.3
59,Brandon Boston Jr.,11.2
60,Chris Boucher,17.9
61,James Bouknight,10.1
62,Avery Bradley,7.8
63,Tony Bradley,14.9
64,Ignas Brazdeikis,10.2
65,Mikal Bridges,14.4
66,Miles Bridges,17.9
67,Oshae Brissett,12.9
68,Malcolm Brogdon,18.0
69,Armoni Brooks,8.4
70,Dillon Brooks,15.5
71,Bruce Brown,15.0
72,Charlie Brown Jr.,6.5
73,Chaundee Brown Jr.,6.4
74,Greg Brown III,11.0
75,Jaylen Brown,18.9
76,Moses Brown,18.5
77,Sterling Brown,8.4
78,Troy Brown Jr.,10.1
79,Jalen Brunson,17.1
80,Thomas Bryant,16.6
81,Shaq Buchanan,0.6
82,Reggie Bullock,9.2
83,Trey Burke,10.0
84,Alec Burks,13.7
85,Jared Butler,12.1
86,Jimmy Butler,23.6
87,Devontae Cacok,20.2
88,Kentavious Caldwell-Pope,12.6
89,Facundo Campazzo,11.1
90,Vlatko Čančar,12.7
91,Devin Cannady,8.6
92,Clint Capela,21.4
93,Vernon Carey Jr.,15.8
94,Jevon Carter,9.6
95,Wendell Carter Jr.,18.4
96,Alex Caruso,11.7
97,Willie Cauley-Stein,8.3
98,Ahmad Caver,76.2
99,Justin Champagnie,13.6
100,Zylan Cheatham,-23.8
101,Chris Chiozza,4.4
102,Marquese Chriss,14.8
103,Josh Christopher,12.2
104,Gary Clark,11.4
105,Brandon Clarke,23.7
106,Jordan Clarkson,14.9
107,Nic Claxton,18.6
108,Amir Coffey,13.0
109,John Collins,18.7
110,Zach Collins,16.4
111,Darren Collison,-0.2
112,Mike Conley,17.2
113,Pat Connaughton,13.4
114,Tyler Cook,13.0
115,Sharife Cooper,-5.4
116,Petr Cornelie,9.6
117,DeMarcus Cousins,18.2
118,Robert Covington,12.4
119,Torrey Craig,11.0
120,Jae Crowder,11.3
121,Jarrett Culver,8.7
122,Jarron Cumberland,8.4
123,Cade Cunningham,13.1
124,Seth Curry,13.7
125,Stephen Curry,21.4
126,Anthony Davis,23.9
127,Ed Davis,9.3
128,Terence Davis,14.6
129,Gabriel Deck,11.5
130,Dewayne Dedmon,15.9
131,Sam Dekker,0.0
132,Javin DeLaurier,15.6
133,DeMar DeRozan,23.1
134,Mamadi Diakite,11.6
135,Cheick Diallo,12.3
136,Hamidou Diallo,15.7
137,Gorgui Dieng,17.3
138,Spencer Dinwiddie,15.1
139,Donte DiVincenzo,11.3
140,Luka Dončić,25.1
141,Luguentz Dort,12.3
142,Ayo Dosunmu,11.2
143,Damyean Dotson,6.4
144,Devon Dotson,9.8
145,Sekou Doumbouya,40.7
146,Jeff Dowtin,6.8
147,PJ Dozier,8.7
148,Goran Dragić,10.0
149,Andre Drummond,21.0
150,Chris Duarte,12.3
151,David Duke Jr.,10.0
152,Kris Dunn,12.5
153,Kevin Durant,25.6
