,Player,PER
0,Quincy Acy,10.1
1,Steven Adams,11.2
2,Jeff Adrien,17.4
3,Arron Afflalo,16.0
4,Alexis Ajinça,14.6
5,Cole Aldrich,19.1
6,LaMarcus Aldridge,21.8
7,Lavoy Allen,12.5
8,Ray Allen,12.8
9,Tony Allen,15.6
10,Al-Farouq Aminu,13.2
11,Lou Amundson,9.1
12,Chris Andersen,18.5
13,Alan Anderson,9.5
14,James Anderson,10.9
15,Ryan Anderson,18.8
16,Giannis Antetokounmpo,10.8
17,Carmelo Anthony,24.4
18,Joel Anthony,8.1
19,Pero Antić,11.7
20,Trevor Ariza,15.8
21,Hilton Armstrong,17.0
22,Darrell Arthur,9.4
23,Ömer Aşık,14.0
24,D.J. Augustin,16.2
25,Gustavo Ayón,12.9
26,Jeff Ayres,11.1
27,Chris Babb,3.7
28,Luke Babbitt,12.1
29,Leandro Barbosa,11.5
30,J.J. Barea,11.6
31,Andrea Bargnani,14.5
32,Harrison Barnes,9.8
33,Matt Barnes,12.0
34,Will Barton,13.5
35,Brandon Bass,15.0
36,Shane Battier,8.7
37,Nicolas Batum,15.8
38,Jerryd Bayless,12.0
39,Aron Baynes,9.7
40,Kent Bazemore,11.2
41,Bradley Beal,14.3
42,Michael Beasley,16.8
43,Marco Belinelli,15.0
44,Anthony Bennett,6.9
45,Patrick Beverley,12.4
46,Andris Biedriņš,2.4
47,Chauncey Billups,5.3
48,Bismack Biyombo,13.3
49,DeJuan Blair,17.3
50,Steve Blake,11.0
51,Andray Blatche,18.8
52,Eric Bledsoe,19.6
53,Vander Blue,0.5
54,Keith Bogans,9.9
55,Andrew Bogut,17.0
56,Matt Bonner,11.2
57,Trevor Booker,15.0
58,Carlos Boozer,14.4
59,Chris Bosh,19.0
60,Avery Bradley,12.7
61,Elton Brand,14.0
62,Corey Brewer,12.7
63,Ronnie Brewer,3.4
64,Aaron Brooks,12.5
65,MarShon Brooks,15.5
66,Lorenzo Brown,8.2
67,Shannon Brown,4.7
68,Kobe Bryant,10.7
69,Chase Budinger,9.7
70,Reggie Bullock,6.7
71,Trey Burke,12.6
72,Alec Burks,15.8
73,Caron Butler,12.2
74,Jimmy Butler,13.5
75,Rasual Butler,12.2
76,Dwight Buycks,7.2
77,Andrew Bynum,15.2
78,Will Bynum,14.4
79,Nick Calathes,12.3
80,José Calderón,15.2
81,Kentavious Caldwell-Pope,9.4
82,Isaiah Canaan,9.5
83,DeMarre Carroll,13.9
84,Vince Carter,15.9
85,Michael Carter-Williams,15.5
86,Omri Casspi,12.9
87,Mario Chalmers,14.0
88,Tyson Chandler,16.4
89,Wilson Chandler,12.4
90,Josh Childress,3.9
91,Dionte Christmas,11.1
92,Earl Clark,9.1
93,Ian Clark,9.2
94,Victor Claver,8.8
95,Norris Cole,8.8
96,Jason Collins,4.1
97,Darren Collison,16.2
98,Nick Collison,11.8
99,Mike Conley,20.0
100,Chris Copeland,17.6
101,DeMarcus Cousins,26.1
102,Robert Covington,15.0
103,Allen Crabbe,7.7
104,Jamal Crawford,17.3
105,Jordan Crawford,14.3
106,Jae Crowder,11.9
107,Dante Cunningham,12.6
108,Jared Cunningham,8.5
109,Seth Curry,13.8
110,Stephen Curry,24.1
111,Samuel Dalembert,16.8
112,Troy Daniels,16.0
113,Gigi Datome,8.0
114,Brandon Davies,7.5
115,Anthony Davis,26.5
116,Ed Davis,15.9
117,Glen Davis,13.1
118,Austin Daye,11.0
119,Nando De Colo,13.1
120,Dewayne Dedmon,10.7
121,Matthew Dellavedova,10.7
122,Luol Deng,15.2
123,DeMar DeRozan,18.4
124,Boris Diaw,14.1
125,Gorgui Dieng,16.5
126,Toney Douglas,9.2
127,Chris Douglas-Roberts,12.2
128,Goran Dragić,21.4
129,Andre Drummond,22.6
130,Jared Dudley,8.9
131,Tim Duncan,21.3
132,Mike Dunleavy,12.6
133,Kevin Durant,29.8
134,Shane Edwards,-1.0
135,Wayne Ellington,12.2
136,Monta Ellis,16.8
137,Melvin Ely,3.9
138,Jeremy Evans,16.2
139,Reggie Evans,11.7
140,Tyreke Evans,18.4
141,Kenneth Faried,19.8
142,Jordan Farmar,15.0
143,Vítor Luiz Faverani,11.0
144,Derrick Favors,19.0
145,Carrick Felix,13.3
146,Raymond Felton,12.9
147,Landry Fields,8.6
148,Derek Fisher,10.1
149,Evan Fournier,10.3
150,Randy Foye,13.3
151,Jamaal Franklin,4.7
152,Jimmer Fredette,15.8
153,Enes Freedom,15.6
154,Joel Freeland,11.3
155,Channing Frye,13.2
156,Francisco García,9.3
157,Kevin Garnett,13.3
158,Diante Garrett,7.1
159,Marc Gasol,18.2
160,Pau Gasol,19.3
161,Rudy Gay,18.3
162,Alonzo Gee,8.6
163,Paul George,20.1
164,Taj Gibson,16.0
165,Manu Ginóbili,20.0
166,Rudy Gobert,12.9
167,Ryan Gomes,0.2
168,Drew Gooden,18.4
169,Archie Goodwin,10.3
170,Ben Gordon,6.4
171,Eric Gordon,14.9
172,Marcin Gortat,17.6
173,Danny Granger,10.9
174,Aaron Gray,7.8
175,Danny Green,13.9
176,Draymond Green,12.7
177,Gerald Green,16.5
178,Jeff Green,13.1
179,Willie Green,7.1
180,Blake Griffin,23.9
181,Jorge Gutiérrez,8.7
182,Jordan Hamilton,12.7
183,Justin Hamilton,11.9
184,Tyler Hansbrough,14.2
185,Tim Hardaway Jr.,12.7
186,James Harden,23.5
187,Maurice Harkless,11.8
188,Josh Harrellson,13.4
189,Al Harrington,9.7
190,Devin Harris,14.6
191,Elias Harris,7.6
192,Manny Harris,10.9
193,Mike Harris,15.3
194,Tobias Harris,16.5
195,Udonis Haslem,10.5
196,Spencer Hawes,15.7
197,Chuck Hayes,10.0
198,Gordon Hayward,16.2
199,Gerald Henderson,13.1
200,Xavier Henry,12.3
201,John Henson,17.9
202,Roy Hibbert,13.5
203,J.J. Hickson,16.2
204,Nenê,16.6
205,George Hill,13.4
206,Jordan Hill,19.3
207,Solomon Hill,7.6
208,Kirk Hinrich,10.8
209,Jrue Holiday,17.1
210,Ryan Hollins,11.9
211,Scotty Hopson,-6.5
212,Al Horford,22.0
213,Dwight Howard,21.3
214,Robbie Hummel,9.6
215,Kris Humphries,18.2
216,Serge Ibaka,19.6
217,Andre Iguodala,13.7
218,Ersan İlyasova,13.8
219,Kyrie Irving,20.1
220,Royal Ivey,-16.5
221,Jarrett Jack,11.5
222,Reggie Jackson,15.4
223,Stephen Jackson,0.1
224,Bernard James,8.5
225,Damion James,4.1
226,LeBron James,29.3
227,Mike James,1.5
228,Antawn Jamison,7.8
229,Othyus Jeffers,6.9
230,Al Jefferson,22.7
231,Richard Jefferson,11.8
232,John Jenkins,4.7
233,Brandon Jennings,15.6
234,Jonas Jerebko,13.4
235,Amir Johnson,15.4
236,Chris Johnson,10.8
237,James Johnson,18.5
238,Joe Johnson,15.5
239,Orlando Johnson,5.3
240,Wesley Johnson,11.0
241,Darius Johnson-Odom,-23.0
242,James Jones,15.4
243,Perry Jones,10.1
244,Solomon Jones,5.8
245,Terrence Jones,19.1
246,DeAndre Jordan,18.2
247,Cory Joseph,14.7
248,Chris Kaman,17.0
249,Sergey Karasev,2.3
250,Ryan Kelly,12.6
251,Michael Kidd-Gilchrist,12.0
252,Andrei Kirilenko,12.4
253,Brandon Knight,16.5
254,Kyle Korver,13.5
255,Kosta Koufos,16.5
256,Viacheslav Kravtsov,10.5
257,Ognjen Kuzmić,3.4
258,Doron Lamb,7.5
259,Jeremy Lamb,13.4
260,Carl Landry,11.2
261,Shane Larkin,8.3
262,Ty Lawson,19.0
263,Ricky Ledo,12.7
264,Courtney Lee,13.8
265,David Lee,19.1
266,Alex Len,7.3
267,Kawhi Leonard,19.4
268,Meyers Leonard,9.4
269,Jon Leuer,17.6
270,Rashard Lewis,10.7
271,DeAndre Liggins,129.1
272,Damian Lillard,18.6
273,Jeremy Lin,14.3
274,Shaun Livingston,14.5
275,Brook Lopez,25.4
276,Robin Lopez,17.7
277,Kevin Love,26.9
278,Kyle Lowry,20.1
279,John Lucas III,5.2
280,Shelvin Mack,13.2
281,Ian Mahinmi,10.2
282,Shawn Marion,13.7
283,Kendall Marshall,12.6
284,Cartier Martin,11.0
285,Kenyon Martin,12.2
286,Kevin Martin,16.3
287,Roger Mason,8.2
288,Wesley Matthews,15.7
289,Jason Maxiell,8.1
290,Eric Maynor,6.2
291,O.J. Mayo,11.2
292,Luc Mbah a Moute,8.3
293,Ray McCallum,9.7
294,CJ McCollum,9.0
295,JaVale McGee,10.2
296,Ben McLemore,7.7
297,Josh McRoberts,13.8
298,Jodie Meeks,14.7
299,Gal Mekel,5.4
300,Khris Middleton,12.5
301,C.J. Miles,16.0
302,Andre Miller,13.9
303,Darius Miller,9.0
304,Mike Miller,12.5
305,Quincy Miller,8.6
306,Patty Mills,18.7
307,Paul Millsap,19.8
308,Tony Mitchell,18.1
309,Tony Mitchell,30.9
310,Nazr Mohammed,10.1
311,Greg Monroe,18.1
312,E'Twaun Moore,11.1
313,Darius Morris,9.2
314,Marcus Morris,14.8
315,Markieff Morris,18.4
316,Anthony Morrow,13.9
317,Donatas Motiejūnas,10.7
318,Arnett Moultrie,6.7
319,Timofey Mozgov,16.7
320,Shabazz Muhammad,13.1
321,Byron Mullens,12.8
322,Erik Murphy,0.2
323,Toure' Murry,11.1
324,Mike Muscala,10.8
325,Hamady N'Diaye,2.9
326,Steve Nash,12.2
327,Gary Neal,12.5
328,Nemanja Nedović,-1.7
329,Jameer Nelson,13.9
330,Andrew Nicholson,9.9
331,Joakim Noah,20.0
332,Steve Novak,11.1
333,Dirk Nowitzki,23.6
334,James Nunnally,6.1
335,Jermaine O'Neal,15.3
336,Kyle O'Quinn,16.5
337,Greg Oden,12.4
338,Victor Oladipo,13.6
339,Kelly Olynyk,15.2
340,Arinze Onuaku,3.8
341,Daniel Orton,10.5
342,Travis Outlaw,10.4
343,Zaza Pachulia,14.0
344,Jannero Pargo,18.9
345,Tony Parker,18.9
346,Chandler Parsons,15.9
347,Patrick Patterson,14.6
348,Chris Paul,25.9
349,Nikola Peković,20.7
350,Kendrick Perkins,6.3
351,Paul Pierce,16.8
352,Dexter Pittman,13.1
353,Mason Plumlee,19.0
354,Miles Plumlee,14.6
355,Quincy Pondexter,10.3
356,Otto Porter Jr.,6.0
357,Josh Powell,2.5
358,Phil Pressey,8.8
359,A.J. Price,9.7
360,Ronnie Price,7.6
361,Pablo Prigioni,13.0
362,Tayshaun Prince,8.2
363,Miroslav Raduljica,15.3
364,Anthony Randolph,12.2
365,Shavlik Randolph,7.7
366,Zach Randolph,18.3
367,J.J. Redick,16.6
368,Glen Rice Jr.,6.6
369,Luke Ridnour,9.0
370,Austin Rivers,11.6
371,Andre Roberson,9.0
372,Brian Roberts,13.4
373,Nate Robinson,15.6
374,Thomas Robinson,14.1
375,Rajon Rondo,15.3
376,Derrick Rose,9.7
377,Terrence Ross,12.0
378,Ricky Rubio,15.4
379,Brandon Rush,4.1
380,Robert Sacre,12.1
381,John Salmons,7.8
382,Larry Sanders,14.0
383,Dennis Schröder,5.8
384,Luis Scola,13.4
385,Mike Scott,15.3
386,Thabo Sefolosha,10.4
387,Kevin Séraphin,12.5
388,Ramon Sessions,16.0
389,Mustafa Shakur,-8.8
390,Tornike Shengelia,3.9
391,Iman Shumpert,9.6
392,Alexey Shved,10.2
393,Henry Sims,16.1
394,Kyle Singler,11.8
395,Chris Singleton,8.8
396,Peyton Siva,5.7
397,Donald Sloan,8.5
398,Chris Smith,0.0
399,Greg Smith,13.7
400,Ish Smith,11.7
401,J.R. Smith,13.9
402,Jason Smith,12.4
403,Josh Smith,14.1
404,Tony Snell,8.0
405,James Southerland,11.8
406,Marreese Speights,15.2
407,Tiago Splitter,16.5
408,D.J. Stephens,16.1
409,Lance Stephenson,14.7
410,Greg Stiemsma,9.7
411,Julyan Stone,6.6
412,Amar'e Stoudemire,18.8
413,Rodney Stuckey,14.0
414,Jared Sullinger,16.4
415,Jeff Taylor,5.9
416,Tyshawn Taylor,5.4
417,Jeff Teague,17.1
418,Marquis Teague,3.8
419,Mirza Teletović,14.3
420,Garrett Temple,7.8
421,Jason Terry,7.4
422,Hasheem Thabeet,2.6
423,Adonis Thomas,7.3
424,Isaiah Thomas,20.5
425,Lance Thomas,0.5
426,Malcolm Thomas,4.6
427,Hollis Thompson,9.5
428,Jason Thompson,11.1
429,Klay Thompson,14.3
430,Tristan Thompson,14.9
431,Marcus Thornton,12.0
432,Jamaal Tinsley,1.9
433,Anthony Tolliver,11.0
434,P.J. Tucker,13.3
435,Ronny Turiaf,13.9
436,Hedo Türkoğlu,11.3
437,Evan Turner,12.4
438,Jeremy Tyler,13.0
439,Ekpe Udoh,7.6
440,Beno Udrih,12.7
441,Jonas Valančiūnas,16.1
442,Anderson Varejão,17.0
443,Jarvis Varnado,13.3
444,Greivis Vásquez,14.1
445,Jan Veselý,12.7
446,Charlie Villanueva,12.7
447,Nikola Vučević,18.8
448,Sasha Vujačić,1.5
449,Dwyane Wade,22.0
450,Dion Waiters,14.0
451,Kemba Walker,16.8
452,John Wall,19.5
453,Gerald Wallace,10.0
454,Casper Ware,13.0
455,C.J. Watson,13.0
456,Earl Watson,2.1
457,Maalik Wayns,19.3
458,Martell Webster,11.5
459,David West,17.5
460,Russell Westbrook,24.7
461,D.J. White,2.4
462,Royce White,-8.3
463,Deron Williams,17.6
464,Derrick Williams,11.5
465,Elliot Williams,8.7
466,Lou Williams,14.2
467,Marvin Williams,14.0
468,Mo Williams,11.8
469,Reggie Williams,16.4
470,Shawne Williams,9.5
471,Jeff Withey,15.2
472,Nate Wolters,12.7
473,Metta World Peace,11.7
474,Brandan Wright,23.5
475,Chris Wright,16.5
476,Dorell Wright,11.9
477,Tony Wroten,12.9
478,Nick Young,16.0
479,Thaddeus Young,16.6
480,Cody Zeller,13.1
481,Tyler Zeller,15.4
