,Player,PER
0,Arron Afflalo,10.9
1,Alexis Ajinça,6.3
2,LaMarcus Aldridge,18.2
3,Joe Alexander,2.8
4,Malik Allen,5.9
5,Ray Allen,15.2
6,Tony Allen,14.2
7,Rafer Alston,8.2
8,Lou Amundson,14.4
9,Chris Andersen,15.8
10,David Andersen,12.1
11,Antonio Anderson,-1.7
12,Ryan Anderson,18.1
13,Carmelo Anthony,22.2
14,Joel Anthony,10.2
15,Gilbert Arenas,18.7
16,Trevor Ariza,13.3
17,Hilton Armstrong,6.9
18,Carlos Arroyo,12.3
19,Darrell Arthur,10.5
20,Chucky Atkins,8.3
21,D.J. Augustin,11.2
22,Jeff Ayres,12.1
23,Kelenna Azubuike,19.8
24,Renaldo Balkman,6.6
25,Marcus Banks,15.3
26,Leandro Barbosa,14.0
27,J.J. Barea,12.8
28,Andrea Bargnani,15.5
29,Matt Barnes,13.6
30,Earl Barron,14.7
31,Brandon Bass,16.5
32,Tony Battie,6.1
33,Shane Battier,11.1
34,Nicolas Batum,17.3
35,Jerryd Bayless,14.3
36,Michael Beasley,16.1
37,Rodrigue Beaubois,18.5
38,Marco Belinelli,12.6
39,Charlie Bell,7.9
40,Raja Bell,13.8
41,Jonathan Bender,10.8
42,Mike Bibby,12.7
43,Andris Biedriņš,13.0
44,Chauncey Billups,20.2
45,DeJuan Blair,17.7
46,Steve Blake,11.6
47,Andray Blatche,17.6
48,Keith Bogans,7.7
49,Andrew Bogut,20.7
50,Matt Bonner,14.9
51,Josh Boone,13.7
52,Carlos Boozer,21.3
53,Chris Bosh,25.0
54,Ryan Bowen,31.3
55,Earl Boykins,12.9
56,Elton Brand,15.7
57,Corey Brewer,12.1
58,Ronnie Brewer,12.5
59,Primož Brezec,4.9
60,Jon Brockman,12.4
61,Aaron Brooks,16.0
62,Bobby Brown,9.3
63,Derrick Brown,12.6
64,Devin Brown,10.0
65,Kwame Brown,7.9
66,Shannon Brown,12.4
67,Kobe Bryant,21.9
68,Chase Budinger,14.1
69,Caron Butler,13.7
70,Rasual Butler,10.7
71,Andrew Bynum,20.2
72,Will Bynum,13.8
73,José Calderón,16.5
74,Marcus Camby,17.9
75,Brian Cardinal,6.9
76,Rodney Carney,12.7
77,DeMarre Carroll,8.5
78,Matt Carroll,7.1
79,Anthony Carter,10.3
80,Vince Carter,17.1
81,Omri Casspi,13.0
82,Mario Chalmers,10.7
83,Tyson Chandler,12.5
84,Wilson Chandler,13.7
85,Earl Clark,8.5
86,Jarron Collins,3.7
87,Jason Collins,0.9
88,Mardy Collins,5.7
89,Darren Collison,16.5
90,Nick Collison,13.1
91,Mike Conley,13.9
92,Will Conroy,-2.4
93,Brian Cook,2.4
94,Daequan Cook,7.5
95,Jamal Crawford,18.4
96,Dante Cunningham,14.3
97,Eddy Curry,-1.9
98,JamesOn Curry,
99,Stephen Curry,16.3
100,Samuel Dalembert,16.8
101,Erick Dampier,14.0
102,Marquis Daniels,9.6
103,Baron Davis,17.4
104,Glen Davis,11.5
105,Paul Davis,33.3
106,Ricky Davis,8.5
107,Austin Daye,12.8
108,Carlos Delfino,12.9
109,Luol Deng,16.1
110,DeMar DeRozan,12.5
111,Boris Diaw,12.8
112,Yakhouba Diawara,-3.7
113,Travis Diener,7.6
114,DeSagana Diop,7.8
115,Keyon Dooling,11.6
116,Joey Dorsey,9.8
117,Toney Douglas,14.9
118,Chris Douglas-Roberts,11.5
119,Goran Dragić,14.8
120,Jared Dudley,13.6
121,Chris Duhon,10.7
122,Tim Duncan,24.7
123,Mike Dunleavy,13.1
124,Kevin Durant,26.2
125,Wayne Ellington,9.6
126,Monta Ellis,16.7
127,Francisco Elson,5.5
128,Maurice Evans,12.2
129,Reggie Evans,11.4
130,Tyreke Evans,18.2
131,Jordan Farmar,12.3
132,Raymond Felton,15.2
133,Rudy Fernández,13.1
134,Kyrylo Fesenko,9.7
135,Michael Finley,9.0
136,Derek Fisher,9.3
137,Jonny Flynn,13.0
138,T.J. Ford,13.4
139,Jeff Foster,9.6
140,Randy Foye,13.2
141,Channing Frye,15.0
142,Dan Gadzuric,10.5
143,Sundiata Gaines,17.3
144,Danilo Gallinari,14.8
145,Francisco García,12.4
146,Kevin Garnett,19.4
147,Marc Gasol,19.3
148,Pau Gasol,22.9
149,Rudy Gay,16.2
150,Alonzo Gee,16.2
151,Devean George,11.6
152,Daniel Gibson,11.3
153,Taj Gibson,13.8
154,J.R. Giddens,9.2
155,Trey Gilder,30.9
156,Manu Ginóbili,22.5
157,Ryan Gomes,12.1
158,Drew Gooden,16.9
159,Ben Gordon,14.0
160,Eric Gordon,14.1
161,Marcin Gortat,13.9
162,Joey Graham,10.6
163,Stephen Graham,11.2
164,Danny Granger,19.8
165,Aaron Gray,16.6
166,Danny Green,12.3
167,Jeff Green,13.8
168,Willie Green,12.8
169,Donté Greene,11.6
170,Taylor Griffin,5.2
171,Hamed Haddadi,7.2
172,Malik Hairston,11.6
173,Marcus Haislip,15.4
174,Richard Hamilton,14.9
175,Tyler Hansbrough,14.6
176,James Harden,14.0
177,Al Harrington,16.8
178,Devin Harris,16.2
179,Mike Harris,7.2
180,Jason Hart,8.7
181,Udonis Haslem,14.6
182,Trenton Hassell,6.5
183,Spencer Hawes,13.8
184,Chuck Hayes,11.7
185,Jarvis Hayes,9.7
186,Brendan Haywood,16.1
187,Luther Head,11.5
188,Gerald Henderson,9.7
189,Roy Hibbert,16.2
190,J.J. Hickson,15.2
191,Nenê,18.9
192,George Hill,14.7
193,Grant Hill,14.0
194,Jordan Hill,15.0
195,Kirk Hinrich,11.6
196,Jrue Holiday,12.3
197,Ryan Hollins,11.0
198,Al Horford,19.4
199,Eddie House,10.5
200,Dwight Howard,24.0
201,Josh Howard,12.7
202,Juwan Howard,10.0
203,Lester Hudson,13.2
204,Larry Hughes,12.0
205,Kris Humphries,15.1
206,Chris Hunter,12.2
207,Lindsey Hunter,-2.2
208,Othello Hunter,7.9
209,Steven Hunter,11.6
210,Serge Ibaka,15.2
211,Andre Iguodala,17.8
212,Zydrunas Ilgauskas,11.9
213,D.J. Mbenga,11.6
214,Ersan İlyasova,15.7
215,Allen Iverson,13.4
216,Royal Ivey,11.0
217,Jarrett Jack,16.3
218,Cedric Jackson,5.5
219,Darnell Jackson,-0.1
220,Stephen Jackson,15.6
221,LeBron James,31.1
222,Mike James,5.5
223,Antawn Jamison,17.3
224,Nathan Jawai,11.0
225,Othyus Jeffers,13.6
226,Al Jefferson,19.0
227,Richard Jefferson,13.1
228,Jared Jeffries,9.8
229,Brandon Jennings,14.5
230,Jonas Jerebko,13.9
231,Yi Jianlian,12.3
232,Amir Johnson,16.7
233,Anthony Johnson,12.4
234,James Johnson,10.4
235,Joe Johnson,19.3
236,Dahntay Jones,10.8
237,Dwayne Jones,1.4
238,James Jones,8.8
239,Solomon Jones,9.9
240,DeAndre Jordan,12.7
241,Chris Kaman,16.5
242,Jason Kapono,8.4
243,Coby Karl,5.1
244,Jason Kidd,17.2
245,Andrei Kirilenko,18.2
246,Kyle Korver,13.9
247,Kosta Koufos,7.7
248,Nenad Krstić,13.7
249,Oliver Lafayette,12.8
250,Carl Landry,19.0
251,Marcus Landry,7.2
252,Acie Law,16.0
253,Ty Lawson,16.4
254,Courtney Lee,12.8
255,David Lee,22.2
256,Rashard Lewis,14.0
257,Shaun Livingston,12.8
258,Brook Lopez,20.1
259,Robin Lopez,17.6
260,Kevin Love,20.7
261,Kyle Lowry,15.5
262,Corey Maggette,20.3
263,Jamaal Magloire,9.4
264,Ian Mahinmi,21.6
265,Shawn Marion,14.7
266,Sean Marks,9.0
267,Cartier Martin,9.0
268,Kenyon Martin,13.4
269,Kevin Martin,17.0
270,Desmond Mason,6.2
271,Roger Mason,9.7
272,Wesley Matthews,12.3
273,Jason Maxiell,14.0
274,Sean May,11.7
275,Eric Maynor,11.8
276,O.J. Mayo,14.6
277,Luc Mbah a Moute,11.8
278,Antonio McDyess,12.2
279,JaVale McGee,17.0
280,Tracy McGrady,12.2
281,Dominic McGuire,3.8
282,Josh McRoberts,14.8
283,Jodie Meeks,10.8
284,Pops Mensah-Bonsu,11.4
285,C.J. Miles,10.8
286,Darko Miličić,12.8
287,Andre Miller,18.1
288,Brad Miller,12.9
289,Mike Miller,13.9
290,Patty Mills,11.9
291,Paul Millsap,16.7
292,Nazr Mohammed,19.6
293,Jamario Moon,12.6
294,Mikki Moore,11.2
295,Randolph Morris,14.6
296,Adam Morrison,7.4
297,Anthony Morrow,14.0
298,Byron Mullens,0.7
299,Troy Murphy,18.0
300,Ronald Murray,11.7
301,Eduardo Nájera,8.4
302,Steve Nash,21.6
303,Jameer Nelson,15.5
304,Rasho Nesterović,16.0
305,Joakim Noah,17.9
306,Andrés Nocioni,11.1
307,Steve Novak,8.3
308,Dirk Nowitzki,22.9
309,Patrick O'Bryant,9.9
310,Jermaine O'Neal,17.9
311,Shaquille O'Neal,17.9
312,Fabricio Oberto,5.7
313,Greg Oden,23.1
314,Lamar Odom,15.9
315,Emeka Okafor,16.5
316,Mehmet Okur,15.6
317,Kevin Ollie,7.0
318,Travis Outlaw,13.3
319,Zaza Pachulia,13.1
320,Jannero Pargo,8.9
321,Anthony Parker,9.9
322,Tony Parker,16.4
323,Chris Paul,23.7
324,Sasha Pavlović,5.4
325,Oleksiy Pecherov,12.0
326,Kendrick Perkins,15.0
327,Morris Peterson,9.3
328,Johan Petro,10.7
329,Paul Pierce,18.2
330,Mickaël Piétrus,11.9
331,James Posey,8.7
332,Leon Powe,10.2
333,Josh Powell,6.7
334,A.J. Price,14.0
335,Ronnie Price,10.3
336,Tayshaun Prince,16.0
337,Joel Przybilla,11.2
338,Chris Quinn,9.3
339,Vladimir Radmanović,7.9
340,Anthony Randolph,18.7
341,Shavlik Randolph,6.2
342,Zach Randolph,21.2
343,Theo Ratliff,10.3
344,Michael Redd,12.1
345,J.J. Redick,15.0
346,Chris Richard,6.5
347,Jason Richardson,16.6
348,Quentin Richardson,12.9
349,Luke Ridnour,17.7
350,Nate Robinson,16.3
351,Sergio Rodríguez,14.8
352,Rajon Rondo,19.1
353,Derrick Rose,18.6
354,Quinton Ross,3.0
355,Brandon Roy,21.3
356,Brandon Rush,9.6
357,Kareem Rush,4.8
358,John Salmons,14.7
359,Brian Scalabrine,3.6
360,Luis Scola,17.2
361,Thabo Sefolosha,9.8
362,Ramon Sessions,12.9
363,Bobby Simmons,8.0
364,James Singleton,11.4
365,Brian Skinner,5.5
366,Craig Smith,16.9
367,J.R. Smith,15.0
368,Jason Smith,10.6
369,Joe Smith,11.2
370,Josh Smith,21.0
371,Darius Songaila,11.6
372,Marreese Speights,17.6
373,Jerry Stackhouse,11.1
374,DeShawn Stevenson,3.3
375,Peja Stojaković,12.4
376,Amar'e Stoudemire,22.6
377,Rodney Stuckey,15.6
378,DaJuan Summers,7.5
379,Jermaine Taylor,11.4
380,Jeff Teague,11.0
381,Sebastian Telfair,10.3
382,Garrett Temple,10.5
383,Jason Terry,16.5
384,Hasheem Thabeet,12.9
385,Etan Thomas,6.9
386,Kenny Thomas,9.0
387,Kurt Thomas,9.9
388,Tim Thomas,15.1
389,Tyrus Thomas,16.8
390,Jason Thompson,14.5
391,Al Thornton,11.8
392,Marcus Thornton,17.4
393,Jamaal Tinsley,7.8
394,Anthony Tolliver,13.6
395,Alando Tucker,13.4
