,Player,PER
0,Álex Abrines,6.3
1,Quincy Acy,2.9
2,Jaylen Adams,7.6
3,Steven Adams,18.5
4,Bam Adebayo,17.9
5,Deng Adel,2.7
6,DeVaughn Akoon-Purcell,8.2
7,LaMarcus Aldridge,22.9
8,Rawle Alkins,8.1
9,Grayson Allen,7.5
10,Jarrett Allen,18.5
11,Kadeem Allen,16.2
12,Al-Farouq Aminu,13.2
13,Justin Anderson,11.2
14,Kyle Anderson,12.8
15,Ryan Anderson,4.6
16,Ike Anigbogu,-6.0
17,Giannis Antetokounmpo,30.9
18,Kostas Antetokounmpo,-0.9
19,Carmelo Anthony,10.9
20,OG Anunoby,9.8
21,Ryan Arcidiacono,11.6
22,Trevor Ariza,12.1
23,D.J. Augustin,15.7
24,Deandre Ayton,20.5
25,Dwayne Bacon,11.7
26,Marvin Bagley III,18.9
27,Ron Baker,2.5
28,Wade Baldwin,1.3
29,Lonzo Ball,11.7
30,Mo Bamba,14.9
31,J.J. Barea,16.3
32,Harrison Barnes,12.8
33,Will Barton,11.0
34,Keita Bates-Diop,9.6
35,Nicolas Batum,11.9
36,Jerryd Bayless,8.5
37,Aron Baynes,14.0
38,Kent Bazemore,11.9
39,Bradley Beal,20.8
40,Malik Beasley,14.2
41,Michael Beasley,15.9
42,Marco Belinelli,11.9
43,Jordan Bell,12.9
44,DeAndre' Bembry,10.8
45,Dragan Bender,9.5
46,Dairis Bertāns,2.0
47,Dāvis Bertāns,13.0
48,Patrick Beverley,11.8
49,Khem Birch,19.2
50,Bismack Biyombo,14.4
51,Nemanja Bjelica,15.4
52,Antonio Blakeney,10.6
53,Eric Bledsoe,19.3
54,Jaron Blossomgame,10.2
55,Bogdan Bogdanović,14.1
56,Bojan Bogdanović,16.1
57,Andrew Bogut,13.4
58,Jonah Bolden,12.7
59,Isaac Bonga,6.0
60,Devin Booker,20.2
61,Chris Boucher,22.2
62,Avery Bradley,7.6
63,Tony Bradley,19.6
64,Corey Brewer,11.6
65,Mikal Bridges,10.8
66,Miles Bridges,13.1
67,Isaiah Briscoe,6.7
68,Ryan Broekhoff,10.7
69,Malcolm Brogdon,17.8
70,Dillon Brooks,7.6
71,MarShon Brooks,11.6
72,Bruce Brown,6.9
73,Jaylen Brown,13.5
74,Lorenzo Brown,6.3
75,Sterling Brown,10.9
76,Troy Brown Jr.,11.1
77,Jalen Brunson,12.8
78,Thomas Bryant,21.0
79,Reggie Bullock,10.5
80,Trey Burke,16.5
81,Alec Burks,12.7
82,Deonte Burton,7.0
83,Jimmy Butler,20.2
84,Bruno Caboclo,12.4
85,José Calderón,7.1
86,Kentavious Caldwell-Pope,12.9
87,Isaiah Canaan,8.0
88,Clint Capela,23.8
89,DeMarre Carroll,12.1
90,Jevon Carter,7.8
91,Vince Carter,11.8
92,Wendell Carter Jr.,15.2
93,Michael Carter-Williams,14.7
94,Alex Caruso,13.9
95,Omri Casspi,15.7
96,Willie Cauley-Stein,18.0
97,Troy Caupain,30.7
98,Tyler Cavanaugh,5.0
99,Tyson Chandler,11.2
100,Wilson Chandler,8.5
101,Joe Chealey,2.0
102,Chris Chiozza,7.0
103,Marquese Chriss,9.2
104,Gary Clark,9.2
105,Ian Clark,8.3
106,Jordan Clarkson,16.8
107,John Collins,21.8
108,Zach Collins,13.5
109,Darren Collison,16.7
110,Bonzie Colson,12.9
111,Mike Conley,21.4
112,Pat Connaughton,13.6
113,Quinn Cook,13.1
114,DeMarcus Cousins,21.4
115,Robert Covington,13.3
116,Allen Crabbe,7.7
117,Torrey Craig,10.4
118,Jamal Crawford,11.7
119,Mitch Creek,20.2
120,Jae Crowder,12.1
121,Dante Cunningham,10.2
122,Seth Curry,11.4
123,Stephen Curry,24.4
124,Troy Daniels,9.8
125,Anthony Davis,30.3
126,Deyonta Davis,15.6
127,Ed Davis,17.3
128,Tyler Davis,0.0
129,Dewayne Dedmon,16.0
130,Sam Dekker,13.3
131,Ángel Delgado,4.3
132,Matthew Dellavedova,11.1
133,Luol Deng,14.6
134,DeMar DeRozan,19.6
135,Marcus Derrickson,19.4
136,Cheick Diallo,17.5
137,Hamidou Diallo,10.1
138,Gorgui Dieng,18.1
139,Spencer Dinwiddie,16.3
140,Donte DiVincenzo,9.1
141,Luka Dončić,19.6
142,Tyler Dorsey,11.2
143,Damyean Dotson,10.8
144,PJ Dozier,16.0
145,Goran Dragić,13.9
146,Andre Drummond,23.4
147,Jared Dudley,7.8
